Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.242950,1.157333,0.001814,0.001981
1.242257,1.155865,0.001829,0.001934
1.242948,1.158282,0.001841,0.001897
1.243143,1.159029,0.001852,0.001906
1.243593,1.159947,0.001860,0.001878
1.243961,1.160981,0.001868,0.001920
1.244366,1.161424,0.001874,0.001925
1.244711,1.161807,0.001880,0.001930
1.245290,1.162263,0.001882,0.001904
1.245464,1.162642,0.001883,0.001906
1.246542,1.163125,0.001885,0.001821
1.248070,1.163495,0.001887,0.001822
1.248612,1.163789,0.001889,0.001710
1.249617,1.164105,0.001890,0.001740
1.251063,1.166957,0.001926,0.001742
1.251589,1.167577,0.001963,0.001743
1.252297,1.167984,0.001964,0.001658
1.253756,1.168416,0.001966,0.001631
1.253557,1.168826,0.001968,0.001661
1.253996,1.168932,0.001969,0.001691
1.254345,1.169331,0.001971,0.001578
1.254704,1.169749,0.001973,0.001522
1.254783,1.170834,0.001974,0.001523
1.255314,1.172838,0.002011,0.001496
1.255615,1.173237,0.002048,0.001469
1.255844,1.173990,0.002050,0.001527
1.256638,1.174523,0.002051,0.001529
1.257380,1.174857,0.002053,0.001646
1.258285,1.175284,0.002055,0.001705
1.258411,1.175645,0.002092,0.001678
1.258724,1.175944,0.002094,0.001709
1.259328,1.178431,0.002095,0.001855
1.260036,1.179253,0.002133,0.001943
1.260470,1.179541,0.002197,0.001945
1.261389,1.180320,0.002296,0.001947
1.262320,1.180749,0.002298,0.001977
1.262944,1.181166,0.002300,0.002007
1.262583,1.181322,0.002301,0.001950
1.263387,1.181803,0.002330,0.001981
1.263573,1.182647,0.002359,0.002070
1.263724,1.184466,0.002361,0.002101
1.264497,1.185570,0.002363,0.002043
1.264591,1.185930,0.002400,0.001987
1.264934,1.186334,0.002528,0.001960
1.265416,1.187465,0.002557,0.001991
1.266102,1.189640,0.002558,0.002022
1.266252,1.189975,0.002596,0.002054
1.266541,1.191166,0.002662,0.002056
1.268034,1.191636,0.002700,0.002058
1.268187,1.193512,0.002640,0.002148
1.268748,1.194708,0.002642,0.002238
1.269466,1.195539,0.002679,0.002240
1.269702,1.196113,0.002781,0.002329
1.270022,1.196595,0.002819,0.002332
1.271010,1.196897,0.002795,0.002364
1.270468,1.197514,0.002796,0.002484
1.270755,1.197922,0.002862,0.002604
1.272260,1.198469,0.002927,0.002694
1.272604,1.198993,0.002931,0.002756
1.273078,1.200575,0.002933,0.002858
1.273635,1.201382,0.002935,0.002919
1.273791,1.201951,0.002964,0.002922
1.274114,1.203060,0.002995,0.002984
1.275074,1.204419,0.002998,0.003046
1.275962,1.205632,0.002963,0.003019
1.276204,1.206522,0.003029,0.003051
1.276347,1.208510,0.003059,0.003172
1.276850,1.209183,0.003089,0.003234
1.277033,1.210159,0.003156,0.003297
1.277964,1.211535,0.003351,0.003299
1.278055,1.212369,0.003482,0.003302
1.279469,1.212860,0.003549,0.003365
1.279808,1.214032,0.003616,0.003397
1.280071,1.215116,0.003684,0.003400
1.279792,1.215177,0.003880,0.003363
1.280294,1.216481,0.004140,0.003366
1.280848,1.217500,0.004309,0.003399
1.280945,1.218506,0.004414,0.003402
1.281915,1.220305,0.004574,0.003405
1.282527,1.221359,0.004835,0.003437
1.283387,1.222743,0.005032,0.003470
1.284041,1.224224,0.005230,0.003514
1.284495,1.225574,0.005400,0.003588
1.285587,1.226154,0.005497,0.003591
1.286886,1.227128,0.005530,0.003594
1.287078,1.228268,0.005663,0.003668
1.286915,1.229475,0.005797,0.003742
1.288242,1.231140,0.005894,0.003816
1.289004,1.232705,0.005964,0.003819
1.290343,1.234687,0.005969,0.003863
1.290604,1.235966,0.006011,0.003937
1.291100,1.236743,0.006109,0.004073
1.291275,1.237416,0.006207,0.004147
1.291551,1.238362,0.006212,0.004191
1.293033,1.239454,0.006255,0.004296
1.293830,1.240372,0.006326,0.004463
1.294155,1.242198,0.006434,0.004559
1.295371,1.244506,0.006467,0.004655
1.295907,1.245750,0.006642,0.004915
1.297227,1.246445,0.006779,0.005175
1.297953,1.248518,0.006916,0.005333
1.299569,1.249629,0.007128,0.005523
1.300280,1.250828,0.007370,0.005712
1.300607,1.252905,0.007611,0.005973
1.301838,1.254156,0.007824,0.006193
1.303334,1.257247,0.008000,0.006414
1.303671,1.257972,0.008110,0.006542
1.304076,1.258747,0.008286,0.006733
1.305081,1.260107,0.008566,0.006953
1.306181,1.261057,0.008875,0.007186
1.306114,1.261799,0.009090,0.007388
1.307240,1.263156,0.009268,0.007621
1.308556,1.265788,0.009550,0.007823
1.309925,1.267420,0.009795,0.008058
1.310838,1.268252,0.010040,0.008262
1.312555,1.270194,0.010257,0.008497
1.313523,1.271873,0.010494,0.008702
1.314535,1.273592,0.010741,0.008938
1.315144,1.275341,0.011017,0.009205
1.315694,1.277564,0.011255,0.009505
1.316780,1.278723,0.011560,0.009742
1.317300,1.280109,0.011942,0.010041
1.318535,1.281256,0.012257,0.010508
1.319139,1.282952,0.012601,0.010976
1.321054,1.284365,0.012947,0.011340
1.322139,1.286072,0.013331,0.011704
1.323183,1.287441,0.013782,0.012133
1.325083,1.289164,0.014235,0.012561
1.325237,1.291182,0.014651,0.012991
1.326656,1.292628,0.015104,0.013453
1.327302,1.294027,0.015587,0.013958
1.328225,1.295360,0.016014,0.014495
1.330121,1.296282,0.016499,0.015032
1.331238,1.297903,0.016927,0.015634
1.332170,1.298987,0.017451,0.016173
1.333653,1.302076,0.018016,0.016745
1.334331,1.303552,0.018582,0.017317
1.334934,1.305083,0.019177,0.017924
1.336011,1.305732,0.019774,0.018532
1.337434,1.306575,0.020343,0.019202
1.337891,1.308828,0.020970,0.019874
1.338996,1.310605,0.021637,0.020579
1.340539,1.313056,0.022306,0.021391
1.342104,1.314501,0.023054,0.022173
1.343076,1.316395,0.023802,0.022988
1.344520,1.317323,0.024649,0.023858
1.344801,1.317955,0.025664,0.024835
1.345109,1.318323,0.026622,0.025879
1.346480,1.321108,0.027679,0.026892
1.347181,1.322801,0.028776,0.028013
1.348639,1.324100,0.029738,0.029199
1.349775,1.326414,0.030829,0.030483
1.351625,1.327590,0.032000,0.031631
1.351916,1.329121,0.033242,0.032953
1.353598,1.330059,0.034585,0.034405
1.354972,1.331336,0.036038,0.035968
1.355799,1.333130,0.037455,0.037468
1.356724,1.334765,0.038872,0.038959
1.357782,1.336702,0.040331,0.040527
1.358443,1.339044,0.041959,0.042195
1.360426,1.340130,0.043708,0.043908
1.361554,1.341524,0.045353,0.045516
1.363483,1.342680,0.047069,0.047300
1.364035,1.343338,0.048967,0.049217
1.365055,1.345487,0.050936,0.051266
1.365628,1.346090,0.053105,0.053460
1.366934,1.347027,0.055359,0.055722
1.367591,1.348780,0.057755,0.058095
1.369629,1.349976,0.060194,0.060495
1.371110,1.350669,0.062777,0.063041
1.372189,1.352088,0.065474,0.065721
1.373356,1.353550,0.068385,0.068677
1.374262,1.354798,0.071509,0.071748
1.375116,1.356211,0.074850,0.075021
1.376078,1.357573,0.078306,0.078407
