Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.242950,1.157333,0.002201,0.001505
1.242565,1.157323,0.002173,0.001464
1.242352,1.157280,0.002150,0.001475
1.243002,1.160908,0.002132,0.001522
1.243062,1.161418,0.002117,0.001526
1.243062,1.161447,0.002144,0.001530
1.243697,1.162571,0.002130,0.001564
1.243724,1.163149,0.002119,0.001565
1.243701,1.163171,0.002154,0.001624
1.244130,1.165168,0.002190,0.001654
1.244408,1.167494,0.002226,0.001656
1.244409,1.167570,0.002228,0.001600
1.244715,1.169017,0.002229,0.001659
1.244741,1.170376,0.002291,0.001661
1.244762,1.170392,0.002258,0.001692
1.244967,1.173599,0.002224,0.001694
1.245955,1.174181,0.002260,0.001724
1.245938,1.174274,0.002322,0.001784
1.246585,1.176964,0.002385,0.001786
1.246522,1.177870,0.002421,0.001846
1.246555,1.177911,0.002387,0.001906
1.247308,1.179233,0.002423,0.001879
1.248052,1.180912,0.002521,0.001939
1.248075,1.180961,0.002610,0.001941
1.249216,1.184003,0.002611,0.001972
1.249424,1.184446,0.002613,0.002033
1.249395,1.184534,0.002640,0.002151
1.249589,1.186029,0.002703,0.002182
1.249777,1.187829,0.002766,0.002214
1.249816,1.188597,0.002803,0.002216
1.250060,1.190304,0.002804,0.002277
1.250021,1.190891,0.002805,0.002338
1.250099,1.190872,0.002868,0.002370
1.250349,1.192679,0.002905,0.002431
1.250340,1.194338,0.002871,0.002493
1.250407,1.194440,0.002908,0.002525
1.250745,1.196614,0.002936,0.002586
1.250785,1.197198,0.002938,0.002619
1.250778,1.197191,0.002878,0.002680
1.251176,1.198207,0.002844,0.002713
1.251530,1.198959,0.002872,0.002775
1.251548,1.198944,0.002935,0.002837
1.251938,1.201631,0.002999,0.002900
1.252554,1.202535,0.002975,0.002962
1.252555,1.202535,0.002941,0.003054
1.252698,1.205343,0.003040,0.003157
1.252726,1.207043,0.003103,0.003259
1.252819,1.207068,0.003141,0.003293
1.253256,1.208523,0.003232,0.003296
1.254200,1.209659,0.003393,0.003340
1.254235,1.209755,0.003545,0.003373
1.254148,1.211276,0.003645,0.003476
1.254409,1.212438,0.003736,0.003550
1.254432,1.212489,0.003800,0.003583
1.254977,1.214546,0.003899,0.003687
1.254423,1.215429,0.004061,0.003732
1.254422,1.215469,0.004162,0.003806
1.254224,1.217014,0.004227,0.003850
1.254132,1.217569,0.004291,0.003854
1.254029,1.217568,0.004516,0.003898
1.253849,1.220527,0.004643,0.003903
1.253852,1.221328,0.004770,0.003968
1.253824,1.221373,0.004800,0.004074
1.253854,1.223325,0.004865,0.004209
