Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.195721,1.265343,0.001351,0.000112
1.196030,1.266071,0.001339,0.000128
1.194770,1.265772,0.001330,0.000089
1.192820,1.265856,0.001323,0.000058
1.190569,1.265793,0.001316,0.000074
1.189246,1.265560,0.001311,0.000118
1.188581,1.265389,0.001307,0.000155
1.188073,1.265245,0.001304,0.000128
1.188326,1.265338,0.001305,0.000162
1.189145,1.265563,0.001330,0.000213
1.191550,1.265730,0.001331,0.000248
1.192458,1.266238,0.001333,0.000273
1.193134,1.266439,0.001304,0.000273
1.193854,1.266422,0.001306,0.000273
1.195214,1.267327,0.001307,0.000273
1.196985,1.267505,0.001308,0.000214
1.197479,1.268078,0.001310,0.000180
1.197854,1.268213,0.001311,0.000214
1.198444,1.268436,0.001343,0.000274
1.198931,1.269024,0.001345,0.000214
1.199693,1.269084,0.001346,0.000188
1.201169,1.269274,0.001401,0.000163
1.202374,1.269448,0.001434,0.000197
1.203746,1.269645,0.001435,0.000223
1.204575,1.270020,0.001383,0.000172
1.206010,1.271765,0.001416,0.000172
1.206568,1.271729,0.001471,0.000172
1.207332,1.272297,0.001527,0.000173
1.208105,1.272451,0.001529,0.000207
1.208777,1.273054,0.001530,0.000173
1.209336,1.273680,0.001563,0.000259
1.210217,1.274052,0.001650,0.000319
1.211177,1.274271,0.001706,0.000346
1.212467,1.274489,0.001677,0.000320
1.213718,1.274486,0.001709,0.000380
1.214681,1.274547,0.001766,0.000433
1.216092,1.274858,0.001823,0.000459
1.216972,1.275052,0.001848,0.000485
1.217571,1.275267,0.001850,0.000459
1.218337,1.275558,0.001883,0.000486
1.219445,1.275715,0.001940,0.000538
1.220717,1.275433,0.001998,0.000564
1.221548,1.276227,0.002000,0.000617
1.222030,1.276097,0.002001,0.000643
1.222867,1.276320,0.002058,0.000730
1.224051,1.276413,0.002140,0.000757
1.225509,1.277727,0.002166,0.000757
1.226246,1.278232,0.002145,0.000732
1.226251,1.278567,0.002146,0.000810
1.227017,1.278942,0.002172,0.000889
1.227985,1.279481,0.002207,0.000890
1.228518,1.280083,0.002210,0.000943
1.228656,1.280123,0.002212,0.000969
1.229443,1.280683,0.002246,0.001022
1.231069,1.281200,0.002328,0.001049
1.232145,1.281387,0.002355,0.001076
1.232422,1.281611,0.002334,0.001076
1.232732,1.281692,0.002312,0.001077
1.233448,1.281898,0.002426,0.001104
1.233956,1.282225,0.002517,0.001104
1.234408,1.282516,0.002585,0.001105
1.234664,1.282567,0.002588,0.001158
1.234838,1.282562,0.002703,0.001238
1.236334,1.283628,0.002883,0.001265
1.237612,1.284498,0.003007,0.001293
1.238987,1.284979,0.003123,0.001293
1.239362,1.285111,0.003216,0.001347
1.239860,1.285276,0.003364,0.001348
1.240839,1.285434,0.003570,0.001375
1.241707,1.286798,0.003695,0.001402
1.242547,1.286690,0.003788,0.001429
1.243343,1.287477,0.003905,0.001510
1.243704,1.288178,0.004111,0.001563
1.244073,1.288331,0.004237,0.001644
1.244595,1.288542,0.004331,0.001698
1.245274,1.288148,0.004393,0.001752
1.245929,1.289127,0.004520,0.001806
1.246651,1.289444,0.004614,0.001887
1.247481,1.289559,0.004701,0.001941
1.248879,1.289897,0.004821,0.001995
1.248161,1.290042,0.004883,0.002076
1.249788,1.291060,0.004921,0.002078
1.250694,1.291271,0.004984,0.002132
1.250865,1.291562,0.005048,0.002159
1.251324,1.292498,0.005136,0.002214
1.252626,1.293294,0.005232,0.002241
1.254167,1.293800,0.005295,0.002269
1.254808,1.293920,0.005359,0.002351
1.255436,1.294886,0.005447,0.002379
1.256745,1.295223,0.005569,0.002434
1.257596,1.295994,0.005658,0.002462
1.258513,1.296255,0.005814,0.002517
1.259228,1.296914,0.006028,0.002545
1.260447,1.296852,0.006185,0.002574
1.261665,1.297504,0.006308,0.002629
1.262203,1.298234,0.006465,0.002657
1.263140,1.299629,0.006680,0.002686
1.264196,1.300506,0.006871,0.002768
1.265258,1.300638,0.006995,0.002823
1.265596,1.301392,0.007095,0.002905
1.266592,1.301763,0.007279,0.002987
1.268082,1.301937,0.007496,0.002962
1.268617,1.303652,0.007680,0.003018
1.269746,1.304487,0.007814,0.003073
1.271752,1.305452,0.007940,0.003192
1.272943,1.305885,0.008133,0.003365
1.273854,1.306676,0.008226,0.003457
1.274941,1.306994,0.008295,0.003549
1.276635,1.307839,0.008422,0.003642
1.278786,1.308798,0.008584,0.003761
1.280472,1.309461,0.008840,0.003935
1.281018,1.309846,0.009062,0.004136
1.282256,1.311386,0.009251,0.004310
1.283512,1.312349,0.009473,0.004511
1.285321,1.313731,0.009756,0.004658
1.286019,1.314226,0.010014,0.004805
1.286771,1.315266,0.010272,0.005088
1.287942,1.315636,0.010532,0.005263
1.289673,1.316698,0.010842,0.005466
1.290914,1.317821,0.011257,0.005605
1.292016,1.319177,0.011698,0.005690
1.294393,1.319724,0.012139,0.005947
1.295212,1.320557,0.012520,0.006169
1.297299,1.321766,0.012903,0.006390
1.298248,1.322451,0.013312,0.006621
1.300709,1.323869,0.013628,0.006853
1.301736,1.324448,0.013945,0.007057
1.303048,1.325496,0.014330,0.007316
1.305620,1.327492,0.014742,0.007603
1.306618,1.328827,0.015095,0.007973
1.308141,1.329255,0.015388,0.008370
1.310304,1.329867,0.015777,0.008657
1.312498,1.330374,0.016289,0.008973
1.313800,1.331759,0.016775,0.009344
1.314663,1.332477,0.017133,0.009751
1.315373,1.333591,0.017529,0.010214
1.317622,1.335038,0.018108,0.010614
1.319043,1.336224,0.018749,0.011024
1.321170,1.336785,0.019364,0.011405
1.323833,1.338370,0.019954,0.011806
1.325288,1.339305,0.020695,0.012262
1.327359,1.340084,0.021436,0.012783
1.328974,1.341371,0.022240,0.013277
1.331157,1.341995,0.023144,0.013744
1.331834,1.343366,0.024145,0.014240
1.333979,1.344730,0.025333,0.014736
1.335474,1.347100,0.026454,0.015380
1.337910,1.347717,0.027524,0.016080
1.340432,1.348929,0.028685,0.016780
1.344190,1.349794,0.029980,0.017445
1.345418,1.350510,0.031333,0.018203
1.346816,1.351187,0.032671,0.018990
1.348266,1.352289,0.034065,0.019832
1.349210,1.352862,0.035685,0.020851
1.351013,1.353897,0.037407,0.021872
1.353267,1.354264,0.039007,0.022921
1.355227,1.357313,0.040735,0.023851
1.357123,1.358405,0.042500,0.024893
1.359004,1.358783,0.044269,0.026000
1.360274,1.360454,0.046131,0.027053
1.363813,1.360974,0.048035,0.028256
1.366059,1.361897,0.050103,0.029424
1.368343,1.362187,0.052329,0.030620
1.371358,1.362875,0.054567,0.031911
1.372601,1.363677,0.056928,0.033315
1.374811,1.365362,0.059430,0.034693
1.377526,1.368518,0.062001,0.036156
1.378929,1.370174,0.064776,0.037621
1.381285,1.371582,0.067495,0.039087
1.383481,1.373104,0.070464,0.040677
1.387164,1.373665,0.073711,0.042353
1.387750,1.373733,0.077192,0.044292
1.389538,1.374724,0.080864,0.046328
1.391576,1.375349,0.084808,0.048412
1.394663,1.376742,0.088704,0.050535
1.395926,1.377097,0.090522,0.051490
1.398292,1.378385,0.092397,0.052526
1.400317,1.380266,0.094295,0.053592
1.403454,1.380729,0.096396,0.054647
1.405820,1.381833,0.098529,0.055742
1.408332,1.382331,0.100642,0.056876
1.410690,1.382715,0.102897,0.057974
