Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.186418,1.187374,0.000480,0.000997
1.185917,1.186114,0.000496,0.001065
1.186079,1.186454,0.000446,0.001022
1.186450,1.186885,0.000462,0.001075
1.186737,1.187631,0.000616,0.001119
1.185827,1.187922,0.000617,0.001120
1.186699,1.188294,0.000661,0.001120
1.187095,1.188592,0.000617,0.001089
1.187775,1.189039,0.000618,0.001154
1.188069,1.189315,0.000659,0.001219
1.188901,1.191040,0.000660,0.001220
1.189240,1.192965,0.000774,0.001189
1.190607,1.193396,0.000774,0.001157
1.191216,1.193732,0.000742,0.001254
1.191647,1.194023,0.000660,0.001223
1.192543,1.194509,0.000661,0.001224
1.193506,1.194841,0.000704,0.001193
1.194383,1.195094,0.000704,0.001194
1.195155,1.195597,0.000631,0.001228
1.194801,1.198771,0.000518,0.001229
1.195401,1.199146,0.000592,0.001262
1.195977,1.199902,0.000593,0.001231
1.196446,1.201037,0.000677,0.001264
1.196825,1.201116,0.000719,0.001265
1.196333,1.201918,0.000761,0.001267
1.198039,1.202449,0.000762,0.001235
1.198434,1.203676,0.000764,0.001171
1.199033,1.206560,0.000921,0.001237
1.199639,1.207849,0.001068,0.001205
1.199641,1.207776,0.001152,0.001272
1.199863,1.208614,0.001153,0.001273
1.200676,1.208762,0.001154,0.001274
1.200839,1.209439,0.001239,0.001241
1.201782,1.212902,0.001354,0.001210
1.202519,1.213742,0.001397,0.001211
1.202623,1.214669,0.001367,0.001213
1.203301,1.215242,0.001368,0.001312
1.203390,1.215773,0.001369,0.001346
1.203664,1.216027,0.001370,0.001282
1.204500,1.218713,0.001371,0.001217
1.204804,1.220063,0.001372,0.001284
1.204571,1.220546,0.001373,0.001350
1.205921,1.221224,0.001301,0.001285
1.206219,1.221878,0.001270,0.001253
1.205962,1.223303,0.001271,0.001255
1.207323,1.226106,0.001272,0.001256
1.207534,1.226268,0.001274,0.001257
1.208603,1.227002,0.001275,0.001323
1.209089,1.227911,0.001276,0.001191
1.209323,1.228419,0.001309,0.001126
1.209711,1.228632,0.001342,0.001127
1.210204,1.232179,0.001343,0.000996
1.210484,1.232774,0.001344,0.000964
1.211264,1.233532,0.001345,0.000964
1.211544,1.234463,0.001379,0.000965
1.211630,1.235179,0.001412,0.000933
1.211774,1.235794,0.001488,0.000900
1.212145,1.237040,0.001489,0.000833
1.212399,1.237722,0.001490,0.000767
1.212914,1.239174,0.001567,0.000701
1.213498,1.240980,0.001644,0.000702
1.214926,1.242644,0.001677,0.000670
1.215065,1.243915,0.001678,0.000603
1.215231,1.245279,0.001712,0.000637
1.215685,1.246047,0.001757,0.000637
1.216434,1.247818,0.001878,0.000672
1.217125,1.248783,0.001911,0.000672
1.217826,1.249776,0.001912,0.000606
1.218937,1.250579,0.001989,0.000606
1.219146,1.251459,0.002067,0.000641
1.219643,1.252502,0.002145,0.000721
1.219872,1.253540,0.002071,0.000654
1.220586,1.254689,0.002072,0.000721
1.221657,1.257023,0.002105,0.000823
1.221697,1.257680,0.002184,0.000892
1.222498,1.258611,0.002219,0.001007
1.222658,1.259593,0.002188,0.001110
1.222908,1.260758,0.002221,0.001178
1.224268,1.261639,0.002300,0.001212
1.224841,1.263753,0.002379,0.001281
1.224997,1.264667,0.002305,0.001283
1.225911,1.265030,0.002273,0.001352
1.226580,1.266334,0.002352,0.001604
1.226987,1.268351,0.002387,0.001753
1.228422,1.269405,0.002433,0.001868
1.229568,1.270662,0.002403,0.001871
1.229970,1.271331,0.002404,0.002088
1.230601,1.271936,0.002482,0.002226
1.230946,1.273632,0.002561,0.002296
1.231329,1.274333,0.002597,0.002344
1.232012,1.275802,0.002644,0.002381
1.232886,1.276644,0.002800,0.002463
1.232773,1.278365,0.002924,0.002579
1.234371,1.279476,0.002971,0.002764
1.234971,1.280498,0.003007,0.002881
1.234858,1.281154,0.003165,0.002999
1.235867,1.282409,0.003444,0.003185
1.236669,1.284423,0.003558,0.003153
1.237730,1.284999,0.003683,0.003190
1.238891,1.285949,0.003842,0.003228
1.239999,1.288016,0.004045,0.003370
1.240371,1.289172,0.004326,0.003407
1.241278,1.290636,0.004563,0.003490
1.241524,1.291858,0.004767,0.003573
1.242580,1.293118,0.004894,0.003611
1.243585,1.293869,0.005054,0.003614
1.244699,1.295236,0.005214,0.003616
1.245647,1.296809,0.005374,0.003654
1.246669,1.298572,0.005535,0.003692
1.247084,1.299699,0.005662,0.003730
1.248127,1.300437,0.005745,0.003698
1.248872,1.302566,0.005783,0.003701
1.250049,1.303848,0.005911,0.003774
1.250880,1.304803,0.005994,0.003848
1.251812,1.305936,0.005999,0.003886
1.252255,1.306900,0.006037,0.003784
1.253880,1.308435,0.006076,0.003858
1.255121,1.309504,0.006081,0.003967
1.256213,1.311960,0.006132,0.004076
1.257099,1.312675,0.006137,0.004114
1.257939,1.313897,0.006142,0.004153
1.259417,1.315652,0.006227,0.004226
1.260251,1.317517,0.006357,0.004371
1.261318,1.319503,0.006442,0.004445
1.262461,1.320708,0.006447,0.004413
1.263349,1.322291,0.006532,0.004487
1.264772,1.323412,0.006662,0.004633
1.266493,1.325762,0.006827,0.004743
1.267146,1.327127,0.006958,0.004890
1.267351,1.327480,0.007009,0.005000
1.268691,1.328040,0.007094,0.005217
1.270179,1.329480,0.007260,0.005400
1.270724,1.331759,0.007426,0.005547
1.272006,1.334177,0.007466,0.005742
1.273176,1.335658,0.007758,0.006008
1.274700,1.336401,0.008097,0.006274
1.274934,1.337418,0.008276,0.006422
1.275906,1.338657,0.008364,0.006535
1.277714,1.341384,0.008578,0.006730
1.278541,1.343157,0.008871,0.007033
1.279719,1.344343,0.009085,0.007300
1.280778,1.345891,0.009253,0.007498
1.282219,1.348270,0.009388,0.007695
1.283476,1.349688,0.009557,0.007785
1.284583,1.351641,0.009852,0.007982
1.286609,1.352989,0.010113,0.008144
1.287242,1.353997,0.010329,0.008343
1.287328,1.354701,0.010511,0.008470
1.289122,1.355703,0.010807,0.008585
1.290096,1.357443,0.011026,0.008846
1.291333,1.359557,0.011233,0.009107
1.292384,1.361406,0.011439,0.009451
1.293715,1.363495,0.011774,0.009760
1.295154,1.365374,0.012121,0.010058
1.295815,1.366466,0.012423,0.010284
1.296832,1.368285,0.012771,0.010510
1.298462,1.369526,0.013155,0.010773
1.299445,1.370932,0.013538,0.011036
1.300852,1.371713,0.013969,0.011335
1.301614,1.374039,0.014353,0.011634
1.303485,1.374903,0.014774,0.011947
1.305635,1.378515,0.015242,0.012261
1.306753,1.379784,0.015874,0.012757
1.307694,1.380572,0.016437,0.013217
1.309038,1.383282,0.016908,0.013497
1.309488,1.383811,0.017392,0.013813
1.310595,1.385217,0.017993,0.014166
1.311446,1.387083,0.018513,0.014556
1.313463,1.387591,0.018987,0.015107
1.313744,1.389058,0.019461,0.015694
1.314689,1.391192,0.020019,0.016246
1.315797,1.393535,0.020589,0.016762
1.316447,1.395333,0.021244,0.017279
1.317461,1.397520,0.021972,0.018017
1.319342,1.398741,0.022747,0.018645
1.319797,1.399587,0.023114,0.018984
1.320113,1.400943,0.023441,0.019290
1.322065,1.403051,0.023660,0.019508
1.323365,1.404753,0.023965,0.019764
1.324319,1.407253,0.024277,0.020125
1.326001,1.409203,0.024577,0.020504
1.326311,1.410610,0.024883,0.020906
