Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.310947,1.166783,0.003348,0.001778
1.310584,1.167482,0.003340,0.001912
1.311118,1.168796,0.003333,0.002069
1.311278,1.172246,0.003388,0.002154
1.312608,1.173633,0.003435,0.002226
1.314582,1.176655,0.003424,0.002287
1.313877,1.179289,0.003415,0.002292
1.313568,1.182122,0.003374,0.002342
1.314766,1.183835,0.003424,0.002502
1.315360,1.186668,0.003429,0.002542
1.316066,1.190228,0.003512,0.002738
1.316139,1.190211,0.003519,0.002904
1.317668,1.196314,0.003602,0.003028
1.317926,1.198429,0.003719,0.003229
1.318303,1.202306,0.003902,0.003364
1.318553,1.205816,0.004009,0.003499
1.318771,1.210009,0.004160,0.003591
1.318995,1.214150,0.004344,0.003684
1.319407,1.219475,0.004452,0.003811
1.319620,1.221834,0.004560,0.003938
1.320808,1.227226,0.004678,0.004066
1.321626,1.232776,0.004830,0.004204
1.322089,1.238227,0.005049,0.004380
1.322201,1.243533,0.005192,0.004509
1.323222,1.250243,0.005446,0.004732
1.323779,1.252154,0.005624,0.004876
1.324617,1.260319,0.005767,0.004974
1.326629,1.268238,0.005945,0.005039
1.327921,1.276857,0.006057,0.005056
1.330231,1.284624,0.006169,0.005155
1.331432,1.290599,0.006281,0.005255
1.332876,1.299781,0.006428,0.005440
1.334688,1.309120,0.006541,0.005543
1.337251,1.317630,0.006688,0.005731
1.339880,1.325082,0.006917,0.005835
1.343193,1.333814,0.007179,0.006074
1.345115,1.340793,0.007477,0.006386
1.347142,1.345335,0.007777,0.006617
1.350007,1.354740,0.008112,0.006946
1.352881,1.360157,0.008310,0.007179
1.355580,1.368247,0.008543,0.007463
1.359247,1.374818,0.008845,0.007785
1.361718,1.382882,0.009254,0.008158
1.364090,1.386206,0.009732,0.008620
1.367288,1.392292,0.010260,0.009137
1.369939,1.399300,0.010929,0.009693
1.371406,1.401026,0.011671,0.010308
1.375779,1.412842,0.012496,0.011102
1.379264,1.421700,0.013500,0.011992
1.381288,1.426130,0.014684,0.013115
1.384586,1.434892,0.016130,0.014236
1.387829,1.444967,0.017759,0.015701
1.390009,1.451100,0.019913,0.017669
1.392961,1.460079,0.022370,0.020196
1.396309,1.468918,0.023246,0.020981
1.397825,1.472730,0.024215,0.021826
1.400738,1.477007,0.025344,0.022763
1.405392,1.492463,0.026439,0.023797
1.408492,1.501300,0.027697,0.024978
1.411706,1.510542,0.029096,0.026246
1.414776,1.520138,0.030577,0.027753
