Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.309407,1.231542,0.002620,0.000196
1.309657,1.231504,0.002672,0.000276
1.312775,1.232169,0.002715,0.000288
1.315023,1.233247,0.002716,0.000262
1.317850,1.235893,0.002826,0.000273
1.321071,1.236589,0.002790,0.000324
1.323998,1.237341,0.002815,0.000329
1.326418,1.238727,0.002899,0.000307
1.329701,1.240134,0.002908,0.000334
1.332764,1.241694,0.003056,0.000334
1.335635,1.243420,0.003091,0.000396
1.335977,1.243375,0.003127,0.000423
1.341639,1.245558,0.003215,0.000460
1.343616,1.247174,0.003199,0.000486
1.347045,1.247467,0.003211,0.000460
1.348690,1.248781,0.003336,0.000461
1.348692,1.248426,0.003409,0.000426
1.355477,1.251705,0.003483,0.000463
1.358303,1.253108,0.003583,0.000490
1.360834,1.253944,0.003561,0.000464
1.363618,1.255501,0.003715,0.000529
1.366607,1.257720,0.003754,0.000502
1.369056,1.258352,0.003676,0.000502
1.371965,1.259636,0.003685,0.000439
1.374771,1.261526,0.003699,0.000476
1.376896,1.262703,0.003886,0.000505
1.376871,1.262807,0.004103,0.000606
1.382600,1.265712,0.004293,0.000635
1.385794,1.267712,0.004425,0.000609
1.387935,1.269805,0.004617,0.000801
1.390055,1.272023,0.004716,0.000839
1.390110,1.272112,0.004844,0.000812
1.395180,1.275915,0.005088,0.000980
1.397886,1.279263,0.005370,0.000980
1.400192,1.280891,0.005747,0.001008
1.402855,1.283583,0.006205,0.001011
1.402903,1.283490,0.006758,0.001206
1.408557,1.288557,0.007495,0.001337
1.412774,1.291079,0.008448,0.001606
1.415753,1.294020,0.009516,0.001841
1.419674,1.297433,0.010662,0.002180
1.420168,1.297437,0.012028,0.002577
1.427317,1.302640,0.013764,0.003208
1.430375,1.304526,0.016083,0.004101
1.433279,1.307097,0.019001,0.005000
1.438423,1.310167,0.022703,0.006294
1.438377,1.310090,0.027256,0.007956
1.448631,1.316446,0.032729,0.009864
1.453595,1.318441,0.039650,0.012546
1.457745,1.321325,0.048323,0.015898
1.461136,1.322861,0.058966,0.019896
1.461186,1.322802,0.071759,0.024636
1.474682,1.329103,0.086840,0.030324
1.480135,1.332980,0.091814,0.032241
1.486972,1.334543,0.097312,0.034376
1.489043,1.335769,0.103488,0.036703
1.489186,1.335275,0.110447,0.039324
1.502134,1.343445,0.118242,0.042173
1.510340,1.345379,0.126983,0.045371
1.514485,1.349965,0.136570,0.048994
