Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.295008,1.127235,0.003350,0.004262
1.294229,1.126828,0.003428,0.004245
1.292836,1.126764,0.003490,0.004233
1.293501,1.123996,0.003406,0.004285
1.290865,1.123424,0.003460,0.004272
1.289707,1.123113,0.003457,0.004261
1.288829,1.122743,0.003561,0.004302
1.288524,1.122404,0.003595,0.004291
1.289320,1.122382,0.003597,0.004250
1.288106,1.122201,0.003656,0.004301
1.287827,1.121795,0.003700,0.004352
1.287531,1.121028,0.003760,0.004311
1.286928,1.120446,0.003762,0.004316
1.286496,1.119300,0.003764,0.004321
1.286079,1.118802,0.003866,0.004371
1.285780,1.117317,0.003911,0.004376
1.285554,1.116405,0.003913,0.004381
1.284733,1.116159,0.003872,0.004432
1.284086,1.115420,0.003931,0.004437
1.282964,1.114796,0.003933,0.004488
1.282040,1.114120,0.003978,0.004493
1.282217,1.113833,0.003981,0.004498
1.281420,1.112867,0.004041,0.004503
1.280738,1.112039,0.003985,0.004507
1.280580,1.111411,0.003987,0.004466
1.280639,1.110928,0.004047,0.004534
1.280027,1.110341,0.004093,0.004586
1.280163,1.110902,0.004096,0.004590
1.280331,1.111738,0.004040,0.004595
1.280706,1.112137,0.003999,0.004601
1.281758,1.112640,0.004059,0.004653
1.282404,1.113418,0.004119,0.004768
1.282620,1.113821,0.004121,0.004773
1.283848,1.114684,0.004123,0.004778
1.283894,1.115062,0.004125,0.004894
1.284638,1.115711,0.004229,0.005057
1.284994,1.116646,0.004232,0.005174
1.285533,1.117582,0.004075,0.005226
1.285688,1.117917,0.004135,0.005342
1.286512,1.118688,0.004238,0.005457
1.286928,1.119013,0.004285,0.005559
1.287197,1.120419,0.004244,0.005565
1.287490,1.120943,0.004203,0.005570
1.287737,1.121661,0.004306,0.005622
1.287867,1.122533,0.004410,0.005740
1.288830,1.122495,0.004457,0.005905
1.289889,1.123329,0.004503,0.005848
1.291265,1.124659,0.004549,0.005806
1.291366,1.124782,0.004653,0.005811
1.292042,1.125497,0.004816,0.005819
1.291844,1.125240,0.004878,0.005826
1.292684,1.126431,0.004924,0.005785
1.293263,1.127621,0.004984,0.005791
1.293556,1.128152,0.005191,0.005797
1.293666,1.128922,0.005238,0.005852
1.294356,1.129951,0.005241,0.005812
1.294862,1.131016,0.005244,0.005818
1.295483,1.131201,0.005349,0.005871
1.295835,1.131734,0.005512,0.005990
1.296439,1.131940,0.005662,0.006095
1.297069,1.132445,0.005724,0.006152
1.298216,1.132806,0.005830,0.006321
1.298659,1.133317,0.005936,0.006440
1.298856,1.133381,0.006042,0.006560
1.299202,1.133783,0.006090,0.006715
1.299436,1.134811,0.006138,0.006919
1.299792,1.136374,0.006244,0.007073
1.300099,1.137371,0.006453,0.007193
1.300520,1.138015,0.006501,0.007298
1.300702,1.138664,0.006666,0.007454
1.300939,1.139530,0.006891,0.007560
1.300757,1.140203,0.007160,0.007681
1.301336,1.140966,0.007429,0.007901
1.301171,1.142167,0.007537,0.008007
1.301371,1.143197,0.007600,0.008116
1.301862,1.144624,0.007708,0.008174
1.302451,1.144992,0.007830,0.008232
1.303165,1.145678,0.008056,0.008488
1.303283,1.146525,0.008223,0.008695
1.303210,1.147642,0.008346,0.008804
1.302940,1.149059,0.008469,0.008815
1.304121,1.148941,0.008592,0.008925
1.304437,1.150231,0.008700,0.009133
1.303951,1.150847,0.008823,0.009392
1.304495,1.152315,0.008828,0.009503
1.304642,1.153138,0.008833,0.009562
1.304527,1.154250,0.008838,0.009771
1.305698,1.155583,0.008843,0.009931
1.305714,1.157075,0.008908,0.010041
1.306275,1.157992,0.008972,0.010102
1.305923,1.159192,0.009036,0.010213
1.306370,1.160585,0.009041,0.010374
1.306416,1.161477,0.009047,0.010486
1.306251,1.162028,0.009097,0.010599
1.307241,1.164362,0.009147,0.010661
1.306868,1.165212,0.009092,0.010723
1.306938,1.166222,0.009097,0.010836
1.306955,1.167967,0.009207,0.010898
1.307208,1.169063,0.009317,0.010910
1.307136,1.169560,0.009427,0.011025
1.308149,1.170677,0.009432,0.011189
1.308179,1.173478,0.009543,0.011303
1.308514,1.174731,0.009699,0.011537
1.308476,1.176189,0.009809,0.011701
1.308617,1.177881,0.009814,0.011764
1.308650,1.179017,0.009819,0.011828
1.308328,1.180351,0.009870,0.011891
1.309002,1.182177,0.009980,0.011955
1.309075,1.183702,0.009986,0.012071
1.310525,1.185696,0.010052,0.012033
1.309965,1.186873,0.010163,0.012045
1.310556,1.189492,0.010425,0.012230
1.310818,1.191532,0.010597,0.012397
1.310933,1.193072,0.010709,0.012634
