Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.168822,1.209302,0.005798,0.001400
1.168858,1.209616,0.005800,0.001280
1.168998,1.209787,0.005803,0.001184
1.169370,1.210262,0.005806,0.001281
1.169860,1.210718,0.005808,0.001362
1.170202,1.211470,0.005811,0.001282
1.171276,1.211723,0.005813,0.001053
1.172483,1.214679,0.005738,0.000918
1.173716,1.215666,0.005665,0.000983
1.173995,1.216469,0.005670,0.000985
1.174345,1.217814,0.005675,0.000835
1.174792,1.218363,0.005680,0.000555
1.174971,1.218827,0.005685,0.000556
1.175352,1.219238,0.005690,0.000557
1.175505,1.219586,0.005695,0.000494
1.175941,1.219931,0.005699,0.000344
1.176097,1.220491,0.005704,0.000344
1.176555,1.221292,0.005709,0.000475
1.176795,1.222767,0.005714,0.000476
1.176924,1.223362,0.005719,0.000478
1.177101,1.224140,0.005724,0.000674
1.177418,1.224585,0.005729,0.000890
1.178218,1.224647,0.005812,0.000977
1.178278,1.225815,0.005895,0.001043
1.179787,1.226523,0.005900,0.000980
1.179993,1.227821,0.005905,0.001066
1.180331,1.228698,0.005910,0.001348
1.180613,1.229035,0.005915,0.001414
1.181210,1.230238,0.005920,0.001481
1.182134,1.231174,0.005925,0.001680
1.182213,1.232047,0.005930,0.001898
1.183246,1.232672,0.005935,0.002030
1.183381,1.233775,0.005939,0.001966
1.184068,1.234322,0.006004,0.002034
1.183845,1.235183,0.006009,0.002036
1.184361,1.236131,0.006014,0.002171
1.184590,1.236889,0.006019,0.002437
1.184950,1.237639,0.006024,0.002569
1.185519,1.238067,0.006089,0.002638
1.185306,1.238933,0.006094,0.002705
1.184331,1.239795,0.006099,0.002904
1.184471,1.241126,0.006164,0.003171
1.184572,1.241729,0.006230,0.003372
1.184627,1.243072,0.006295,0.003440
1.185553,1.243914,0.006300,0.003378
1.186459,1.244850,0.006366,0.003447
1.187692,1.245368,0.006431,0.003582
1.187767,1.246150,0.006437,0.003784
1.187697,1.246952,0.006442,0.003786
1.187553,1.247354,0.006447,0.003855
1.187624,1.250002,0.006513,0.003860
1.188146,1.250460,0.006720,0.003864
1.189411,1.252259,0.006867,0.003933
1.189813,1.253174,0.006873,0.004137
1.190168,1.253676,0.006878,0.004475
1.190189,1.254670,0.007025,0.004612
1.190586,1.254532,0.007112,0.004616
1.191301,1.256365,0.007200,0.004687
1.192582,1.256698,0.007144,0.004690
1.193109,1.257453,0.007149,0.004761
1.193798,1.257838,0.007298,0.004899
1.194574,1.259237,0.007528,0.004903
1.196347,1.259748,0.007738,0.005042
1.197703,1.261269,0.007744,0.005180
1.198766,1.262505,0.007811,0.005318
1.198814,1.263113,0.007899,0.005458
1.199859,1.264404,0.007988,0.005530
1.201258,1.265223,0.007995,0.005737
1.201879,1.265867,0.007939,0.005674
1.202493,1.266919,0.008006,0.005544
1.202832,1.267981,0.008075,0.005549
1.203852,1.269223,0.008225,0.005553
1.206190,1.270699,0.008294,0.005558
1.207333,1.271251,0.008361,0.005834
1.208377,1.271355,0.008428,0.005838
1.209033,1.272496,0.008436,0.005843
1.211141,1.272565,0.008362,0.005915
1.211798,1.274370,0.008225,0.005852
1.212841,1.274807,0.008231,0.005856
1.213644,1.276647,0.008382,0.005929
1.214735,1.277731,0.008451,0.005867
1.216584,1.278708,0.008522,0.005873
1.217693,1.279303,0.008530,0.005810
1.220212,1.280403,0.008597,0.005883
1.221337,1.282340,0.008894,0.005956
1.222482,1.282683,0.009048,0.006030
1.224030,1.284235,0.009119,0.006103
1.225295,1.285854,0.008981,0.006108
1.226875,1.286116,0.009070,0.005976
1.228221,1.286781,0.009452,0.006050
1.229412,1.288318,0.009774,0.006193
1.230553,1.289316,0.010095,0.006266
1.232372,1.290105,0.010562,0.006271
1.234055,1.291655,0.011092,0.006345
1.235212,1.292598,0.011414,0.006420
1.236005,1.294386,0.011737,0.006564
1.238462,1.294910,0.011978,0.006570
1.240309,1.296359,0.012364,0.006574
1.241454,1.296515,0.012896,0.006580
1.243363,1.298558,0.013138,0.006725
1.245185,1.299672,0.013380,0.006870
1.246986,1.301347,0.013559,0.006876
1.248164,1.301841,0.014093,0.006880
1.250481,1.303943,0.014543,0.007025
1.252824,1.304371,0.014702,0.007170
1.254109,1.306132,0.014862,0.007410
1.255446,1.306622,0.015022,0.007486
1.257446,1.307819,0.015098,0.007561
1.258815,1.308994,0.015195,0.007800
1.260680,1.311228,0.015420,0.008041
1.261277,1.311849,0.015729,0.008283
1.263898,1.312899,0.015742,0.008523
1.266633,1.313213,0.015818,0.008904
1.267984,1.313772,0.015979,0.009215
1.269445,1.315871,0.016291,0.009599
1.271345,1.317431,0.016453,0.009983
1.273095,1.318171,0.016529,0.010507
