Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.216812,1.223729,0.003964,0.002183
1.216071,1.223434,0.004278,0.002297
1.216458,1.223809,0.004303,0.002215
1.216972,1.224085,0.004193,0.002440
1.217802,1.224200,0.004153,0.002360
1.219463,1.224338,0.004247,0.002426
1.219434,1.224580,0.004372,0.002482
1.219722,1.225393,0.004329,0.002482
1.220333,1.227145,0.004333,0.002534
1.221920,1.227185,0.004378,0.002699
1.223052,1.227467,0.004438,0.002750
1.223418,1.227495,0.004541,0.002702
1.224213,1.227717,0.004643,0.002868
1.224621,1.228028,0.004689,0.002820
1.226577,1.228371,0.004748,0.003135
1.227350,1.228414,0.004851,0.003187
1.228333,1.228664,0.004761,0.003238
1.229147,1.228758,0.004710,0.003405
1.229704,1.229005,0.004714,0.003308
1.229812,1.229166,0.004774,0.003475
1.231073,1.229463,0.004822,0.003527
1.232224,1.229550,0.004828,0.003628
1.233313,1.229708,0.005043,0.003779
1.234530,1.230400,0.005201,0.003682
1.235069,1.231113,0.005360,0.003833
1.236538,1.231223,0.005465,0.003985
1.237707,1.232360,0.005318,0.004137
1.238831,1.232437,0.005282,0.004239
1.239652,1.232361,0.005400,0.004441
1.240382,1.232150,0.005504,0.004544
1.241714,1.232297,0.005567,0.004646
1.242435,1.232447,0.005673,0.004749
1.242968,1.232476,0.005790,0.004852
1.243919,1.232746,0.005993,0.005054
1.245228,1.232664,0.006154,0.005157
1.245647,1.233100,0.006261,0.005260
1.247525,1.232640,0.006367,0.005313
1.247856,1.233197,0.006375,0.005366
1.249025,1.233410,0.006524,0.005569
1.249908,1.233932,0.006631,0.005622
1.250655,1.234048,0.006682,0.005575
1.251708,1.234457,0.006945,0.005729
1.252603,1.234152,0.006994,0.005833
1.253433,1.235083,0.007144,0.005887
1.253973,1.236008,0.007252,0.005840
1.254711,1.236619,0.007303,0.005843
1.256488,1.236922,0.007355,0.005947
1.257191,1.237752,0.007462,0.005900
1.258496,1.238044,0.007570,0.005853
1.259196,1.238751,0.007621,0.005856
1.259603,1.239449,0.007630,0.005910
1.260353,1.240002,0.007740,0.005913
1.261132,1.241593,0.007893,0.005865
1.261578,1.242183,0.008003,0.005767
1.262900,1.242474,0.008114,0.005719
1.263488,1.243175,0.008224,0.005773
1.263888,1.243453,0.008234,0.005675
1.264664,1.244138,0.008402,0.005628
1.265740,1.244927,0.008512,0.005581
