Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.261671,1.181817,0.004449,0.001863
1.261779,1.181769,0.004545,0.001958
1.261974,1.181765,0.004623,0.002034
1.262585,1.182218,0.004762,0.002096
1.263275,1.182687,0.004690,0.002091
1.263757,1.183407,0.004629,0.002140
1.264983,1.183288,0.004637,0.002182
1.266877,1.183348,0.004739,0.002263
1.268056,1.183431,0.004786,0.002219
1.268653,1.183018,0.004751,0.002220
1.269260,1.183072,0.004701,0.002221
1.269808,1.183037,0.004802,0.002328
1.270997,1.182980,0.004904,0.002390
1.271945,1.182710,0.004909,0.002436
1.273630,1.181963,0.004969,0.002529
1.274659,1.181918,0.005028,0.002530
1.275010,1.182253,0.005090,0.002577
1.276018,1.182138,0.005151,0.002579
1.277219,1.182287,0.005061,0.002535
1.278638,1.182828,0.005121,0.002673
1.279066,1.182977,0.005181,0.002766
1.280257,1.182959,0.005284,0.002813
1.280872,1.183457,0.005347,0.002769
1.281359,1.183799,0.005409,0.002816
1.282437,1.184517,0.005358,0.003016
1.284919,1.184790,0.005460,0.003155
1.286740,1.184666,0.005523,0.003202
1.287654,1.185127,0.005586,0.003249
1.288693,1.185309,0.005592,0.003251
1.289508,1.185632,0.005541,0.003207
1.290339,1.185981,0.005589,0.003254
1.292390,1.186433,0.005595,0.003210
1.293490,1.186732,0.005602,0.003166
1.294386,1.187905,0.005608,0.003259
1.294827,1.188432,0.005557,0.003169
1.295822,1.189273,0.005661,0.003079
1.296853,1.189554,0.005725,0.003081
1.298097,1.190243,0.005676,0.003175
1.299462,1.191136,0.005584,0.003223
1.299954,1.192740,0.005645,0.003179
1.300573,1.193451,0.005651,0.003181
1.301337,1.194494,0.005715,0.003183
1.301871,1.195335,0.005666,0.003277
1.303551,1.196920,0.005614,0.003372
1.305147,1.198180,0.005719,0.003420
1.306218,1.199202,0.005783,0.003514
1.307291,1.199730,0.005891,0.003516
1.308276,1.200967,0.005841,0.003610
1.309623,1.202638,0.005947,0.003659
1.310482,1.204142,0.006109,0.003800
1.312307,1.205082,0.006217,0.003894
1.313986,1.205885,0.006268,0.003850
1.315245,1.208380,0.006333,0.003852
1.315912,1.210054,0.006498,0.003901
1.317109,1.210952,0.006662,0.003949
1.318581,1.212182,0.006828,0.003952
1.319664,1.213647,0.006981,0.004000
1.321236,1.215322,0.006988,0.004049
1.323444,1.217496,0.007356,0.004099
1.324932,1.218580,0.007522,0.004100
1.325592,1.219173,0.007733,0.004056
1.326445,1.221540,0.007742,0.004152
1.328014,1.222856,0.007865,0.004247
1.330061,1.224358,0.008077,0.004297
1.331629,1.225580,0.008348,0.004253
1.333194,1.227118,0.008416,0.004255
1.334500,1.229103,0.008528,0.004398
1.335701,1.230310,0.008741,0.004353
1.337756,1.232046,0.008897,0.004308
1.339027,1.233294,0.009052,0.004358
1.340933,1.235061,0.009120,0.004360
1.342661,1.236772,0.009189,0.004409
1.345000,1.238373,0.009403,0.004318
1.345915,1.239581,0.009414,0.004274
1.346429,1.240391,0.009527,0.004417
1.347701,1.241891,0.009597,0.004514
1.349331,1.243357,0.009769,0.004611
1.351421,1.244752,0.009985,0.004566
1.352863,1.245871,0.009996,0.004474
1.354091,1.246765,0.010007,0.004571
1.355515,1.248692,0.010122,0.004621
1.356470,1.250204,0.010193,0.004482
1.359036,1.250956,0.010205,0.004531
1.360685,1.253322,0.010276,0.004676
1.362453,1.255075,0.010347,0.004726
1.363980,1.255794,0.010462,0.004728
1.365435,1.256902,0.010473,0.004588
1.366289,1.259194,0.010544,0.004638
1.367467,1.260182,0.010615,0.004640
1.369019,1.261192,0.010686,0.004644
1.371593,1.262966,0.010698,0.004552
1.372630,1.264503,0.010710,0.004364
1.373522,1.264792,0.010722,0.004319
1.374624,1.265418,0.010793,0.004416
1.375879,1.266469,0.010851,0.004420
1.377920,1.268445,0.010863,0.004422
1.379179,1.269865,0.010875,0.004472
1.381219,1.270731,0.010887,0.004474
1.382217,1.271512,0.010899,0.004477
1.383656,1.274455,0.010957,0.004433
1.385939,1.275377,0.011015,0.004531
1.388288,1.276618,0.011073,0.004724
