Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.246515,1.140707,0.003823,0.003045
1.256963,1.153662,0.003829,0.003082
1.258044,1.155607,0.003835,0.003113
1.258724,1.159687,0.003872,0.003139
1.260288,1.163055,0.004003,0.003233
1.261069,1.166328,0.003995,0.003247
1.262356,1.169919,0.004074,0.003296
1.269910,1.196555,0.004040,0.003363
1.269894,1.196579,0.004070,0.003431
1.271569,1.205612,0.004148,0.003557
1.274908,1.215046,0.004257,0.003601
1.277161,1.222525,0.004311,0.003670
1.277836,1.224634,0.004389,0.003796
1.279137,1.231879,0.004475,0.003948
1.281610,1.236112,0.004508,0.004042
1.284787,1.246262,0.004586,0.004113
1.286759,1.252996,0.004697,0.004218
1.288201,1.256173,0.004784,0.004322
1.289702,1.260010,0.004815,0.004427
1.292823,1.266160,0.004800,0.004476
1.295595,1.273456,0.004888,0.004608
1.296259,1.274774,0.004864,0.004707
1.300095,1.285919,0.005000,0.004817
1.301416,1.287174,0.005089,0.004951
1.303962,1.295623,0.005129,0.005028
1.307706,1.301661,0.005162,0.005164
1.310294,1.306736,0.005252,0.005301
1.312476,1.311987,0.005317,0.005439
1.314429,1.321343,0.005375,0.005492
1.318805,1.325495,0.005433,0.005631
1.322078,1.332020,0.005548,0.005805
1.324142,1.336675,0.005582,0.005946
1.326899,1.344529,0.005690,0.006088
1.329402,1.349147,0.005781,0.006230
1.332517,1.355591,0.005839,0.006400
1.336958,1.365714,0.005898,0.006580
1.337983,1.368031,0.005989,0.006725
1.342356,1.378278,0.006048,0.006836
1.343596,1.382138,0.006132,0.006947
1.347815,1.391817,0.006267,0.007187
1.351257,1.398108,0.006427,0.007400
1.352424,1.401332,0.007294,0.008833
1.358073,1.410509,0.007566,0.009147
1.359423,1.416464,0.007814,0.009593
1.362495,1.424974,0.008189,0.010040
1.366217,1.433588,0.008649,0.010537
1.369059,1.437720,0.009237,0.011161
1.373428,1.449147,0.009963,0.011823
