Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.154936,1.107996,0.005201,0.005524
1.155263,1.107762,0.005208,0.005507
1.156319,1.109665,0.005214,0.005559
1.156730,1.113466,0.005221,0.005603
1.159160,1.116974,0.005228,0.005587
1.159695,1.119829,0.005234,0.005625
1.162278,1.122488,0.005241,0.005658
1.163112,1.123917,0.005247,0.005688
1.164529,1.127773,0.005260,0.005801
1.168415,1.132431,0.005363,0.005814
1.169680,1.137122,0.005421,0.005872
1.172435,1.141826,0.005434,0.005929
1.174401,1.146772,0.005493,0.005944
1.176742,1.150704,0.005506,0.005959
1.178882,1.154873,0.005564,0.005975
1.181326,1.158776,0.005669,0.006094
1.184278,1.164209,0.005682,0.006152
1.188335,1.168742,0.005848,0.006227
1.191918,1.173506,0.005952,0.006347
1.193834,1.177242,0.005966,0.006406
1.197023,1.181786,0.006178,0.006586
1.199862,1.185631,0.006284,0.006662
1.203967,1.190392,0.006390,0.006738
1.206938,1.196044,0.006651,0.006920
1.210522,1.199783,0.006668,0.006979
1.214170,1.203063,0.006838,0.007162
1.218156,1.207583,0.007101,0.007345
1.221351,1.211324,0.007413,0.007529
1.225778,1.214592,0.007724,0.007821
1.229624,1.219606,0.008037,0.008051
1.234152,1.223923,0.008305,0.008179
1.236516,1.228170,0.008713,0.008472
1.240398,1.232466,0.008922,0.008707
1.245084,1.235703,0.009145,0.008944
1.248828,1.239314,0.009556,0.009287
1.253619,1.243276,0.009769,0.009574
1.258077,1.248486,0.010137,0.009920
1.260325,1.251495,0.010506,0.010315
1.265903,1.255688,0.010721,0.010557
1.270210,1.259526,0.011093,0.010904
1.275606,1.265013,0.011308,0.011148
1.280040,1.268079,0.011574,0.011329
1.284817,1.272926,0.011795,0.011573
1.287325,1.277811,0.012015,0.011711
1.291655,1.282752,0.012352,0.011959
1.294858,1.285571,0.012787,0.012207
1.298271,1.291020,0.013127,0.012395
1.300869,1.294098,0.013467,0.012583
1.306122,1.302473,0.014001,0.012724
1.310916,1.306121,0.014442,0.012930
1.313241,1.307689,0.014984,0.012964
1.317217,1.313295,0.015744,0.013044
1.321922,1.317975,0.016390,0.013257
1.326416,1.322801,0.017204,0.013679
1.332181,1.330375,0.017538,0.013830
1.334126,1.333203,0.017976,0.013928
1.338639,1.337429,0.018364,0.014120
1.342657,1.341376,0.018754,0.014258
1.349011,1.346397,0.019291,0.014420
1.354262,1.352875,0.019672,0.014534
1.358563,1.357727,0.019960,0.014673
