Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.000000,1.000000,0.001071,0.001162
0.999217,0.998222,0.001117,0.001148
0.999613,0.998242,0.001039,0.001138
1.001132,0.999548,0.000929,0.001129
1.001480,1.000155,0.000976,0.001296
1.001743,1.000640,0.001067,0.001397
1.002081,1.001128,0.001146,0.001409
1.003011,1.001767,0.001136,0.001350
1.003471,1.002771,0.001370,0.001249
1.003825,1.004460,0.001449,0.001215
1.004144,1.006335,0.001451,0.001217
1.004156,1.006873,0.001452,0.001289
1.005036,1.007885,0.001499,0.001360
1.005384,1.008705,0.001655,0.001290
1.006060,1.009399,0.001735,0.001396
1.006632,1.010792,0.001782,0.001502
1.007359,1.012259,0.001862,0.001574
1.007884,1.012962,0.001986,0.001610
1.008888,1.013924,0.002177,0.001647
1.009152,1.014483,0.002223,0.001579
1.009735,1.014933,0.002260,0.001547
1.010538,1.016680,0.002296,0.001620
1.010918,1.017557,0.002410,0.001620
1.011664,1.018481,0.002335,0.001515
1.012780,1.019798,0.002371,0.001551
1.013232,1.021169,0.002452,0.001553
1.013893,1.022327,0.002534,0.001449
1.014288,1.023362,0.002650,0.001451
1.015365,1.024741,0.002687,0.001523
1.015582,1.025502,0.002690,0.001596
1.016998,1.026629,0.002726,0.001562
1.017579,1.028113,0.002729,0.001457
1.017767,1.029415,0.002766,0.001387
1.018864,1.030108,0.002769,0.001353
1.019504,1.031831,0.002806,0.001284
1.020346,1.032563,0.002809,0.001214
1.020765,1.033443,0.002812,0.001037
1.021279,1.034373,0.002815,0.001073
1.021959,1.034499,0.002818,0.001254
1.022843,1.035552,0.002821,0.001328
1.023229,1.036775,0.002824,0.001329
1.023836,1.037449,0.002827,0.001294
1.024533,1.038260,0.002750,0.001224
1.025156,1.039462,0.002753,0.001334
1.025891,1.040112,0.002756,0.001300
1.026945,1.041116,0.002806,0.001412
1.027828,1.041766,0.002809,0.001522
1.028104,1.042952,0.002812,0.001632
1.028902,1.043490,0.002862,0.001815
1.029471,1.044839,0.002865,0.001963
1.029761,1.045953,0.002868,0.002001
1.030612,1.046538,0.002871,0.002111
1.031652,1.047535,0.002874,0.002148
1.032785,1.048726,0.002924,0.002188
1.033357,1.049576,0.002974,0.002227
