Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.000000,1.000000,0.003553,0.001551
0.999826,0.999394,0.003579,0.001610
0.999831,0.999440,0.003600,0.001553
0.999965,1.000175,0.003573,0.001507
1.000602,1.000808,0.003550,0.001555
1.001673,1.002616,0.003531,0.001556
1.001907,1.004555,0.003515,0.001594
1.001876,1.005299,0.003501,0.001663
1.002259,1.006043,0.003459,0.001734
1.002345,1.006940,0.003538,0.001667
1.002455,1.007857,0.003495,0.001669
1.002700,1.009094,0.003498,0.001706
1.002755,1.010376,0.003544,0.001743
1.002678,1.012307,0.003546,0.001744
1.002757,1.013090,0.003515,0.001885
1.003233,1.014013,0.003594,0.001993
1.003560,1.015049,0.003597,0.002066
1.004007,1.015857,0.003643,0.002173
1.004125,1.016884,0.003678,0.002315
1.004239,1.018016,0.003758,0.002388
1.004955,1.018785,0.003837,0.002461
1.005248,1.019574,0.003917,0.002499
1.005303,1.020642,0.003919,0.002466
1.005183,1.021825,0.003965,0.002575
1.005321,1.023230,0.003967,0.002719
1.005489,1.023940,0.004091,0.002757
1.005893,1.025540,0.004138,0.002796
1.006027,1.026376,0.004141,0.002905
1.006535,1.027057,0.004143,0.002942
1.006755,1.028506,0.004145,0.003016
1.006629,1.029947,0.004225,0.002984
1.007193,1.030612,0.004272,0.003024
1.007394,1.032067,0.004319,0.003098
1.007470,1.033087,0.004322,0.003102
1.007370,1.033860,0.004324,0.003141
1.008256,1.035340,0.004327,0.003180
1.008911,1.036198,0.004408,0.003183
1.008704,1.037302,0.004533,0.003258
1.009078,1.037480,0.004613,0.003226
1.008994,1.038546,0.004616,0.003266
1.009283,1.039541,0.004618,0.003305
1.009609,1.040042,0.004621,0.003345
1.009861,1.040832,0.004579,0.003349
1.009892,1.041533,0.004659,0.003496
1.010274,1.042564,0.004785,0.003537
1.010683,1.043569,0.004755,0.003613
1.010726,1.044881,0.004757,0.003654
1.010938,1.045863,0.004760,0.003780
1.011325,1.046580,0.004886,0.003820
1.011457,1.047518,0.004934,0.003788
1.011486,1.048041,0.005016,0.003864
1.011648,1.049458,0.004940,0.003977
1.011677,1.050334,0.004943,0.004091
1.012318,1.051162,0.004900,0.004095
1.012460,1.052346,0.004948,0.004099
1.012590,1.053480,0.005030,0.004176
1.012796,1.053759,0.004942,0.004218
1.013057,1.054703,0.005035,0.004259
1.013206,1.055493,0.005037,0.004300
1.013479,1.056536,0.005074,0.004341
1.013692,1.057363,0.005111,0.004383
1.014004,1.058479,0.005159,0.004474
1.014061,1.059511,0.005117,0.004431
1.014333,1.060260,0.005086,0.004510
1.014331,1.062110,0.005203,0.004588
1.014504,1.063299,0.005172,0.004630
1.015276,1.064430,0.005220,0.004722
1.015261,1.064991,0.005178,0.004777
1.015419,1.065952,0.005305,0.004856
1.015476,1.066462,0.005388,0.004898
1.016154,1.067784,0.005437,0.004903
1.016330,1.069002,0.005610,0.004995
1.016763,1.069821,0.005613,0.005088
1.017424,1.070485,0.005742,0.005180
1.017448,1.071487,0.005825,0.005273
1.017674,1.072200,0.005794,0.005279
1.018840,1.073955,0.005957,0.005235
1.019364,1.075057,0.006086,0.005291
1.019372,1.075885,0.006204,0.005296
1.019775,1.076527,0.006173,0.005389
1.020223,1.077862,0.006291,0.005484
1.020534,1.078441,0.006409,0.005440
1.020709,1.079240,0.006572,0.005446
1.020901,1.080994,0.006656,0.005503
1.021646,1.082598,0.006695,0.005634
1.021856,1.083256,0.006779,0.005728
1.021987,1.084387,0.006863,0.005684
1.022480,1.086051,0.007027,0.005690
1.023169,1.087583,0.007112,0.005735
1.023662,1.089474,0.007162,0.005818
1.023789,1.090256,0.007326,0.005951
1.024380,1.091363,0.007331,0.006046
1.024772,1.092191,0.007415,0.006091
1.024973,1.092719,0.007466,0.006186
1.025549,1.094405,0.007504,0.006308
1.025895,1.095575,0.007554,0.006315
1.026095,1.096475,0.007605,0.006449
1.026693,1.097276,0.007655,0.006572
1.027081,1.098494,0.007705,0.006656
1.028039,1.100188,0.007756,0.006702
1.028469,1.101941,0.007760,0.006825
1.028817,1.103508,0.007765,0.006882
1.030086,1.105192,0.007769,0.006966
1.030261,1.105839,0.007808,0.007051
1.031230,1.107170,0.007848,0.007059
1.031834,1.108824,0.007852,0.007106
1.032351,1.109609,0.007891,0.007191
1.032908,1.111231,0.007977,0.007237
1.033415,1.112282,0.008063,0.007323
1.033723,1.114051,0.008149,0.007292
1.034819,1.115697,0.008189,0.007456
1.035073,1.115840,0.008275,0.007542
1.035976,1.117229,0.008396,0.007629
