Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.000000,1.000000,0.001720,0.001070
1.000283,0.999953,0.001720,0.001077
1.000483,1.000121,0.001721,0.001124
1.000543,1.000345,0.001673,0.001164
1.000858,1.000887,0.001711,0.001196
1.000843,1.001433,0.001712,0.001224
1.001067,1.001531,0.001742,0.001218
1.001149,1.001881,0.001741,0.001184
1.001211,1.002387,0.001680,0.001214
1.001380,1.002777,0.001743,0.001311
1.001480,1.003334,0.001779,0.001379
1.001767,1.004032,0.001780,0.001380
1.003621,1.006186,0.001746,0.001437
1.004226,1.007946,0.001747,0.001467
1.004392,1.008312,0.001685,0.001497
1.004383,1.009302,0.001660,0.001498
1.004533,1.009706,0.001688,0.001499
1.004637,1.010404,0.001689,0.001540
1.004923,1.010882,0.001689,0.001541
1.004859,1.010862,0.001628,0.001514
1.005016,1.011487,0.001629,0.001487
1.005173,1.014282,0.001666,0.001517
1.005240,1.014976,0.001667,0.001576
1.005379,1.015336,0.001668,0.001549
1.005455,1.015827,0.001642,0.001455
1.005592,1.016237,0.001706,0.001391
1.005685,1.016613,0.001770,0.001421
1.005801,1.016951,0.001770,0.001577
1.007096,1.017421,0.001771,0.001618
1.007895,1.018142,0.001808,0.001658
1.008057,1.019261,0.001872,0.001727
1.008203,1.020996,0.001873,0.001758
1.008947,1.021435,0.001874,0.001760
1.009091,1.022145,0.001874,0.001830
1.009318,1.022656,0.001911,0.001832
1.009482,1.023149,0.001975,0.001901
1.009597,1.023911,0.001977,0.001903
1.009603,1.024283,0.001978,0.001875
1.009935,1.024737,0.001978,0.001877
1.010144,1.026178,0.002006,0.001878
1.010303,1.028192,0.002035,0.001919
1.010462,1.029178,0.002010,0.002020
1.010547,1.029644,0.002010,0.001993
1.010765,1.030455,0.002047,0.002025
1.010971,1.032053,0.002112,0.002028
1.011100,1.032476,0.002140,0.002090
1.011675,1.033060,0.002205,0.002131
1.012521,1.033417,0.002233,0.002164
1.013244,1.033832,0.002298,0.002226
1.013540,1.035058,0.002362,0.002326
1.014178,1.036917,0.002391,0.002388
1.014428,1.037708,0.002392,0.002460
1.015245,1.038428,0.002393,0.002491
1.015512,1.039180,0.002494,0.002592
1.015787,1.040181,0.002596,0.002664
1.015820,1.041349,0.002698,0.002756
1.015965,1.041798,0.002763,0.002790
1.016440,1.042197,0.002928,0.002823
1.016559,1.043096,0.003057,0.002856
1.016881,1.043560,0.003186,0.002948
1.017134,1.045640,0.003252,0.002982
1.019083,1.046605,0.003318,0.003105
1.019279,1.047821,0.003512,0.003169
1.019500,1.048432,0.003678,0.003203
1.019882,1.049649,0.003808,0.003297
1.020601,1.049986,0.003938,0.003361
1.020796,1.050521,0.004095,0.003425
1.021063,1.051842,0.004289,0.003558
1.022663,1.052643,0.004447,0.003653
1.023810,1.053923,0.004541,0.003777
1.024063,1.054779,0.004571,0.003781
1.024707,1.056090,0.004665,0.003877
1.024975,1.058126,0.004759,0.003941
1.025524,1.059575,0.004890,0.004067
