Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.000000,1.000000,0.001209,0.000805
0.999699,0.999857,0.001208,0.000840
1.000044,0.999791,0.001207,0.000826
1.000349,0.999915,0.001207,0.000854
1.000901,0.999942,0.001207,0.000876
1.001248,1.000207,0.001206,0.000895
1.002822,1.000307,0.001206,0.000912
1.004282,1.000426,0.001180,0.000954
1.004968,1.000461,0.001181,0.001011
1.005423,1.000416,0.001218,0.001040
1.005752,1.000487,0.001193,0.001041
1.007180,1.000605,0.001221,0.001098
1.008862,1.000688,0.001258,0.001070
1.009594,1.000723,0.001224,0.001042
1.010157,1.000791,0.001225,0.001071
1.010591,1.001006,0.001227,0.001128
1.011084,1.001050,0.001228,0.001128
1.011527,1.001171,0.001265,0.001185
1.011953,1.001279,0.001267,0.001214
1.012227,1.001346,0.001304,0.001215
1.012507,1.001343,0.001306,0.001244
1.014564,1.001542,0.001307,0.001244
1.015903,1.001638,0.001335,0.001245
1.016353,1.001681,0.001337,0.001218
1.016782,1.002102,0.001302,0.001190
1.017159,1.002434,0.001367,0.001229
1.017493,1.003143,0.001432,0.001258
1.017997,1.003908,0.001462,0.001287
1.019716,1.004405,0.001500,0.001344
1.021205,1.004479,0.001538,0.001411
1.021867,1.004734,0.001576,0.001441
1.022670,1.004883,0.001614,0.001441
1.023081,1.005034,0.001616,0.001414
1.023438,1.005158,0.001617,0.001357
1.024016,1.005260,0.001619,0.001358
1.025085,1.005419,0.001658,0.001359
1.026863,1.005480,0.001760,0.001426
1.027517,1.005644,0.001762,0.001465
1.028477,1.005699,0.001763,0.001495
1.029042,1.005897,0.001829,0.001562
1.029383,1.006002,0.001896,0.001563
1.030624,1.006242,0.001936,0.001536
1.031557,1.006268,0.001911,0.001536
1.033048,1.006425,0.001875,0.001508
1.033932,1.006566,0.001905,0.001509
1.034681,1.006849,0.002001,0.001549
1.035952,1.006983,0.002031,0.001549
1.036680,1.007095,0.001996,0.001617
1.037814,1.007561,0.002034,0.001675
1.038383,1.008848,0.002064,0.001705
1.039379,1.009585,0.002160,0.001744
1.040067,1.010141,0.002126,0.001707
1.040443,1.010316,0.002127,0.001641
1.042127,1.010602,0.002166,0.001680
1.042520,1.010709,0.002206,0.001681
1.043157,1.011137,0.002238,0.001644
1.043283,1.011200,0.002203,0.001674
1.043799,1.011467,0.002205,0.001703
1.044347,1.011699,0.002311,0.001704
1.045513,1.011874,0.002351,0.001705
1.046023,1.012198,0.002355,0.001735
1.047145,1.012388,0.002462,0.001736
1.048443,1.012590,0.002596,0.001737
1.049775,1.013872,0.002694,0.001806
1.051514,1.014284,0.002868,0.001778
1.052521,1.015797,0.002938,0.001808
1.053616,1.016090,0.003075,0.001780
1.054455,1.016295,0.003277,0.001848
1.055435,1.016652,0.003480,0.001811
1.056186,1.017476,0.003646,0.001812
1.057053,1.017986,0.003784,0.001852
1.058176,1.018396,0.003988,0.001892
1.058792,1.018686,0.004221,0.001922
1.059244,1.019382,0.004387,0.002049
1.060293,1.019530,0.004554,0.002109
1.061392,1.020784,0.004693,0.002140
1.064247,1.021888,0.004794,0.002267
1.065444,1.023837,0.004933,0.002298
1.066054,1.024110,0.005111,0.002387
1.067544,1.024797,0.005184,0.002544
1.068628,1.025329,0.005296,0.002575
1.069647,1.026058,0.005369,0.002732
1.070362,1.026607,0.005481,0.002763
1.071629,1.026947,0.005623,0.002892
1.073007,1.028078,0.005736,0.002952
1.075279,1.028490,0.005781,0.003041
1.077070,1.029865,0.005826,0.003131
1.077663,1.030908,0.005939,0.003289
1.079652,1.031271,0.006121,0.003350
1.080658,1.032847,0.006303,0.003381
1.082209,1.033233,0.006486,0.003412
1.084434,1.034040,0.006737,0.003443
1.085024,1.034138,0.006960,0.003533
1.087010,1.035377,0.007144,0.003506
1.088330,1.035879,0.007357,0.003508
