Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.000000,1.000000,0.000818,0.001841
0.999341,1.000200,0.000828,0.001835
0.999696,1.000296,0.000898,0.001786
0.999840,1.000408,0.000900,0.001786
0.999830,1.000637,0.000902,0.001787
1.000201,1.000704,0.000903,0.001822
1.000745,1.000866,0.000871,0.001852
1.002533,1.000969,0.000844,0.001818
1.003154,1.001049,0.000957,0.001849
1.003593,1.001019,0.001141,0.001909
1.004315,1.001160,0.001142,0.001911
1.004730,1.001165,0.001143,0.001942
1.005210,1.001240,0.001185,0.002003
1.005561,1.001387,0.001228,0.002094
1.005970,1.001430,0.001230,0.002125
1.006599,1.001434,0.001231,0.002156
1.007885,1.001548,0.001274,0.002188
1.009194,1.001570,0.001276,0.002279
1.010440,1.001754,0.001277,0.002340
1.010741,1.001756,0.001319,0.002401
1.011196,1.001802,0.001362,0.002432
1.011990,1.001817,0.001477,0.002403
1.012419,1.002211,0.001508,0.002465
1.013787,1.002790,0.001542,0.002556
1.014508,1.002619,0.001585,0.002588
1.016029,1.002957,0.001628,0.002649
1.016517,1.003360,0.001744,0.002651
1.017166,1.003404,0.001788,0.002743
1.017697,1.003583,0.001749,0.002745
1.018176,1.003920,0.001793,0.002777
1.018780,1.004038,0.001794,0.002778
1.020095,1.004166,0.001796,0.002810
1.020870,1.004582,0.001840,0.002811
1.021736,1.004984,0.001925,0.002843
1.021352,1.004741,0.001969,0.002906
1.022257,1.005002,0.001971,0.002907
1.023015,1.005080,0.001931,0.002999
1.022403,1.005179,0.001974,0.003061
1.022831,1.005199,0.001903,0.003094
1.023419,1.005769,0.001863,0.003126
1.024002,1.006058,0.001865,0.003127
1.024013,1.006461,0.001910,0.003190
1.024896,1.007241,0.001913,0.003223
1.025168,1.006972,0.001915,0.003255
1.025781,1.007479,0.001874,0.003287
1.027061,1.007861,0.001919,0.003319
1.027958,1.007781,0.001964,0.003352
1.028296,1.008159,0.001998,0.003414
1.029319,1.008578,0.001958,0.003447
1.029778,1.008518,0.001918,0.003418
1.030251,1.008753,0.001919,0.003420
1.030821,1.008730,0.001964,0.003452
1.031744,1.009226,0.001966,0.003423
1.032732,1.009377,0.002011,0.003395
1.033891,1.010180,0.002056,0.003396
1.034170,1.010752,0.002101,0.003429
1.034329,1.010490,0.002029,0.003462
1.035057,1.011426,0.002031,0.003464
1.035373,1.011675,0.002076,0.003497
1.036020,1.011998,0.002122,0.003530
1.036966,1.012101,0.002081,0.003594
1.037484,1.012418,0.002083,0.003626
1.038384,1.013185,0.002054,0.003659
1.038900,1.013395,0.002175,0.003661
1.039435,1.013694,0.002254,0.003694
1.040050,1.014019,0.002256,0.003819
1.040491,1.014606,0.002258,0.003852
1.041081,1.014768,0.002336,0.003947
1.041645,1.015836,0.002449,0.004011
1.041960,1.016420,0.002484,0.004074
1.042749,1.016736,0.002443,0.004138
1.043175,1.017852,0.002445,0.004141
1.043792,1.017813,0.002525,0.004174
1.044667,1.018443,0.002638,0.004177
1.044455,1.018534,0.002673,0.004179
1.044977,1.018989,0.002675,0.004212
