Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.000000,1.000000,0.002700,0.003316
1.000737,0.999315,0.002779,0.003331
1.002996,1.000554,0.002807,0.003345
1.003689,1.003830,0.002930,0.003357
1.005585,1.004317,0.003004,0.003367
1.007070,1.005692,0.003009,0.003404
1.007780,1.008668,0.003094,0.003411
1.007477,1.009487,0.003168,0.003442
1.008051,1.010270,0.003249,0.003475
1.008373,1.010243,0.003330,0.003538
1.011622,1.015425,0.003437,0.003571
1.013962,1.017426,0.003567,0.003637
1.015591,1.020529,0.003699,0.003646
1.016701,1.022260,0.003806,0.003736
1.016769,1.022308,0.003840,0.003770
1.019282,1.028933,0.003924,0.003803
1.021749,1.032785,0.003984,0.003870
1.023462,1.034969,0.004067,0.003878
1.024605,1.038212,0.004103,0.003945
1.024291,1.038201,0.004164,0.004012
1.028665,1.045904,0.004172,0.003997
1.030589,1.049090,0.004268,0.004123
1.032828,1.053824,0.004305,0.004225
1.034862,1.057388,0.004391,0.004327
1.037351,1.061065,0.004512,0.004454
1.038941,1.063971,0.004635,0.004582
1.042059,1.068413,0.004758,0.004711
1.043956,1.071999,0.004908,0.004898
1.045402,1.075995,0.005058,0.005064
1.049241,1.080841,0.005208,0.005227
1.052113,1.084729,0.005333,0.005416
1.053461,1.088842,0.005510,0.005547
1.057731,1.092027,0.005715,0.005737
1.059358,1.096119,0.005841,0.005929
1.059806,1.096047,0.006074,0.006062
1.066496,1.105344,0.006410,0.006313
1.069164,1.109786,0.006637,0.006448
1.072239,1.112508,0.006987,0.006609
1.076289,1.116480,0.007338,0.006745
1.076283,1.116025,0.007629,0.006881
1.082234,1.124091,0.007949,0.006993
1.086985,1.129597,0.008243,0.007193
1.089705,1.133666,0.008647,0.007359
1.091873,1.136989,0.009051,0.007527
1.091847,1.136964,0.009574,0.007791
1.099796,1.144297,0.010126,0.008092
1.103317,1.149259,0.010790,0.008420
1.108606,1.153653,0.011493,0.008784
1.112203,1.157662,0.012304,0.009178
1.112185,1.157706,0.013040,0.009695
1.119472,1.165016,0.013887,0.010154
1.123712,1.168791,0.014914,0.010741
1.127320,1.172233,0.016223,0.011429
1.132455,1.176977,0.017887,0.012343
1.136346,1.182095,0.018447,0.012691
1.139901,1.182580,0.019028,0.013091
1.143342,1.187330,0.019738,0.013403
1.148153,1.192719,0.020391,0.013817
1.151096,1.194583,0.021171,0.014220
1.151079,1.194444,0.021969,0.014650
1.161780,1.204512,0.022861,0.015067
