Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.000000,1.000000,0.002243,-0.000253
1.001073,0.999175,0.002269,-0.000184
1.001073,0.999175,0.002290,-0.000258
1.003954,0.999586,0.002308,-0.000201
1.004258,0.999921,0.002378,-0.000153
1.004258,0.999921,0.002386,-0.000213
1.004976,1.000234,0.002441,-0.000171
1.005422,1.000369,0.002411,-0.000184
1.005422,1.000369,0.002446,-0.000149
1.005945,1.000602,0.002448,-0.000111
1.006502,1.000890,0.002407,-0.000074
1.006502,1.000890,0.002442,-0.000112
1.008820,1.001189,0.002520,-0.000236
1.009834,1.001283,0.002477,-0.000323
1.009834,1.001283,0.002524,-0.000236
1.012638,1.001870,0.002527,-0.000236
1.013013,1.002050,0.002573,-0.000323
1.013013,1.002050,0.002575,-0.000236
1.013676,1.003637,0.002622,-0.000198
1.013838,1.004025,0.002580,-0.000123
1.013838,1.004025,0.002627,0.000001
1.014648,1.004993,0.002630,-0.000048
1.015050,1.005533,0.002665,-0.000049
1.015050,1.005533,0.002712,0.000025
1.015888,1.006115,0.002759,-0.000012
1.018264,1.006373,0.002806,-0.000048
1.018264,1.006373,0.002853,-0.000012
1.019489,1.008519,0.002934,-0.000013
1.019818,1.008878,0.003059,-0.000014
1.019818,1.008878,0.003062,-0.000102
1.020642,1.009789,0.003110,-0.000102
1.021794,1.010063,0.003112,-0.000014
1.021794,1.010063,0.003114,-0.000064
1.022177,1.010665,0.003117,-0.000152
1.023046,1.011354,0.003164,-0.000151
1.023046,1.011354,0.003167,-0.000277
1.023789,1.013279,0.003170,-0.000150
1.023832,1.013553,0.003217,-0.000100
1.023832,1.013553,0.003220,-0.000049
1.023978,1.014412,0.003223,0.000027
1.023993,1.014769,0.003225,-0.000062
1.023993,1.014769,0.003228,0.000065
1.023786,1.015933,0.003231,0.000306
1.023920,1.016582,0.003233,0.000395
1.023920,1.016582,0.003236,0.000599
1.025116,1.017898,0.003194,0.000637
1.025620,1.018325,0.003197,0.000586
1.025620,1.018325,0.003245,0.000676
1.026520,1.019391,0.003247,0.000727
1.026687,1.020939,0.003250,0.000728
1.026687,1.020939,0.003253,0.000971
1.027757,1.022474,0.003255,0.001011
1.028036,1.023071,0.003258,0.001089
1.028036,1.023071,0.003261,0.001166
1.029616,1.024135,0.003264,0.001206
1.030089,1.024339,0.003266,0.001373
1.030089,1.024339,0.003269,0.001451
1.030706,1.025121,0.003272,0.001414
1.031685,1.025830,0.003321,0.001492
1.031685,1.025830,0.003323,0.001455
1.032890,1.026962,0.003326,0.001534
1.033140,1.027517,0.003375,0.001702
1.033140,1.027517,0.003378,0.001742
1.034175,1.029327,0.003427,0.001820
1.034404,1.029581,0.003477,0.001860
1.034404,1.029581,0.003479,0.001824
1.035334,1.031560,0.003529,0.001825
1.035628,1.032300,0.003578,0.001866
1.035628,1.032300,0.003627,0.001906
1.037154,1.033481,0.003630,0.001908
1.038051,1.033705,0.003633,0.001948
1.038051,1.033705,0.003717,0.001950
1.040090,1.035631,0.003767,0.001991
1.039804,1.035787,0.003770,0.002071
1.039804,1.035787,0.003773,0.002111
1.041070,1.036347,0.003823,0.002113
1.041406,1.037460,0.003908,0.002115
1.041406,1.037460,0.003993,0.002155
1.042971,1.039707,0.003997,0.002196
1.043372,1.040777,0.003953,0.002237
1.043372,1.040777,0.004003,0.002239
1.044585,1.042186,0.004042,0.002281
1.045028,1.042507,0.004080,0.002322
1.045028,1.042507,0.004084,0.002324
1.046027,1.045146,0.004087,0.002326
1.046423,1.045651,0.004172,0.002367
1.046423,1.045651,0.004223,0.002449
1.048112,1.046945,0.004310,0.002530
1.048098,1.048083,0.004266,0.002492
1.048098,1.048083,0.004268,0.002494
1.049358,1.049666,0.004307,0.002576
