Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.000000,1.000000,0.004063,0.000862
1.000020,1.000298,0.004273,0.001041
1.000020,1.000298,0.004298,0.001333
1.000714,1.000732,0.004187,0.001279
1.001025,1.000992,0.004147,0.001297
1.001025,1.000992,0.004176,0.001445
1.001822,1.000468,0.004305,0.001626
1.003370,1.001103,0.004321,0.001567
1.003370,1.001103,0.004324,0.001618
1.003958,1.003752,0.004519,0.001883
1.004524,1.004094,0.004579,0.002001
1.004524,1.004094,0.004680,0.002003
1.005490,1.004635,0.004629,0.002004
1.006321,1.004919,0.004631,0.002103
1.006321,1.004919,0.004675,0.002270
1.007988,1.005393,0.004776,0.002438
1.008269,1.005667,0.004836,0.002440
1.008269,1.005667,0.004785,0.002393
1.009275,1.006004,0.004787,0.002444
1.009418,1.006012,0.004902,0.002613
1.009418,1.006012,0.005003,0.002716
1.010892,1.006672,0.004966,0.002769
1.011133,1.007100,0.004872,0.002938
1.011133,1.007100,0.004834,0.003006
1.012491,1.008162,0.004797,0.003060
1.012663,1.008350,0.004843,0.003113
1.012663,1.008350,0.004793,0.003217
1.013242,1.010049,0.004741,0.003437
1.014018,1.010463,0.004842,0.003707
1.014018,1.010463,0.004999,0.003811
1.014336,1.011583,0.005102,0.003865
1.015208,1.012369,0.005108,0.003968
1.015208,1.012369,0.005069,0.004073
1.015964,1.012987,0.005226,0.004294
1.016130,1.014005,0.005371,0.004348
1.016130,1.014005,0.005433,0.004352
1.016855,1.015419,0.005480,0.004356
1.017617,1.015823,0.005482,0.004461
1.017617,1.015823,0.005640,0.004616
1.018568,1.017912,0.005687,0.004620
1.018389,1.018629,0.005791,0.004674
1.018389,1.018629,0.005853,0.004780
1.019233,1.020624,0.006111,0.004784
1.019368,1.021152,0.006214,0.004839
1.019368,1.021152,0.006276,0.004843
1.020274,1.022750,0.006240,0.004847
1.021029,1.024098,0.006246,0.004953
1.021029,1.024098,0.006348,0.004957
1.021139,1.026531,0.006452,0.004961
1.021171,1.027056,0.006516,0.004965
1.021171,1.027056,0.006621,0.004969
1.021504,1.029201,0.006826,0.004973
1.021814,1.030856,0.007086,0.004977
1.021814,1.030856,0.007233,0.004981
1.022877,1.032654,0.007396,0.004986
1.022813,1.033323,0.007502,0.004990
1.022813,1.033323,0.007651,0.004942
1.023290,1.035087,0.007715,0.004947
1.023604,1.037172,0.007878,0.004951
1.023604,1.037172,0.008028,0.005007
1.024930,1.038987,0.008177,0.005011
1.025298,1.039815,0.008327,0.004963
1.025298,1.039815,0.008634,0.004968
1.025740,1.043494,0.008784,0.005024
1.026494,1.044337,0.008734,0.005133
1.026494,1.044337,0.008785,0.005189
1.026842,1.046944,0.008792,0.005193
1.027319,1.049708,0.008943,0.005249
1.027319,1.049708,0.009051,0.005306
