Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.000000,1.000000,0.004141,0.001312
1.000019,0.999931,0.004144,0.001272
1.000574,1.000235,0.004146,0.001313
1.000867,1.000479,0.004149,0.001063
1.001293,1.000661,0.004151,0.001174
1.001809,1.000803,0.004154,0.001212
1.002942,1.001116,0.004156,0.001297
1.003458,1.001345,0.004158,0.001275
1.003854,1.001463,0.004163,0.001227
1.004199,1.001725,0.004168,0.001324
1.004599,1.002515,0.004173,0.001469
1.005974,1.002915,0.004178,0.001470
1.006489,1.003188,0.004182,0.001662
1.006959,1.003832,0.004187,0.001567
1.007541,1.004131,0.004191,0.001615
1.008477,1.004401,0.004196,0.001569
1.009298,1.004983,0.004201,0.001570
1.010062,1.005154,0.004205,0.001522
1.010575,1.005666,0.004210,0.001827
1.010947,1.005816,0.004215,0.001684
1.011581,1.006426,0.004219,0.001685
1.012124,1.006977,0.004224,0.001783
1.012708,1.007473,0.004229,0.001977
1.013147,1.007781,0.004233,0.002074
1.014588,1.008050,0.004238,0.002075
1.015234,1.008289,0.004300,0.001931
1.015836,1.008737,0.004305,0.001835
1.016555,1.008889,0.004310,0.001838
1.016864,1.009594,0.004314,0.001983
1.017206,1.010767,0.004319,0.002130
1.018603,1.011002,0.004381,0.002131
1.019235,1.011154,0.004386,0.002326
1.020064,1.011522,0.004391,0.002570
1.020522,1.012024,0.004453,0.002669
1.021300,1.012477,0.004458,0.002913
1.021864,1.012946,0.004520,0.003108
1.022543,1.013019,0.004525,0.003013
1.023155,1.013472,0.004530,0.002967
1.023909,1.013779,0.004592,0.003065
1.024336,1.014485,0.004698,0.003164
1.024615,1.015391,0.004704,0.003165
1.025484,1.015462,0.004709,0.003360
1.025800,1.015732,0.004714,0.003265
1.027166,1.015927,0.004777,0.003315
1.027481,1.016274,0.004884,0.003268
1.028423,1.016666,0.004831,0.003318
1.029328,1.016952,0.004836,0.003321
1.029898,1.017129,0.004841,0.003274
1.030537,1.017352,0.004891,0.003179
1.031291,1.018026,0.004954,0.003132
1.032254,1.018161,0.004902,0.003085
1.033344,1.018287,0.004906,0.003185
1.033866,1.018546,0.004970,0.003236
1.034294,1.019676,0.005020,0.003238
1.035108,1.020549,0.005085,0.003240
1.035792,1.020970,0.005032,0.003438
1.036269,1.021070,0.005037,0.003489
1.037032,1.021190,0.005145,0.003589
1.037608,1.021605,0.005255,0.003640
1.038721,1.021842,0.005261,0.003740
1.039078,1.021904,0.005266,0.003791
1.040016,1.022178,0.005330,0.003794
1.040621,1.022471,0.005439,0.003796
1.041629,1.022570,0.005550,0.003897
1.042218,1.023001,0.005601,0.003998
1.042700,1.023684,0.005606,0.004099
1.044330,1.024025,0.005671,0.004101
1.044946,1.024922,0.005721,0.004153
1.045929,1.025560,0.005788,0.004254
1.046655,1.026002,0.005736,0.004256
1.047318,1.026425,0.005741,0.004259
1.048290,1.026647,0.005805,0.004261
1.049100,1.027195,0.005872,0.004263
1.049924,1.027445,0.005925,0.004315
1.050196,1.027512,0.005886,0.004317
1.050865,1.027949,0.005891,0.004320
