Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.000000,1.000000,0.005506,0.002545
1.000640,0.999340,0.005414,0.002489
1.000840,0.999794,0.005483,0.002513
1.000917,1.000034,0.005467,0.002533
1.001120,1.001803,0.005453,0.002550
1.001454,1.002917,0.005394,0.002565
1.001542,1.003272,0.005388,0.002578
1.001704,1.004576,0.005437,0.002589
1.001855,1.006266,0.005494,0.002683
1.002174,1.006542,0.005498,0.002686
1.002321,1.007030,0.005446,0.002644
1.003045,1.007266,0.005449,0.002693
1.004347,1.007880,0.005561,0.002787
1.004193,1.008445,0.005565,0.002835
1.004554,1.008828,0.005527,0.002884
1.004670,1.009754,0.005530,0.002888
1.005102,1.010808,0.005574,0.002983
1.004973,1.011387,0.005577,0.003032
1.005006,1.013761,0.005635,0.003035
1.005169,1.014385,0.005638,0.003038
1.005683,1.014743,0.005682,0.002995
1.005866,1.016085,0.005740,0.003044
1.006039,1.016491,0.005743,0.003094
1.006087,1.016887,0.005747,0.003144
1.006244,1.017481,0.005750,0.003287
1.006313,1.017943,0.005904,0.003431
1.006558,1.018502,0.006017,0.003574
1.006678,1.019608,0.005966,0.003625
1.006715,1.021344,0.005859,0.003675
1.006852,1.023852,0.005807,0.003679
1.007330,1.025047,0.005769,0.003777
1.008116,1.025597,0.005827,0.003734
1.008270,1.026135,0.005830,0.003738
1.008443,1.026701,0.005737,0.003835
1.008819,1.027302,0.005795,0.003885
1.009434,1.028344,0.005909,0.004029
1.009612,1.030003,0.006009,0.004080
1.009939,1.031248,0.006165,0.004179
1.010053,1.031494,0.006224,0.004231
1.010315,1.032627,0.006325,0.004189
1.010402,1.033831,0.006425,0.004147
1.010003,1.034503,0.006471,0.004105
1.010343,1.036210,0.006530,0.004157
1.011017,1.038506,0.006491,0.004208
1.010715,1.040372,0.006549,0.004308
1.010810,1.041089,0.006649,0.004314
1.010504,1.041919,0.006806,0.004460
1.010535,1.043016,0.006865,0.004512
1.010699,1.044732,0.007021,0.004421
1.011245,1.047103,0.006969,0.004473
1.011576,1.048225,0.006917,0.004526
1.011561,1.049531,0.006922,0.004627
1.012003,1.050746,0.006717,0.004632
1.012489,1.053095,0.006665,0.004589
1.012362,1.055076,0.006726,0.004691
1.012372,1.056365,0.006786,0.004792
1.012562,1.057115,0.006748,0.004893
1.012437,1.058489,0.006850,0.004851
1.012849,1.060747,0.007147,0.004807
1.013092,1.063282,0.007444,0.004764
1.013202,1.064565,0.007602,0.004769
1.013238,1.066191,0.007551,0.004824
1.014167,1.068155,0.007653,0.004780
1.013598,1.070164,0.007700,0.004881
1.013695,1.072500,0.007857,0.004934
1.014497,1.073949,0.007960,0.004989
1.015250,1.077238,0.007922,0.004996
1.015483,1.079884,0.008080,0.005050
1.015680,1.081837,0.008238,0.005153
1.016175,1.084092,0.008187,0.005110
1.016459,1.085907,0.008191,0.005166
1.017326,1.089001,0.008337,0.005172
1.017531,1.091260,0.008285,0.005325
1.017905,1.094312,0.008191,0.005427
1.017953,1.095114,0.008154,0.005580
1.018308,1.096811,0.008159,0.005684
1.018592,1.099215,0.008262,0.005790
1.019558,1.101198,0.008267,0.006041
1.020096,1.104242,0.008371,0.006294
1.020322,1.106271,0.008474,0.006448
1.021322,1.108593,0.008479,0.006604
1.022397,1.111230,0.008525,0.006660
1.023747,1.113139,0.008587,0.006717
1.024214,1.114389,0.008734,0.006873
1.024980,1.116004,0.008838,0.007078
1.025372,1.118870,0.008886,0.007185
1.025671,1.121099,0.008791,0.007292
1.026005,1.123307,0.008895,0.007399
1.026446,1.125944,0.008900,0.007605
1.027140,1.127140,0.009004,0.007713
1.027458,1.129425,0.009109,0.007770
1.028376,1.131803,0.009114,0.007829
1.027680,1.132806,0.009219,0.007887
1.029082,1.133387,0.009282,0.007896
1.029430,1.134792,0.009244,0.008073
1.030700,1.137072,0.009349,0.008132
1.031589,1.139770,0.009453,0.008291
1.032118,1.143148,0.009559,0.008451
1.033162,1.145071,0.009522,0.008578
1.033991,1.146119,0.009584,0.008706
1.034778,1.147371,0.009690,0.008834
1.035233,1.150051,0.009896,0.009063
1.035700,1.152448,0.009959,0.009191
1.036071,1.154021,0.010121,0.009319
1.036674,1.155175,0.010127,0.009447
1.037105,1.156485,0.010133,0.009557
1.038283,1.161127,0.010196,0.009618
1.038526,1.164442,0.010202,0.009678
1.038904,1.165754,0.010208,0.009858
1.039816,1.166890,0.010313,0.009920
1.039922,1.168458,0.010376,0.010153
1.041939,1.169012,0.010382,0.010334
1.043403,1.171642,0.010388,0.010464
1.044468,1.172928,0.010437,0.010527
1.044221,1.175249,0.010442,0.010590
1.044794,1.176832,0.010405,0.010653
1.045409,1.179711,0.010368,0.010613
1.046240,1.182005,0.010417,0.010728
1.046689,1.185045,0.010467,0.010896
1.047426,1.187489,0.010516,0.011063
1.048181,1.188998,0.010566,0.011402
1.048497,1.190221,0.010615,0.011586
1.048910,1.191353,0.010723,0.011821
1.049810,1.194535,0.010888,0.011990
1.050544,1.198250,0.010894,0.012158
1.051838,1.200509,0.010900,0.012276
1.053420,1.203471,0.011007,0.012446
1.054037,1.204763,0.011057,0.012668
1.054507,1.205937,0.011179,0.012837
1.054863,1.206389,0.011185,0.013111
1.056026,1.208717,0.011191,0.013386
1.056471,1.211556,0.011299,0.013713
1.056911,1.214856,0.011305,0.013884
1.057165,1.216811,0.011312,0.014056
1.057857,1.218682,0.011318,0.014228
1.058532,1.220714,0.011324,0.014297
1.059477,1.222054,0.011448,0.014522
1.059907,1.224629,0.011396,0.014695
1.060773,1.227427,0.011286,0.014817
1.061894,1.230664,0.011454,0.014991
1.062946,1.232622,0.011562,0.015113
1.063980,1.235055,0.011627,0.015235
1.064468,1.236774,0.011795,0.015357
1.065110,1.238326,0.011802,0.015585
1.066262,1.240568,0.012014,0.015709
1.066667,1.243216,0.012285,0.015832
1.067317,1.246670,0.012453,0.016027
1.067828,1.246915,0.012681,0.016275
1.068522,1.250030,0.012952,0.016470
1.069232,1.251625,0.013283,0.016773
1.070245,1.253003,0.013614,0.017022
1.070656,1.254229,0.013828,0.017272
1.071742,1.255990,0.014159,0.017630
1.072167,1.260271,0.014535,0.018042
1.073239,1.264399,0.014794,0.018456
1.073815,1.266615,0.015112,0.018817
1.074263,1.267915,0.015489,0.019232
1.075109,1.269324,0.015764,0.019700
1.076048,1.271438,0.016142,0.020224
1.077178,1.273094,0.016579,0.020875
1.077791,1.275441,0.017003,0.021472
1.079096,1.278828,0.017427,0.022053
1.079944,1.281040,0.017955,0.022635
1.080319,1.284574,0.018439,0.023218
1.080951,1.286468,0.018865,0.023857
1.081231,1.287064,0.019410,0.024660
1.081730,1.289417,0.019895,0.025573
1.082706,1.290649,0.020545,0.026380
1.083288,1.293006,0.021195,0.027261
1.083952,1.295947,0.022010,0.028309
1.084879,1.299047,0.022870,0.029467
1.085544,1.302141,0.023791,0.030737
1.086565,1.304630,0.024758,0.032084
1.086975,1.306577,0.025935,0.033654
1.088103,1.308403,0.027113,0.035284
1.088730,1.310361,0.028308,0.036968
1.089574,1.314004,0.028834,0.037688
1.090649,1.315290,0.029321,0.038518
1.091461,1.318978,0.029888,0.039483
1.091860,1.322155,0.030557,0.040397
1.093164,1.323948,0.031179,0.041328
1.093911,1.325990,0.032038,0.042279
1.094410,1.327571,0.032802,0.043463
