Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.000000,1.000000,0.003858,-0.000851
1.000366,1.000436,0.003825,-0.000854
1.002052,1.000723,0.003857,-0.000804
1.000682,1.001026,0.003830,-0.000715
1.001526,1.003164,0.003857,-0.000728
1.001344,1.003418,0.003800,-0.000700
1.001776,1.003770,0.003783,-0.000675
1.001679,1.004003,0.003808,-0.000653
1.001860,1.004448,0.003850,-0.000654
1.002413,1.004944,0.003931,-0.000608
1.002629,1.005390,0.003894,-0.000574
1.003020,1.005785,0.003976,-0.000539
1.003193,1.006142,0.003978,-0.000504
1.003383,1.006362,0.004090,-0.000470
1.004773,1.008270,0.004132,-0.000471
1.006207,1.009296,0.004203,-0.000507
1.006483,1.010921,0.004245,-0.000437
1.006947,1.011161,0.004247,-0.000402
1.007167,1.011504,0.004329,-0.000437
1.007116,1.011693,0.004292,-0.000331
1.007496,1.011856,0.004403,-0.000260
1.007944,1.012273,0.004485,-0.000224
1.008059,1.012497,0.004527,-0.000189
1.008201,1.012860,0.004490,-0.000225
1.008350,1.013141,0.004413,-0.000190
1.008580,1.014156,0.004455,-0.000154
1.008796,1.015574,0.004458,-0.000154
1.008861,1.016231,0.004490,-0.000082
1.008935,1.016600,0.004383,-0.000083
1.009345,1.016899,0.004306,0.000036
1.009824,1.017118,0.004348,0.000072
1.010991,1.017627,0.004391,0.000108
1.011843,1.018593,0.004393,0.000108
1.011731,1.019779,0.004356,0.000180
1.012185,1.020698,0.004438,0.000108
1.012712,1.021315,0.004471,0.000109
1.013257,1.021621,0.004474,0.000146
1.013305,1.020758,0.004507,0.000256
1.013472,1.020861,0.004549,0.000364
1.013171,1.021140,0.004632,0.000474
1.013428,1.022233,0.004665,0.000511
1.013545,1.022836,0.004698,0.000584
1.014018,1.023379,0.004701,0.000622
1.014463,1.024602,0.004703,0.000695
1.014925,1.025329,0.004705,0.000769
1.015054,1.025903,0.004707,0.000879
1.015472,1.026756,0.004710,0.000917
1.015171,1.027469,0.004713,0.000991
1.015487,1.027777,0.004715,0.001066
1.015551,1.028810,0.004677,0.001102
1.015404,1.030195,0.004680,0.001140
1.015794,1.030912,0.004713,0.001178
1.015865,1.032042,0.004604,0.001180
1.016011,1.032385,0.004607,0.001255
1.016294,1.033478,0.004569,0.001294
1.016354,1.034703,0.004572,0.001332
1.016434,1.034843,0.004575,0.001333
1.016442,1.035271,0.004507,0.001335
1.016511,1.036050,0.004549,0.001410
1.016758,1.036873,0.004664,0.001449
1.016678,1.037347,0.004738,0.001488
1.017079,1.038394,0.004771,0.001527
1.017133,1.039885,0.004774,0.001604
1.016278,1.040842,0.004817,0.001643
1.016576,1.041993,0.004860,0.001681
1.016462,1.042816,0.004935,0.001683
1.016355,1.043346,0.004979,0.001722
1.016362,1.044257,0.005165,0.001762
1.016755,1.045133,0.005281,0.001764
1.016792,1.046596,0.005427,0.001766
1.016434,1.047770,0.005501,0.001843
1.016388,1.049062,0.005576,0.001920
1.016413,1.050026,0.005692,0.001998
1.016096,1.051338,0.005838,0.002038
1.016518,1.051880,0.005954,0.002078
1.016364,1.052579,0.006030,0.002118
1.016419,1.053127,0.006146,0.002158
1.016191,1.054788,0.006365,0.002085
1.015630,1.055591,0.006543,0.002087
1.015813,1.057454,0.006721,0.002280
1.015391,1.058096,0.006797,0.002358
1.015362,1.058939,0.006872,0.002360
1.015413,1.059928,0.006948,0.002401
1.015744,1.061697,0.007138,0.002442
1.015454,1.063872,0.007214,0.002521
1.014985,1.064546,0.007290,0.002524
1.015742,1.066194,0.007366,0.002449
1.015619,1.066916,0.007473,0.002491
1.015808,1.067724,0.007519,0.002532
1.015807,1.069640,0.007554,0.002612
1.015730,1.071177,0.007589,0.002692
1.015854,1.073499,0.007624,0.002734
1.015687,1.074313,0.007628,0.002891
1.015592,1.075575,0.007674,0.003101
1.015790,1.076896,0.007762,0.003195
1.016517,1.078030,0.007807,0.003406
1.016325,1.079789,0.007843,0.003655
1.016272,1.081505,0.007889,0.003867
1.016226,1.082808,0.007894,0.004078
1.016343,1.083876,0.007981,0.004251
1.015260,1.085677,0.007986,0.004424
1.015738,1.087444,0.007990,0.004674
1.015414,1.088594,0.008037,0.004887
1.015435,1.091211,0.008187,0.005100
1.015523,1.092868,0.008275,0.005274
1.015997,1.093829,0.008394,0.005449
1.015943,1.095255,0.008482,0.005663
1.016038,1.096288,0.008644,0.005838
1.016131,1.098126,0.008764,0.005923
1.015988,1.100484,0.008874,0.006008
1.016278,1.101425,0.009025,0.006054
1.016130,1.102455,0.009292,0.006139
1.016553,1.104037,0.009486,0.006225
1.017363,1.106041,0.009638,0.006391
