Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.000000,1.000000,0.004376,0.004742
1.000790,1.000486,0.004531,0.004768
1.001962,1.000936,0.004488,0.004790
1.003624,1.001027,0.004608,0.004808
1.008003,1.001329,0.004663,0.004825
1.010038,1.003058,0.004623,0.004839
1.011534,1.005134,0.004766,0.004852
1.014107,1.005364,0.004802,0.004911
1.014593,1.005224,0.004854,0.004955
1.018647,1.007040,0.005034,0.004963
1.020988,1.009133,0.005088,0.005007
1.024945,1.012024,0.005231,0.005015
1.027488,1.013114,0.005451,0.005023
1.029363,1.014134,0.005559,0.005032
1.031992,1.017554,0.005743,0.005209
1.035015,1.020685,0.005965,0.005266
1.038066,1.022974,0.006115,0.005323
1.042225,1.025359,0.006378,0.005465
1.043288,1.026676,0.006529,0.005522
1.048942,1.031312,0.006797,0.005579
1.052169,1.034234,0.007062,0.005722
1.056214,1.037539,0.007244,0.005731
1.060702,1.039748,0.007515,0.005827
1.062535,1.041183,0.007865,0.005921
1.069513,1.046421,0.008048,0.006102
1.073891,1.047434,0.008402,0.006246
1.076959,1.052080,0.008588,0.006391
1.081312,1.054419,0.008816,0.006535
1.084316,1.055528,0.009083,0.006680
1.092133,1.060577,0.009272,0.006692
1.095836,1.063402,0.009584,0.006826
1.098903,1.065197,0.009858,0.006961
1.104187,1.068207,0.010271,0.007010
1.105845,1.068708,0.010602,0.007195
1.115083,1.075212,0.010939,0.007418
1.119267,1.077619,0.011313,0.007555
1.120142,1.077877,0.011652,0.007828
1.131201,1.080672,0.011991,0.008016
1.133429,1.083254,0.012335,0.008292
1.141583,1.089091,0.012719,0.008444
1.147682,1.090851,0.013024,0.008633
1.150620,1.092738,0.013453,0.008861
1.155669,1.094478,0.013973,0.009088
1.157440,1.095320,0.014495,0.009317
1.162006,1.100378,0.015103,0.009635
1.168377,1.102938,0.015734,0.009967
1.173270,1.104806,0.016410,0.010300
1.178801,1.105967,0.017036,0.010671
1.182857,1.107860,0.017980,0.011045
1.188882,1.110835,0.019018,0.011471
1.193253,1.114727,0.020234,0.011937
1.201030,1.115909,0.021911,0.012635
1.207009,1.118720,0.024004,0.013285
1.211425,1.120957,0.024636,0.013477
1.219337,1.123545,0.025361,0.013742
1.224820,1.125205,0.026203,0.014049
1.231177,1.127624,0.027136,0.014359
1.235771,1.129648,0.027994,0.014729
1.240256,1.131291,0.029036,0.015179
1.251622,1.134232,0.030250,0.015572
