Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.182060,1.276031,0.002621,0.001779
1.181462,1.275366,0.002639,0.001730
1.181817,1.275308,0.002654,0.001736
1.181984,1.275778,0.002704,0.001701
1.182164,1.276209,0.002711,0.001709
1.183319,1.276477,0.002835,0.001715
1.183153,1.276955,0.002862,0.001721
1.184564,1.277445,0.002886,0.001727
1.184544,1.277794,0.002887,0.001728
1.185625,1.278523,0.002954,0.001700
1.185723,1.279903,0.002918,0.001732
1.186503,1.281587,0.002920,0.001704
1.187297,1.282064,0.002950,0.001736
1.187496,1.282478,0.003016,0.001648
1.187661,1.282876,0.003083,0.001680
1.188225,1.283137,0.003187,0.001682
1.188391,1.283554,0.003217,0.001654
1.188543,1.284020,0.003284,0.001565
1.188748,1.284724,0.003286,0.001566
1.188990,1.285427,0.003353,0.001507
1.189096,1.285458,0.003356,0.001509
1.189389,1.286078,0.003329,0.001481
1.189739,1.287227,0.003303,0.001544
1.190269,1.288532,0.003305,0.001545
1.190449,1.288894,0.003306,0.001669
1.190528,1.289246,0.003411,0.001702
1.191633,1.289666,0.003413,0.001765
1.191807,1.290585,0.003386,0.001767
1.191947,1.291336,0.003351,0.001830
1.192693,1.292200,0.003353,0.001802
1.193306,1.292985,0.003355,0.001866
1.193434,1.293290,0.003357,0.001928
1.194225,1.294857,0.003321,0.002052
1.194524,1.295916,0.003398,0.002115
1.194480,1.296712,0.003401,0.002271
1.195108,1.297657,0.003299,0.002335
1.195301,1.298151,0.003367,0.002429
1.195352,1.298603,0.003397,0.002494
1.195498,1.299350,0.003436,0.002589
1.195542,1.300043,0.003438,0.002562
1.195414,1.300707,0.003403,0.002565
1.195677,1.301830,0.003433,0.002598
1.195835,1.303884,0.003501,0.002663
1.195889,1.304438,0.003540,0.002727
1.196456,1.304923,0.003618,0.002761
1.196974,1.305903,0.003659,0.002827
1.197172,1.306750,0.003594,0.002923
1.197700,1.308132,0.003672,0.002926
1.198227,1.310086,0.003703,0.002991
1.198344,1.310626,0.003705,0.002963
1.198438,1.311662,0.003812,0.002998
1.198813,1.312772,0.003919,0.003033
1.199054,1.314375,0.004064,0.003005
1.199080,1.316404,0.004133,0.003040
1.199615,1.317364,0.004240,0.003074
1.200050,1.318452,0.004319,0.003109
1.199833,1.318844,0.004397,0.003176
1.200312,1.320375,0.004505,0.003211
1.200454,1.321438,0.004574,0.003277
1.200542,1.322935,0.004644,0.003344
1.200747,1.324187,0.004675,0.003348
1.201605,1.325811,0.004849,0.003415
1.201813,1.326652,0.004852,0.003546
1.201543,1.328368,0.004855,0.003550
1.202046,1.330347,0.004924,0.003553
1.202076,1.331480,0.005023,0.003589
1.202271,1.333056,0.005026,0.003624
1.202827,1.334936,0.005029,0.003660
1.202872,1.337107,0.005070,0.003771
1.203110,1.338393,0.005112,0.003806
1.203791,1.339815,0.005182,0.003874
1.203667,1.340881,0.005252,0.003879
1.204251,1.342783,0.005284,0.003947
1.204534,1.343577,0.005325,0.003951
1.204554,1.344580,0.005357,0.003955
1.204827,1.345722,0.005467,0.003960
1.204871,1.347266,0.005576,0.004040
1.205908,1.348331,0.005675,0.004045
1.206109,1.349998,0.005746,0.004113
1.206670,1.351838,0.005855,0.004258
1.206790,1.353222,0.005897,0.004229
1.206967,1.354799,0.005968,0.004310
1.207180,1.356107,0.006069,0.004391
1.208028,1.357293,0.006140,0.004396
1.209002,1.358620,0.006172,0.004400
1.209879,1.359706,0.006243,0.004405
1.210329,1.361104,0.006315,0.004486
1.210507,1.363708,0.006357,0.004535
1.211132,1.365911,0.006428,0.004572
1.211302,1.366730,0.006471,0.004653
1.211497,1.368310,0.006474,0.004734
1.211658,1.369645,0.006507,0.004707
1.211838,1.371043,0.006550,0.004822
1.212151,1.371511,0.006592,0.004870
1.212760,1.373186,0.006596,0.004832
1.212985,1.375050,0.006629,0.004979
1.214192,1.376884,0.006701,0.005051
1.214846,1.378389,0.006744,0.005123
1.215045,1.379730,0.006748,0.005162
1.215269,1.381584,0.006791,0.005344
1.215744,1.383563,0.006863,0.005526
1.215850,1.385767,0.006965,0.005599
1.216112,1.386880,0.007038,0.005671
1.216993,1.389417,0.007042,0.005787
1.217489,1.390822,0.007075,0.005927
1.217814,1.392586,0.007147,0.006032
1.218373,1.394499,0.007220,0.006206
1.218878,1.396612,0.007224,0.006313
1.219268,1.398157,0.007326,0.006453
1.219591,1.399743,0.007429,0.006637
1.220274,1.402366,0.007502,0.006744
1.220013,1.402787,0.007575,0.006818
1.221078,1.405713,0.007678,0.006892
1.222171,1.408489,0.007890,0.007000
1.223096,1.410016,0.008131,0.007075
1.223831,1.411522,0.008303,0.007150
1.223937,1.413282,0.008447,0.007259
1.224470,1.415026,0.008620,0.007368
1.225053,1.417176,0.008693,0.007545
1.226076,1.420683,0.008876,0.007621
1.227142,1.423641,0.009019,0.007731
1.227462,1.425083,0.009133,0.007773
1.228211,1.427846,0.009415,0.007782
1.229037,1.429483,0.009638,0.007858
1.229304,1.430936,0.009861,0.008002
1.229861,1.434325,0.010155,0.008147
1.230152,1.437308,0.010369,0.008292
1.230542,1.439534,0.010593,0.008437
1.231165,1.442133,0.010848,0.008663
1.231356,1.443472,0.011103,0.008923
1.231734,1.444919,0.011288,0.009081
1.233223,1.446159,0.011514,0.009343
1.233476,1.450070,0.011809,0.009604
1.234116,1.452463,0.012274,0.009798
1.234867,1.455820,0.012629,0.010026
1.235591,1.457647,0.013025,0.010290
1.236305,1.459451,0.013382,0.010588
1.237734,1.461701,0.013809,0.010886
1.238501,1.464521,0.014166,0.011184
1.238924,1.467549,0.014554,0.011449
1.239655,1.470911,0.014952,0.011750
1.240388,1.473473,0.015421,0.012131
1.241152,1.475453,0.015850,0.012548
1.242101,1.477927,0.016280,0.012886
1.242243,1.480254,0.016609,0.013190
1.243742,1.482093,0.017080,0.013563
1.243996,1.486520,0.017510,0.013832
1.244556,1.488118,0.017912,0.014278
1.244984,1.488956,0.018343,0.014794
1.245571,1.491936,0.018887,0.015240
1.246816,1.494435,0.019461,0.015758
1.247225,1.497206,0.020045,0.016241
1.247981,1.500263,0.020560,0.016760
1.248843,1.502255,0.021247,0.017363
1.249126,1.504847,0.021945,0.017897
1.249659,1.507864,0.022635,0.018397
1.250421,1.510139,0.023324,0.018850
1.250742,1.514558,0.024196,0.019304
1.251576,1.516516,0.025039,0.019984
1.252233,1.520108,0.026024,0.020700
1.254475,1.522312,0.027111,0.021417
1.255260,1.525180,0.028311,0.022383
1.255832,1.528221,0.029582,0.023223
1.256818,1.530655,0.030967,0.024065
1.257254,1.533207,0.032353,0.025050
1.257729,1.535965,0.033742,0.026109
1.258139,1.537961,0.035344,0.027360
1.258849,1.540517,0.037050,0.028804
1.259632,1.544057,0.038870,0.030203
1.259961,1.545931,0.040764,0.031747
1.261156,1.549424,0.042801,0.033485
1.261907,1.551991,0.045024,0.035443
1.262645,1.555352,0.047323,0.037559
1.263087,1.557709,0.049837,0.039718
1.263752,1.560177,0.052385,0.041879
1.265229,1.562024,0.053527,0.042940
1.265738,1.565685,0.054715,0.043917
1.266998,1.571257,0.055959,0.044993
1.267031,1.572770,0.057233,0.046165
1.267888,1.575704,0.058546,0.047460
1.268545,1.577106,0.060029,0.048741
1.268881,1.580461,0.061535,0.049979
