Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.635721,1.377291,0.000769,0.000637
1.634122,1.376095,0.000752,0.000584
1.635086,1.376360,0.000801,0.000590
1.634031,1.376411,0.000784,0.000594
1.633915,1.376416,0.000822,0.000638
1.636791,1.376445,0.000807,0.000675
1.638682,1.375831,0.000838,0.000707
1.638464,1.375937,0.000896,0.000671
1.639509,1.376219,0.001010,0.000671
1.640124,1.376148,0.001051,0.000703
1.642610,1.376254,0.001084,0.000704
1.643878,1.375705,0.001014,0.000640
1.644560,1.377440,0.001015,0.000704
1.645650,1.377906,0.001057,0.000737
1.647337,1.377803,0.001059,0.000705
1.649480,1.378843,0.001142,0.000738
1.650316,1.380494,0.001185,0.000770
1.651176,1.379906,0.001260,0.000803
1.651903,1.380771,0.001302,0.000868
1.653229,1.381505,0.001409,0.000836
1.655020,1.381505,0.001483,0.000837
1.655766,1.382293,0.001485,0.000837
1.657332,1.382365,0.001529,0.000870
1.657986,1.382761,0.001530,0.000902
1.660274,1.383051,0.001573,0.000871
1.659984,1.383268,0.001575,0.000871
1.661401,1.383516,0.001608,0.000936
1.662281,1.383838,0.001610,0.000904
1.663796,1.383951,0.001611,0.000904
1.663792,1.384357,0.001644,0.000937
1.664728,1.385466,0.001646,0.000905
1.665745,1.385643,0.001679,0.000938
1.667392,1.386588,0.001639,0.000939
1.666964,1.386961,0.001673,0.000875
1.667302,1.387668,0.001601,0.000940
1.666693,1.388435,0.001603,0.000941
1.668549,1.388694,0.001637,0.000941
1.669114,1.389040,0.001564,0.000909
1.669330,1.389094,0.001598,0.000910
1.670912,1.389688,0.001599,0.000943
1.671326,1.389863,0.001601,0.001009
1.673477,1.389820,0.001603,0.001042
1.674558,1.391120,0.001637,0.001042
1.675607,1.391380,0.001746,0.001075
1.676254,1.392441,0.001748,0.001076
1.677297,1.393609,0.001782,0.001109
1.678753,1.394706,0.001827,0.001077
1.679587,1.395175,0.001797,0.001078
1.680723,1.395848,0.001799,0.001144
1.682544,1.396388,0.001877,0.001145
1.684288,1.398257,0.001922,0.001211
1.685161,1.398384,0.001892,0.001244
1.685459,1.398784,0.001893,0.001310
1.687015,1.399007,0.001895,0.001311
1.688129,1.399369,0.002006,0.001344
1.689658,1.399643,0.002084,0.001345
1.689880,1.399916,0.002086,0.001346
1.690988,1.400962,0.002055,0.001379
1.691534,1.401502,0.002026,0.001347
1.693839,1.401864,0.002149,0.001414
1.695602,1.402717,0.002228,0.001448
1.696474,1.403472,0.002153,0.001514
1.697376,1.404254,0.002188,0.001548
1.698968,1.404624,0.002234,0.001549
1.699529,1.404873,0.002282,0.001483
1.700696,1.406015,0.002362,0.001418
1.701417,1.406236,0.002363,0.001453
1.702444,1.407688,0.002442,0.001420
1.703594,1.407658,0.002522,0.001454
1.704814,1.409742,0.002570,0.001488
1.705921,1.411012,0.002495,0.001456
1.707330,1.411237,0.002464,0.001456
1.709694,1.411584,0.002577,0.001601
1.710252,1.412593,0.002658,0.001713
1.711507,1.412632,0.002662,0.001714
1.711792,1.413282,0.002587,0.001748
1.712683,1.414065,0.002745,0.001782
1.713800,1.414963,0.002870,0.001817
1.715455,1.416310,0.002985,0.001895
1.716582,1.417324,0.003023,0.002107
1.717628,1.417674,0.003061,0.002219
1.718837,1.418533,0.003344,0.002332
1.720415,1.419504,0.003460,0.002433
1.720441,1.421107,0.003633,0.002579
1.723281,1.421665,0.003761,0.002725
1.724101,1.422266,0.004046,0.002837
1.725049,1.423096,0.004330,0.003016
1.725926,1.424559,0.004537,0.003018
1.727827,1.424878,0.004700,0.003053
1.728866,1.425473,0.004864,0.003099
1.729740,1.426315,0.005150,0.003145
1.731001,1.427096,0.005313,0.003225
1.732265,1.426805,0.005477,0.003338
1.733199,1.428124,0.005607,0.003407
1.734304,1.431233,0.005738,0.003443
1.735590,1.431956,0.005868,0.003546
1.737109,1.433201,0.005909,0.003615
1.738445,1.434309,0.006086,0.003729
1.739649,1.434413,0.006172,0.003697
1.741890,1.436369,0.006213,0.003700
1.743072,1.436774,0.006220,0.003701
1.743918,1.438396,0.006307,0.003670
1.745060,1.439002,0.006360,0.003672
1.747268,1.439456,0.006448,0.003775
1.749806,1.440606,0.006455,0.003980
1.751674,1.442709,0.006462,0.004049
1.751930,1.443113,0.006549,0.004051
1.752673,1.443722,0.006718,0.004019
1.754752,1.444775,0.006853,0.003987
1.756712,1.446226,0.006860,0.003922
1.757560,1.447440,0.006913,0.003857
1.760041,1.448305,0.007002,0.003859
1.760714,1.448829,0.007126,0.003929
1.761504,1.449830,0.007168,0.004033
1.763666,1.452037,0.007339,0.003968
1.765317,1.452359,0.007603,0.004038
1.767321,1.453965,0.007822,0.004142
1.769273,1.454769,0.007994,0.004246
1.769426,1.455661,0.008085,0.004147
1.771146,1.456617,0.008303,0.003979
1.774394,1.457483,0.008604,0.003982
1.776552,1.459445,0.008824,0.004086
1.777912,1.460296,0.009011,0.004225
1.779099,1.461609,0.009185,0.004295
1.782851,1.462136,0.009487,0.004297
1.784632,1.463572,0.009791,0.004436
1.786775,1.464485,0.010095,0.004507
1.788100,1.465392,0.010282,0.004613
1.788861,1.467332,0.010552,0.004650
1.791719,1.468159,0.010740,0.004938
1.794039,1.469894,0.010834,0.005192
1.796467,1.470402,0.010965,0.005332
1.797254,1.470822,0.011226,0.005519
1.799448,1.472176,0.011713,0.005807
1.802301,1.473272,0.012153,0.006096
1.803485,1.474107,0.012417,0.006351
1.805948,1.475060,0.012645,0.006492
1.807599,1.477106,0.012862,0.006599
1.810671,1.478122,0.013223,0.006820
1.812460,1.478930,0.013619,0.007144
1.814759,1.479825,0.013968,0.007400
1.816538,1.480879,0.014282,0.007622
1.818431,1.482097,0.014633,0.007845
1.821528,1.483717,0.014983,0.007998
1.824363,1.484839,0.015382,0.008037
1.826676,1.485704,0.015818,0.008145
1.827004,1.487068,0.016268,0.008299
1.828882,1.488244,0.016767,0.008512
1.832798,1.489131,0.017125,0.008690
1.834758,1.489569,0.017483,0.008902
1.837051,1.491345,0.017986,0.009115
1.838652,1.492488,0.018477,0.009374
1.841786,1.493540,0.018980,0.009668
1.841978,1.494593,0.019426,0.009916
1.845836,1.495333,0.019885,0.010165
1.847353,1.495792,0.020382,0.010344
1.849658,1.497457,0.020879,0.010524
1.853133,1.498612,0.021375,0.010785
1.855895,1.500106,0.022093,0.011255
1.857192,1.501316,0.022812,0.011655
1.860525,1.501558,0.023631,0.011951
1.862565,1.503948,0.024489,0.012318
1.865755,1.505116,0.025300,0.012650
1.867725,1.507037,0.026163,0.013053
1.870034,1.507554,0.027162,0.013538
1.871519,1.507866,0.028238,0.014023
1.872702,1.508044,0.029586,0.014613
1.873933,1.509067,0.031024,0.015239
1.876893,1.510301,0.032600,0.015901
1.878656,1.511191,0.034216,0.016528
1.880298,1.512351,0.036070,0.017191
1.883904,1.513712,0.038102,0.017924
1.885042,1.515897,0.040486,0.018730
1.887027,1.516291,0.042926,0.019571
1.888823,1.517469,0.045457,0.020448
1.890380,1.518065,0.046531,0.020923
1.892228,1.520861,0.047668,0.021390
1.895119,1.522126,0.048884,0.021846
1.899671,1.523404,0.050199,0.022337
1.902520,1.524070,0.051570,0.022750
1.904239,1.525014,0.053035,0.023253
1.905819,1.526281,0.054442,0.023684
