Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.858126,1.222866,-0.000145,0.001827
1.860454,1.222335,0.000001,0.001871
1.860968,1.222690,0.000001,0.001818
1.865302,1.223033,-0.000060,0.001814
1.865782,1.223522,-0.000167,0.001812
1.866712,1.223755,-0.000206,0.001810
1.867507,1.224214,-0.000107,0.001776
1.868239,1.224397,-0.000100,0.001777
1.868596,1.224725,-0.000135,0.001749
1.869095,1.225132,-0.000091,0.001710
1.869617,1.225503,-0.000057,0.001682
1.872545,1.226967,-0.000056,0.001773
1.873721,1.227868,-0.000135,0.001805
1.877348,1.228551,-0.000225,0.001836
1.880299,1.229431,-0.000226,0.001867
1.880461,1.229617,-0.000270,0.001779
1.880846,1.230027,-0.000269,0.001781
1.882035,1.230150,-0.000360,0.001812
1.882547,1.230519,-0.000315,0.001844
1.882102,1.230990,-0.000191,0.001875
1.883191,1.232749,-0.000112,0.001937
1.884583,1.233166,-0.000191,0.001968
1.885080,1.233860,-0.000236,0.001970
1.887400,1.233786,-0.000158,0.002001
1.887832,1.234429,-0.000159,0.002103
1.889173,1.234983,-0.000193,0.002105
1.890262,1.235699,-0.000237,0.002077
1.890870,1.236656,-0.000283,0.002079
1.892823,1.236715,-0.000239,0.002050
1.893969,1.237048,-0.000149,0.002052
1.893585,1.237633,-0.000308,0.002012
1.894053,1.237875,-0.000353,0.002014
1.893882,1.238514,-0.000228,0.002016
1.894455,1.239406,-0.000320,0.001957
1.894891,1.239849,-0.000354,0.001928
1.896840,1.240324,-0.000514,0.001798
1.898236,1.241167,-0.000641,0.001830
1.899449,1.241595,-0.000641,0.001862
1.899216,1.241667,-0.000596,0.001833
1.900197,1.242533,-0.000596,0.001805
1.900971,1.242575,-0.000596,0.001776
1.901490,1.243326,-0.000723,0.001717
1.902171,1.243581,-0.000632,0.001688
1.903143,1.244367,-0.000505,0.001720
1.904200,1.244781,-0.000470,0.001691
1.905903,1.245828,-0.000391,0.001763
1.908487,1.246230,-0.000472,0.001765
1.910141,1.247302,-0.000506,0.001767
1.910947,1.247490,-0.000414,0.001696
1.912091,1.248331,-0.000414,0.001595
1.912672,1.248583,-0.000334,0.001698
1.913696,1.248587,-0.000208,0.001731
1.914413,1.249721,-0.000209,0.001733
1.915646,1.250234,-0.000255,0.001765
1.916047,1.251017,-0.000302,0.001694
1.915989,1.251045,-0.000349,0.001624
1.917159,1.251457,-0.000304,0.001656
1.918663,1.252568,-0.000268,0.001657
1.919637,1.253109,-0.000314,0.001628
1.920266,1.253450,-0.000396,0.001723
1.922456,1.254150,-0.000350,0.001786
1.923789,1.255062,-0.000268,0.001788
1.925034,1.255961,-0.000268,0.001759
1.925730,1.256277,-0.000397,0.001790
1.927140,1.257349,-0.000491,0.001864
1.927424,1.257720,-0.000539,0.001834
1.928943,1.258472,-0.000586,0.001774
1.929775,1.259706,-0.000634,0.001672
1.930811,1.260450,-0.000682,0.001569
1.930725,1.261316,-0.000636,0.001569
1.931550,1.262470,-0.000636,0.001675
1.933325,1.262881,-0.000637,0.001739
1.936521,1.263752,-0.000719,0.001741
1.937159,1.264452,-0.000802,0.001774
1.937503,1.265182,-0.000850,0.001744
1.938980,1.266582,-0.000850,0.001715
1.940070,1.268010,-0.001016,0.001749
1.941947,1.268467,-0.000980,0.001876
1.942311,1.269266,-0.000946,0.002046
1.944310,1.270013,-0.000947,0.002173
1.944837,1.270877,-0.000901,0.002238
1.945438,1.271308,-0.000770,0.002367
1.945977,1.272587,-0.000640,0.002600
1.946932,1.273469,-0.000677,0.002801
1.947846,1.274095,-0.000678,0.002972
1.948548,1.275458,-0.000678,0.003069
1.950492,1.276955,-0.000679,0.003135
1.951466,1.277714,-0.000679,0.003264
1.952672,1.278163,-0.000680,0.003362
1.954216,1.279065,-0.000633,0.003459
1.957318,1.280429,-0.000597,0.003557
1.958648,1.281327,-0.000515,0.003623
1.958881,1.281904,-0.000598,0.003658
1.960317,1.282622,-0.000503,0.003725
1.961352,1.283981,-0.000456,0.003760
1.962028,1.284718,-0.000457,0.003826
1.962872,1.285929,-0.000540,0.003829
1.963622,1.287182,-0.000455,0.003801
1.963724,1.288415,-0.000287,0.003868
1.967875,1.289536,-0.000239,0.004000
1.969189,1.290559,-0.000070,0.004100
1.970379,1.292854,0.000063,0.004103
1.971366,1.293349,0.000196,0.004138
1.971725,1.294408,0.000329,0.004206
1.972914,1.295438,0.000413,0.004306
1.973514,1.296735,0.000414,0.004374
1.974801,1.297803,0.000547,0.004377
1.978170,1.299424,0.000681,0.004413
1.979659,1.300555,0.000803,0.004481
1.980225,1.301279,0.000973,0.004614
1.980116,1.301841,0.001144,0.004715
1.980534,1.302434,0.001266,0.004924
1.981269,1.303114,0.001268,0.005166
1.982145,1.304127,0.001354,0.005408
1.983262,1.304912,0.001477,0.005587
1.987230,1.306553,0.001478,0.005765
1.989967,1.308119,0.001516,0.006040
1.991222,1.309632,0.001603,0.006284
1.992312,1.311219,0.001777,0.006495
1.993443,1.312332,0.001999,0.006707
1.995222,1.313382,0.002135,0.006919
1.995674,1.314732,0.002223,0.007195
1.997129,1.315883,0.002347,0.007505
1.998599,1.318210,0.002522,0.007816
2.000154,1.319911,0.002696,0.008061
2.001280,1.320646,0.002785,0.008406
2.001990,1.322049,0.003059,0.008719
2.002701,1.323138,0.003370,0.009000
2.003118,1.323579,0.003732,0.009248
2.003904,1.324622,0.004094,0.009497
2.006010,1.325749,0.004456,0.009779
2.008238,1.327262,0.004856,0.010061
2.010336,1.328799,0.005256,0.010443
2.011153,1.330627,0.005659,0.010858
2.014064,1.332672,0.006061,0.011307
2.015250,1.333415,0.006688,0.011833
2.015890,1.334800,0.007352,0.012394
2.017508,1.336558,0.007943,0.012889
2.019418,1.337744,0.008397,0.013352
2.020817,1.338737,0.008902,0.013981
2.021896,1.340762,0.009531,0.014611
2.023468,1.342719,0.010063,0.015165
2.024294,1.343932,0.010659,0.015686
2.025668,1.345303,0.011205,0.016241
2.026976,1.347253,0.011790,0.016908
2.028580,1.348172,0.012463,0.017509
2.028494,1.349102,0.013150,0.018144
2.029400,1.349581,0.013876,0.018814
2.031856,1.352407,0.014655,0.019552
2.034480,1.353567,0.015471,0.020191
2.036942,1.355657,0.016240,0.020932
2.039560,1.357359,0.016972,0.021775
2.040012,1.358851,0.017742,0.022686
2.041290,1.359755,0.018652,0.023711
2.043065,1.361541,0.019703,0.024705
2.044372,1.363147,0.020806,0.025813
2.045775,1.364608,0.021911,0.026921
2.047274,1.366442,0.023055,0.028165
2.048234,1.368445,0.024328,0.029556
2.050601,1.369778,0.025793,0.030904
2.051681,1.372374,0.027350,0.032457
2.053527,1.373624,0.028998,0.034192
2.056731,1.375601,0.030789,0.036010
2.057372,1.377022,0.032622,0.037932
2.059615,1.379544,0.034649,0.040105
2.060720,1.379128,0.036679,0.042338
2.063085,1.382193,0.039082,0.044586
2.064316,1.383090,0.041718,0.047052
