Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.345083,1.279138,0.003191,0.003265
1.346979,1.279503,0.003250,0.003282
1.352213,1.277252,0.003301,0.003296
1.353807,1.277270,0.003344,0.003309
1.353807,1.277260,0.003382,0.003320
1.360418,1.279245,0.003391,0.003330
1.364240,1.277186,0.003500,0.003391
1.366421,1.276883,0.003612,0.003428
1.370189,1.276626,0.003646,0.003466
1.369865,1.276607,0.003758,0.003552
1.376622,1.275845,0.003845,0.003582
1.380519,1.275905,0.003882,0.003588
1.383400,1.275849,0.003924,0.003707
1.386188,1.276147,0.004012,0.003769
1.387503,1.276343,0.004162,0.003799
1.393352,1.278692,0.004312,0.003886
1.395474,1.280655,0.004464,0.003891
1.399749,1.282838,0.004642,0.004011
1.403367,1.285547,0.004822,0.004042
1.403416,1.285219,0.005002,0.004047
1.409126,1.290964,0.005208,0.004135
1.414306,1.294017,0.005389,0.004174
1.417089,1.297170,0.005573,0.004295
1.422092,1.301726,0.005886,0.004441
1.422100,1.301667,0.006045,0.004564
1.427782,1.309740,0.006364,0.004719
1.432968,1.313825,0.006737,0.004900
1.438605,1.318626,0.007034,0.004991
1.442879,1.324596,0.007419,0.005147
1.442576,1.324577,0.007720,0.005328
1.452352,1.333345,0.008049,0.005453
1.456730,1.337152,0.008463,0.005717
1.460527,1.341405,0.008907,0.005843
1.464870,1.343695,0.009379,0.006058
1.473400,1.351301,0.010001,0.006324
1.479178,1.354872,0.010680,0.006542
1.480754,1.356515,0.011483,0.006810
1.490078,1.362480,0.012264,0.007139
1.496944,1.367378,0.013188,0.007444
1.497903,1.368262,0.014347,0.007725
1.510232,1.374071,0.015582,0.008125
1.511868,1.376108,0.016964,0.008526
1.517828,1.381522,0.018684,0.009021
1.527404,1.384191,0.020573,0.009568
1.535195,1.389578,0.022859,0.010124
1.544133,1.392908,0.025593,0.010741
1.545450,1.394939,0.028706,0.011506
1.559587,1.402382,0.032555,0.012545
1.561761,1.402194,0.037445,0.013887
1.566642,1.404278,0.043464,0.015540
1.581689,1.410482,0.051112,0.017524
1.587447,1.414901,0.053430,0.018173
1.598550,1.417160,0.056067,0.018783
1.605288,1.420181,0.058928,0.019495
1.607759,1.421874,0.062060,0.020288
1.621752,1.426534,0.065501,0.021098
1.629962,1.430568,0.069411,0.022044
1.639715,1.433576,0.073665,0.023048
