Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.338367,1.247761,0.002961,0.002428
1.339486,1.247484,0.002978,0.002562
1.339475,1.247422,0.003061,0.002636
1.341826,1.253918,0.003067,0.002697
1.342707,1.256663,0.003101,0.002749
1.345871,1.258369,0.003130,0.002793
1.347150,1.259097,0.003131,0.002858
1.347105,1.259105,0.003155,0.002891
1.351389,1.264503,0.003229,0.002956
1.352102,1.268311,0.003281,0.003076
1.352893,1.270085,0.003379,0.003171
1.353476,1.271244,0.003454,0.003260
1.353510,1.271190,0.003506,0.003326
1.356611,1.275645,0.003613,0.003422
1.358552,1.279380,0.003720,0.003546
1.360504,1.281939,0.003774,0.003589
1.362111,1.284270,0.003881,0.003659
1.362599,1.287742,0.003943,0.003728
1.363916,1.290334,0.004098,0.003797
1.364881,1.293469,0.004231,0.003891
1.366571,1.298838,0.004387,0.004019
1.368194,1.302125,0.004464,0.004149
1.370531,1.306858,0.004645,0.004278
1.371330,1.310811,0.004708,0.004442
1.373257,1.316791,0.004841,0.004573
1.374649,1.321546,0.004952,0.004762
1.377023,1.326379,0.005111,0.004954
1.378696,1.332557,0.005294,0.005086
1.380868,1.337770,0.005422,0.005338
1.382938,1.343943,0.005575,0.005474
1.385378,1.349324,0.005808,0.005752
1.386167,1.351542,0.005986,0.005924
1.386129,1.351553,0.006220,0.006146
1.392930,1.364345,0.006456,0.006440
1.395004,1.369536,0.006717,0.006771
1.398997,1.374841,0.007003,0.007034
1.400428,1.378168,0.007442,0.007334
1.400405,1.378187,0.007812,0.007660
1.405878,1.389270,0.008326,0.007991
1.408069,1.394489,0.008892,0.008419
1.411941,1.400011,0.009460,0.008877
1.413985,1.403604,0.010087,0.009346
1.413969,1.403708,0.010813,0.009840
1.420937,1.416569,0.011648,0.010341
1.423947,1.421845,0.012510,0.011005
1.426127,1.427008,0.013508,0.011738
1.428970,1.431730,0.014705,0.012626
1.429033,1.431834,0.016055,0.013655
1.437065,1.445988,0.017540,0.014708
1.439591,1.450970,0.019287,0.015934
1.441496,1.456239,0.021296,0.017521
1.444207,1.460346,0.023653,0.019413
1.444201,1.460271,0.026501,0.021738
1.451659,1.475774,0.029749,0.024501
1.454652,1.482005,0.030874,0.025385
1.456165,1.487603,0.032141,0.026330
1.460367,1.491990,0.033516,0.027386
1.463441,1.499381,0.034970,0.028677
1.466932,1.505189,0.036551,0.030075
1.470334,1.513600,0.038397,0.031566
1.473470,1.518641,0.040360,0.033186
