Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.378229,1.397725,0.002368,0.000563
1.378416,1.396957,0.002299,0.000601
1.378111,1.394395,0.002354,0.000414
1.378110,1.392073,0.002399,0.000409
1.376591,1.389158,0.002385,0.000406
1.375870,1.388692,0.002421,0.000528
1.374902,1.387863,0.002486,0.000594
1.374515,1.387298,0.002469,0.000615
1.374541,1.386683,0.002428,0.000832
1.375047,1.386610,0.002472,0.000978
1.376124,1.387476,0.002431,0.001016
1.376696,1.388046,0.002432,0.001055
1.377921,1.388449,0.002433,0.001128
1.378171,1.391430,0.002477,0.001237
1.378582,1.392552,0.002553,0.001239
1.378785,1.393681,0.002554,0.001240
1.378943,1.395187,0.002630,0.001352
1.379192,1.397470,0.002557,0.001460
1.379453,1.398263,0.002558,0.001645
1.379630,1.398754,0.002559,0.001793
1.380160,1.399727,0.002561,0.001758
1.380476,1.400222,0.002531,0.001908
1.380939,1.401003,0.002532,0.002056
1.381634,1.402193,0.002576,0.002096
1.381801,1.404476,0.002610,0.002098
1.382654,1.405828,0.002686,0.002063
1.383158,1.406420,0.002655,0.002103
1.383911,1.406665,0.002656,0.002253
1.384626,1.407669,0.002658,0.002329
1.385010,1.408663,0.002703,0.002443
1.385345,1.409659,0.002704,0.002519
1.385852,1.410864,0.002630,0.002522
1.386959,1.412146,0.002664,0.002634
1.387501,1.413083,0.002698,0.002600
1.388963,1.412979,0.002774,0.002603
1.389347,1.413455,0.002776,0.002680
1.390819,1.413634,0.002702,0.002609
1.391682,1.414854,0.002746,0.002575
1.392050,1.415894,0.002780,0.002578
1.392458,1.416629,0.002782,0.002618
1.393448,1.417678,0.002708,0.002695
1.394390,1.419049,0.002709,0.002660
1.394692,1.419432,0.002754,0.002626
1.395166,1.420459,0.002831,0.002629
1.395416,1.421052,0.002790,0.002595
1.395624,1.421216,0.002759,0.002724
1.396850,1.421561,0.002793,0.002803
1.397507,1.423028,0.002870,0.002844
1.398617,1.423284,0.002915,0.002847
1.399074,1.424651,0.002960,0.002888
1.399532,1.425416,0.002994,0.003018
1.400269,1.426373,0.003104,0.003097
1.400612,1.427261,0.003182,0.003100
1.401263,1.428404,0.003260,0.003141
1.402251,1.429146,0.003262,0.003182
1.402318,1.430278,0.003306,0.003262
1.402653,1.430696,0.003492,0.003303
1.402982,1.431604,0.003603,0.003383
1.403708,1.432524,0.003638,0.003514
1.403992,1.434049,0.003640,0.003556
1.404290,1.434871,0.003794,0.003561
1.404873,1.435393,0.003915,0.003617
1.405909,1.435869,0.003993,0.003697
1.404894,1.437058,0.004072,0.003829
1.406132,1.437870,0.004195,0.003833
1.407278,1.438709,0.004317,0.003786
1.407072,1.439619,0.004440,0.003842
1.407539,1.440697,0.004562,0.003975
1.408089,1.441704,0.004686,0.004069
1.408210,1.443251,0.004885,0.004073
1.408634,1.442964,0.005084,0.004077
1.409299,1.444342,0.005207,0.004250
1.409563,1.445847,0.005331,0.004306
1.409782,1.447326,0.005454,0.004259
1.410385,1.448875,0.005654,0.004302
1.410135,1.449695,0.005810,0.004307
1.410544,1.450911,0.005934,0.004312
1.410208,1.452435,0.006058,0.004408
1.410428,1.454132,0.006138,0.004413
1.410554,1.454567,0.006174,0.004509
1.410468,1.455887,0.006254,0.004566
1.410538,1.457251,0.006335,0.004571
1.411180,1.458038,0.006371,0.004524
1.410407,1.459113,0.006375,0.004609
1.410755,1.460751,0.006379,0.004705
1.410854,1.462014,0.006415,0.004801
1.411704,1.463416,0.006419,0.004808
1.412377,1.465275,0.006467,0.004972
1.412602,1.467282,0.006470,0.005189
1.412774,1.468944,0.006474,0.005445
1.413398,1.470644,0.006522,0.005610
1.413679,1.471856,0.006636,0.005775
1.413752,1.474580,0.006762,0.005981
1.414725,1.476007,0.006766,0.006186
1.414821,1.477903,0.006769,0.006351
1.414827,1.478961,0.006851,0.006517
1.415219,1.482388,0.007010,0.006683
1.415472,1.484411,0.007092,0.006942
1.415668,1.487369,0.007095,0.007150
1.415113,1.488644,0.007177,0.007397
1.415351,1.489493,0.007304,0.007484
1.415677,1.491046,0.007464,0.007612
1.415769,1.492668,0.007468,0.007620
1.416871,1.494750,0.007516,0.007709
1.416649,1.497128,0.007598,0.007677
1.418234,1.500298,0.007714,0.007806
1.418359,1.501535,0.007842,0.007936
1.418491,1.504257,0.007846,0.007986
1.418304,1.507300,0.008085,0.008117
1.418499,1.508669,0.008324,0.008165
1.418934,1.511186,0.008564,0.008391
1.418892,1.514284,0.008614,0.008440
1.419261,1.516038,0.008821,0.008571
1.419078,1.518536,0.009105,0.008581
1.419396,1.521532,0.009312,0.008768
1.421175,1.523310,0.009396,0.008980
1.422492,1.525618,0.009525,0.009208
1.422718,1.528230,0.009799,0.009518
1.422766,1.528902,0.010074,0.009830
1.423429,1.531296,0.010360,0.010140
1.423478,1.534402,0.010523,0.010246
1.424192,1.536299,0.010642,0.010476
1.424612,1.539137,0.010884,0.010748
1.425234,1.542073,0.011047,0.010938
1.425951,1.544799,0.011302,0.011375
1.427018,1.548425,0.011433,0.011594
1.428063,1.550529,0.011755,0.011948
1.428194,1.552813,0.012078,0.012222
1.429025,1.555352,0.012368,0.012662
1.428674,1.558002,0.012691,0.012966
1.429530,1.561790,0.013139,0.013463
1.430126,1.564914,0.013509,0.013907
1.430545,1.567447,0.014004,0.014269
1.431054,1.569765,0.014578,0.014632
1.432147,1.572587,0.015029,0.015036
1.433674,1.575376,0.015525,0.015650
1.433280,1.576437,0.016101,0.016308
1.433769,1.579732,0.016666,0.016982
1.434188,1.583002,0.017243,0.017473
1.435296,1.585800,0.017855,0.017923
1.436094,1.588101,0.018467,0.018332
1.436182,1.591440,0.018921,0.018867
1.437568,1.593594,0.019341,0.019544
1.438176,1.597882,0.020035,0.020181
1.438003,1.600014,0.020730,0.020905
1.438988,1.603409,0.021426,0.021573
1.439156,1.606089,0.022202,0.022343
1.440132,1.608508,0.023026,0.023197
1.441139,1.610956,0.023806,0.024054
1.441310,1.614081,0.024746,0.025039
1.442503,1.618076,0.025766,0.025985
1.443760,1.621490,0.026788,0.026806
1.444549,1.624449,0.027822,0.027715
1.445411,1.626717,0.028938,0.028979
1.445465,1.627679,0.030090,0.030288
1.446494,1.629623,0.031565,0.031869
1.447057,1.631691,0.033086,0.033580
1.448003,1.635003,0.034642,0.035295
1.448631,1.639338,0.036121,0.037057
1.450357,1.641433,0.037808,0.038865
1.450748,1.644892,0.039703,0.040819
1.451776,1.648296,0.041682,0.042893
1.453117,1.651011,0.043698,0.045287
1.453550,1.652244,0.045924,0.047830
1.454142,1.656189,0.048313,0.050607
1.454839,1.658350,0.050832,0.053707
1.455735,1.660088,0.053481,0.057115
1.457849,1.662970,0.056456,0.060529
1.458033,1.664928,0.059550,0.064269
1.459432,1.668961,0.062728,0.068101
1.460263,1.671117,0.065921,0.072305
1.461012,1.673282,0.069477,0.076650
1.461469,1.675941,0.073326,0.081222
1.463050,1.677257,0.077341,0.086035
1.463325,1.681339,0.081083,0.090676
1.464523,1.683597,0.082930,0.093106
1.466122,1.685761,0.084873,0.095607
1.466484,1.688634,0.086833,0.098068
1.467139,1.693121,0.088816,0.100656
1.468634,1.696865,0.090826,0.103277
1.470127,1.699280,0.092932,0.105795
1.470734,1.701533,0.095168,0.108283
