Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.429764,1.308735,0.002243,-0.000253
1.431297,1.307655,0.002269,-0.000184
1.431297,1.307655,0.002290,-0.000258
1.435417,1.308193,0.002308,-0.000201
1.435851,1.308631,0.002378,-0.000153
1.435851,1.308631,0.002386,-0.000213
1.436879,1.309041,0.002441,-0.000171
1.437515,1.309217,0.002411,-0.000184
1.437515,1.309217,0.002446,-0.000149
1.438264,1.309522,0.002448,-0.000111
1.439059,1.309899,0.002407,-0.000074
1.439059,1.309899,0.002442,-0.000112
1.442374,1.310291,0.002520,-0.000236
1.443824,1.310414,0.002477,-0.000323
1.443824,1.310414,0.002524,-0.000236
1.447833,1.311182,0.002527,-0.000236
1.448370,1.311417,0.002573,-0.000323
1.448370,1.311417,0.002575,-0.000236
1.449317,1.313494,0.002622,-0.000198
1.449548,1.314002,0.002580,-0.000123
1.449548,1.314002,0.002627,0.000001
1.450707,1.315269,0.002630,-0.000048
1.451281,1.315976,0.002665,-0.000049
1.451281,1.315976,0.002712,0.000025
1.452480,1.316737,0.002759,-0.000012
1.455878,1.317076,0.002806,-0.000048
1.455878,1.317076,0.002853,-0.000012
1.457628,1.319884,0.002934,-0.000013
1.458099,1.320353,0.003059,-0.000014
1.458099,1.320353,0.003062,-0.000102
1.459276,1.321545,0.003110,-0.000102
1.460923,1.321905,0.003112,-0.000014
1.460923,1.321905,0.003114,-0.000064
1.461471,1.322692,0.003117,-0.000152
1.462714,1.323594,0.003164,-0.000151
1.462714,1.323594,0.003167,-0.000277
1.463776,1.326114,0.003170,-0.000150
1.463838,1.326472,0.003217,-0.000100
1.463838,1.326472,0.003220,-0.000049
1.464047,1.327596,0.003223,0.000027
1.464068,1.328063,0.003225,-0.000062
1.464068,1.328063,0.003228,0.000065
1.463772,1.329587,0.003231,0.000306
1.463964,1.330436,0.003233,0.000395
1.463964,1.330436,0.003236,0.000599
1.465674,1.332158,0.003194,0.000637
1.466394,1.332717,0.003197,0.000586
1.466394,1.332717,0.003245,0.000676
1.467682,1.334113,0.003247,0.000727
1.467920,1.336138,0.003250,0.000728
1.467920,1.336138,0.003253,0.000971
1.469449,1.338147,0.003255,0.001011
1.469848,1.338928,0.003258,0.001089
1.469848,1.338928,0.003261,0.001166
1.472107,1.340321,0.003264,0.001206
1.472784,1.340588,0.003266,0.001373
1.472784,1.340588,0.003269,0.001451
1.473666,1.341611,0.003272,0.001414
1.475066,1.342539,0.003321,0.001492
1.475066,1.342539,0.003323,0.001455
1.476789,1.344021,0.003326,0.001534
1.477146,1.344746,0.003375,0.001702
1.477146,1.344746,0.003378,0.001742
1.478626,1.347116,0.003427,0.001820
1.478953,1.347448,0.003477,0.001860
1.478953,1.347448,0.003479,0.001824
1.480283,1.350038,0.003529,0.001825
1.480703,1.351007,0.003578,0.001866
1.480703,1.351007,0.003627,0.001906
1.482885,1.352552,0.003630,0.001908
1.484167,1.352846,0.003633,0.001948
1.484167,1.352846,0.003717,0.001950
1.487083,1.355365,0.003767,0.001991
1.486673,1.355570,0.003770,0.002071
1.486673,1.355570,0.003773,0.002111
1.488484,1.356303,0.003823,0.002113
1.488964,1.357759,0.003908,0.002115
1.488964,1.357759,0.003993,0.002155
1.491202,1.360701,0.003997,0.002196
1.491775,1.362101,0.003953,0.002237
1.491775,1.362101,0.004003,0.002239
1.493509,1.363945,0.004042,0.002281
1.494144,1.364365,0.004080,0.002322
1.494144,1.364365,0.004084,0.002324
1.495572,1.367819,0.004087,0.002326
1.496138,1.368480,0.004172,0.002367
1.496138,1.368480,0.004223,0.002449
1.498552,1.370173,0.004310,0.002530
1.498532,1.371662,0.004266,0.002492
1.498532,1.371662,0.004268,0.002494
1.500334,1.373734,0.004307,0.002576
1.500653,1.374997,0.004347,0.002737
1.500653,1.374997,0.004399,0.002819
1.502462,1.375732,0.004355,0.002820
1.503873,1.377218,0.004405,0.002823
1.503873,1.377218,0.004444,0.002905
1.505622,1.381354,0.004532,0.002987
1.507349,1.382005,0.004583,0.003029
1.507349,1.382005,0.004539,0.003031
1.509588,1.384660,0.004625,0.003073
1.511086,1.386242,0.004677,0.003156
1.511086,1.386242,0.004802,0.003239
1.512782,1.387851,0.004806,0.003202
1.513244,1.389498,0.004809,0.003204
1.513244,1.389498,0.004896,0.003327
1.515008,1.391820,0.005068,0.003504
1.516646,1.392910,0.005121,0.003602
1.516646,1.392910,0.005126,0.003645
1.519431,1.395247,0.005213,0.003728
1.519822,1.396133,0.005421,0.003946
1.519822,1.396133,0.005679,0.004206
1.521830,1.398841,0.005853,0.004385
1.523705,1.400688,0.006027,0.004645
1.523705,1.400688,0.006332,0.004985
1.525803,1.403672,0.006590,0.005286
1.526365,1.405238,0.006801,0.005506
1.526365,1.405238,0.006856,0.005686
1.529285,1.407782,0.007067,0.005988
1.531021,1.408532,0.007410,0.006329
1.531021,1.408532,0.007718,0.006673
1.533321,1.410262,0.007907,0.006883
1.534525,1.411311,0.008132,0.007010
1.534525,1.411311,0.008344,0.007232
1.536393,1.414495,0.008604,0.007535
1.537165,1.416801,0.008830,0.007745
1.537165,1.416801,0.009020,0.007915
1.540815,1.420371,0.009125,0.008126
1.542812,1.420956,0.009266,0.008338
1.542812,1.420956,0.009445,0.008591
1.545120,1.423353,0.009673,0.008844
1.546346,1.424166,0.009987,0.009138
1.546346,1.424166,0.010337,0.009433
1.549334,1.426508,0.010701,0.009728
1.550046,1.428393,0.010979,0.010078
1.550046,1.428393,0.011245,0.010306
1.551998,1.430521,0.011463,0.010535
1.552859,1.433548,0.011731,0.010928
1.552859,1.433548,0.012097,0.011488
1.555101,1.437517,0.012463,0.012048
1.557010,1.438330,0.012695,0.012443
1.557010,1.438330,0.012964,0.012880
1.559563,1.440908,0.013406,0.013401
1.560687,1.442877,0.013935,0.013881
1.560687,1.442877,0.014391,0.014321
1.564891,1.445738,0.014711,0.014900
1.566042,1.446921,0.015033,0.015480
1.566042,1.446921,0.015455,0.016186
1.567949,1.449075,0.015952,0.016934
1.568738,1.450529,0.016623,0.017669
1.568738,1.450529,0.017221,0.018461
1.572174,1.452991,0.017856,0.019254
1.574025,1.453984,0.018630,0.020132
1.574025,1.453984,0.019404,0.020971
1.576104,1.458102,0.020267,0.021894
1.577485,1.459441,0.021257,0.023085
1.577485,1.459441,0.022298,0.024320
1.579726,1.461547,0.023304,0.025697
1.581111,1.462329,0.024312,0.027074
1.581111,1.462329,0.025583,0.028536
1.584721,1.464733,0.026992,0.030030
1.586180,1.467389,0.028455,0.031666
1.586180,1.467389,0.029945,0.033389
1.588014,1.471295,0.031488,0.035030
1.590378,1.472347,0.033135,0.036857
1.590378,1.472347,0.034997,0.038883
1.592582,1.475780,0.037051,0.041053
1.593939,1.476555,0.038958,0.043227
1.593939,1.476555,0.041144,0.045545
1.596524,1.479073,0.043423,0.047909
1.597768,1.480575,0.045755,0.050405
1.597768,1.480575,0.048231,0.052906
1.602295,1.482937,0.050926,0.055368
1.602887,1.484906,0.053764,0.058176
1.602887,1.484906,0.056609,0.061172
1.606254,1.487977,0.059635,0.064172
1.606821,1.489992,0.062666,0.067304
1.606821,1.489992,0.064145,0.068669
1.609657,1.493266,0.065647,0.070290
1.611960,1.494654,0.067159,0.071895
1.611960,1.494654,0.068700,0.073441
1.614848,1.497090,0.070205,0.075079
1.616476,1.498478,0.071975,0.076794
1.616476,1.498478,0.073659,0.078505
