Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.429764,1.308735,0.003682,-0.000161
1.431132,1.307240,0.003694,-0.000102
1.431644,1.307228,0.003754,0.000001
1.431877,1.307710,0.003758,0.000035
1.432584,1.308270,0.003761,-0.000046
1.434639,1.308735,0.003765,-0.000157
1.435172,1.309549,0.003803,-0.000172
1.435292,1.310170,0.003759,-0.000186
1.435626,1.310665,0.003729,-0.000148
1.435716,1.311145,0.003687,-0.000186
1.435773,1.311832,0.003688,-0.000187
1.435762,1.315136,0.003724,-0.000150
1.435926,1.315972,0.003726,-0.000101
1.436486,1.317007,0.003728,-0.000150
1.434952,1.318132,0.003763,-0.000187
1.436340,1.319834,0.003765,-0.000100
1.436251,1.322330,0.003800,-0.000061
1.436144,1.322687,0.003803,-0.000098
1.436322,1.323386,0.003838,-0.000060
1.436378,1.324166,0.003874,0.000103
1.436723,1.324408,0.003909,0.000304
1.436348,1.325467,0.003912,0.000430
1.436978,1.327815,0.003991,0.000556
1.437504,1.328903,0.003993,0.000595
1.438140,1.329966,0.004040,0.000683
1.438131,1.330674,0.004086,0.000771
1.438434,1.331331,0.004089,0.000897
1.437082,1.332566,0.004124,0.000974
1.437229,1.333221,0.004171,0.001101
1.437632,1.334026,0.004140,0.001140
1.437753,1.335880,0.004142,0.001218
1.437788,1.336375,0.004145,0.001295
1.438023,1.337160,0.004192,0.001373
1.438479,1.338616,0.004161,0.001451
1.439170,1.339736,0.004085,0.001529
1.439860,1.340946,0.004087,0.001608
1.440034,1.341386,0.004090,0.001648
1.441099,1.341795,0.004137,0.001689
1.440703,1.341870,0.004139,0.001768
1.441850,1.342246,0.004096,0.001884
1.442575,1.342736,0.004132,0.002040
1.443055,1.343064,0.004213,0.002080
1.443059,1.343860,0.004216,0.002159
1.443531,1.344619,0.004173,0.002239
1.443854,1.344519,0.004175,0.002318
1.443993,1.345157,0.004211,0.002320
1.444241,1.347166,0.004293,0.002284
1.444863,1.347082,0.004296,0.002364
1.445467,1.347113,0.004253,0.002444
1.445569,1.347326,0.004300,0.002447
1.445719,1.349386,0.004347,0.002450
1.446491,1.350593,0.004395,0.002570
1.446923,1.351455,0.004319,0.002690
1.447045,1.352264,0.004276,0.002693
1.447542,1.352791,0.004357,0.002814
1.448038,1.353498,0.004405,0.002817
1.447927,1.354657,0.004453,0.002859
1.448699,1.355404,0.004422,0.002862
1.449820,1.356965,0.004503,0.002944
1.449935,1.357559,0.004585,0.003065
1.449925,1.357724,0.004667,0.003107
1.450398,1.358647,0.004636,0.003228
1.451493,1.359295,0.004559,0.003270
1.452226,1.360528,0.004641,0.003274
1.453066,1.361914,0.004723,0.003317
1.453453,1.363463,0.004760,0.003400
1.453286,1.364444,0.004763,0.003365
1.453641,1.364983,0.004799,0.003329
1.454303,1.365559,0.004881,0.003412
1.454649,1.366775,0.004963,0.003416
1.454508,1.368395,0.005046,0.003540
1.455994,1.369390,0.004924,0.003583
1.455183,1.370837,0.005006,0.003706
1.455923,1.371780,0.005135,0.003791
1.455916,1.372268,0.005218,0.003836
1.457085,1.372619,0.005301,0.004000
1.456775,1.372980,0.005385,0.004084
1.457302,1.374538,0.005548,0.004169
1.457588,1.376722,0.005676,0.004253
1.458498,1.377538,0.005794,0.004379
1.457649,1.379468,0.005924,0.004464
1.458021,1.381253,0.006042,0.004549
1.458534,1.382002,0.006252,0.004675
1.458529,1.382996,0.006462,0.004815
1.458783,1.384407,0.006511,0.004901
1.458962,1.385022,0.006630,0.005042
1.459732,1.385915,0.006840,0.005222
1.459819,1.387093,0.007039,0.005322
1.460401,1.388325,0.007124,0.005424
1.460650,1.389411,0.007243,0.005565
1.461373,1.389955,0.007328,0.005666
1.461688,1.392384,0.007412,0.005808
1.461327,1.393750,0.007532,0.005950
1.461707,1.393925,0.007651,0.006134
1.463091,1.395978,0.007736,0.006277
1.463173,1.398539,0.007775,0.006420
1.463931,1.399368,0.007907,0.006604
