Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.429764,1.308735,0.002905,-0.000253
1.430967,1.307810,0.003006,-0.000184
1.431740,1.307679,0.002954,-0.000129
1.435253,1.307923,0.002972,-0.000083
1.435797,1.308170,0.003043,-0.000046
1.436524,1.308197,0.003104,-0.000070
1.437120,1.308356,0.003192,-0.000092
1.437903,1.308328,0.003268,-0.000061
1.438742,1.308321,0.003316,-0.000098
1.439564,1.308488,0.003197,-0.000099
1.443230,1.308617,0.003167,-0.000136
1.443603,1.308700,0.003126,-0.000087
1.446662,1.308892,0.003206,-0.000087
1.447519,1.308867,0.003166,-0.000087
1.448234,1.308846,0.003214,-0.000086
1.449272,1.308910,0.003306,-0.000050
1.450403,1.309044,0.003266,-0.000050
1.450923,1.309007,0.003314,-0.000099
1.451799,1.309109,0.003396,-0.000061
1.452105,1.309464,0.003400,-0.000111
1.452315,1.310473,0.003404,-0.000111
1.454665,1.310412,0.003285,-0.000111
1.455753,1.310805,0.003256,-0.000161
1.456768,1.311354,0.003215,-0.000074
1.459218,1.311413,0.003387,-0.000025
1.460529,1.311371,0.003514,0.000012
1.460791,1.311372,0.003562,0.000012
1.462225,1.312014,0.003611,0.000062
1.464298,1.310926,0.003615,0.000100
1.464883,1.311446,0.003619,0.000100
1.465546,1.310811,0.003624,0.000150
1.466637,1.310742,0.003673,0.000188
1.469060,1.311014,0.003677,0.000187
1.470733,1.311147,0.003647,0.000188
1.471383,1.311702,0.003686,0.000188
1.472281,1.312158,0.003690,0.000238
1.473937,1.312641,0.003739,0.000325
1.474144,1.313173,0.003697,0.000413
1.475601,1.313242,0.003701,0.000413
1.476300,1.313420,0.003740,0.000413
1.477979,1.313851,0.003698,0.000464
1.479667,1.314155,0.003702,0.000501
1.481231,1.314178,0.003660,0.000539
1.481826,1.314315,0.003664,0.000502
1.484000,1.314065,0.003622,0.000502
1.484806,1.314174,0.003580,0.000452
1.486390,1.314743,0.003584,0.000453
1.487109,1.314987,0.003588,0.000541
1.488872,1.315260,0.003593,0.000617
1.490539,1.316641,0.003516,0.000617
1.492796,1.317117,0.003474,0.000731
1.492454,1.317386,0.003477,0.000770
1.493533,1.317322,0.003563,0.000770
1.495299,1.317836,0.003567,0.000808
1.497428,1.318230,0.003490,0.000885
1.497571,1.318398,0.003540,0.000999
1.498611,1.319091,0.003673,0.001038
1.499404,1.319371,0.003724,0.001114
1.500428,1.319400,0.003727,0.001305
1.500707,1.319512,0.003731,0.001458
1.501807,1.319678,0.003735,0.001585
1.502398,1.319787,0.003775,0.001700
1.503958,1.320069,0.003778,0.001777
1.505090,1.320484,0.003736,0.001778
1.507390,1.321068,0.003823,0.001944
1.508871,1.321436,0.003910,0.001945
1.510157,1.322100,0.004044,0.002022
1.510554,1.322336,0.004049,0.002099
1.512320,1.321983,0.004053,0.002215
1.512891,1.323505,0.004104,0.002254
1.513861,1.324016,0.004192,0.002294
1.515231,1.324374,0.004234,0.002333
1.516990,1.324553,0.004274,0.002334
1.517540,1.325209,0.004278,0.002298
1.518090,1.325456,0.004330,0.002261
1.518618,1.325687,0.004465,0.002338
1.520031,1.325979,0.004555,0.002340
1.520663,1.326859,0.004607,0.002380
1.521853,1.327044,0.004659,0.002419
1.523656,1.327796,0.004712,0.002459
1.523993,1.328055,0.004802,0.002499
1.527418,1.329552,0.004844,0.002539
1.528652,1.329692,0.004850,0.002540
1.529047,1.330444,0.004902,0.002580
1.530283,1.330673,0.004991,0.002620
1.531421,1.331581,0.005034,0.002622
1.532155,1.331836,0.005040,0.002700
