Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.500708,1.653424,0.001695,-0.000035
1.500346,1.651987,0.001752,0.000047
1.500802,1.652348,0.001745,0.000070
1.500897,1.652338,0.001740,0.000090
1.501822,1.653110,0.001779,0.000070
1.502622,1.653591,0.001813,0.000087
1.502663,1.653642,0.001841,0.000070
1.505983,1.653938,0.001866,0.000056
1.506960,1.653806,0.001997,0.000084
1.506939,1.653741,0.002033,0.000028
1.507827,1.656350,0.002035,0.000028
1.507901,1.656502,0.002071,0.000056
1.508277,1.656479,0.002134,0.000055
1.508231,1.657264,0.002170,0.000140
1.509222,1.655644,0.002172,0.000112
1.509204,1.655742,0.002174,0.000084
1.510227,1.655287,0.002176,0.000028
1.511356,1.657915,0.002212,-0.000028
1.510969,1.657899,0.002248,0.000000
1.511735,1.657861,0.002250,0.000000
1.514435,1.657948,0.002252,0.000000
1.514477,1.657950,0.002280,0.000000
1.515190,1.658378,0.002282,0.000029
1.516776,1.658843,0.002310,-0.000057
1.517250,1.658957,0.002312,-0.000029
1.517575,1.659780,0.002314,-0.000029
1.519042,1.661425,0.002316,-0.000000
1.519521,1.661370,0.002292,0.000028
1.519759,1.662535,0.002294,-0.000086
1.520506,1.664770,0.002296,-0.000086
1.520503,1.665257,0.002298,-0.000086
1.520821,1.666830,0.002299,-0.000086
1.522130,1.667286,0.002301,-0.000144
1.522162,1.667202,0.002303,-0.000287
1.524057,1.667704,0.002305,-0.000287
1.525298,1.668856,0.002307,-0.000258
1.525287,1.668848,0.002282,-0.000287
1.525710,1.670624,0.002284,-0.000431
1.526346,1.672358,0.002260,-0.000403
1.526338,1.672462,0.002262,-0.000403
1.527330,1.674602,0.002290,-0.000403
1.528099,1.677378,0.002292,-0.000461
1.528039,1.677374,0.002294,-0.000432
1.530597,1.679619,0.002296,-0.000433
1.530767,1.681461,0.002298,-0.000375
1.530739,1.681401,0.002264,-0.000374
