Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.162056,1.297301,0.005232,0.004056
1.162593,1.297010,0.005241,0.004270
1.163194,1.298381,0.005316,0.004292
1.163890,1.300313,0.005380,0.004389
1.166430,1.303687,0.005379,0.004524
1.168101,1.307384,0.005431,0.004590
1.171548,1.309621,0.005477,0.004693
1.172659,1.312628,0.005473,0.004783
1.175322,1.316141,0.005642,0.004848
1.178225,1.319827,0.005750,0.005071
1.180976,1.323676,0.005860,0.005179
1.184068,1.327187,0.005969,0.005387
1.186671,1.332060,0.006032,0.005553
1.189705,1.335289,0.006204,0.005718
1.191784,1.339505,0.006314,0.005771
1.196015,1.343851,0.006426,0.005881
1.198333,1.347478,0.006645,0.005949
1.202043,1.351339,0.006712,0.006059
1.205845,1.355052,0.006983,0.006171
1.208524,1.359500,0.007299,0.006240
1.213065,1.363723,0.007571,0.006293
1.216665,1.367541,0.007844,0.006362
1.219328,1.371471,0.008116,0.006431
1.224924,1.377551,0.008238,0.006544
1.229035,1.379749,0.008468,0.006600
1.231531,1.384235,0.008747,0.006714
1.237056,1.388646,0.009075,0.006932
1.240418,1.391777,0.009451,0.007106
1.245268,1.397439,0.009720,0.007221
1.250979,1.401144,0.010148,0.007395
1.255476,1.406587,0.010480,0.007570
1.260454,1.408798,0.010705,0.007626
1.265145,1.414609,0.011187,0.007847
1.271226,1.419559,0.011468,0.008009
1.277270,1.424676,0.011750,0.008171
1.283245,1.428565,0.012032,0.008393
1.288352,1.433585,0.012481,0.008510
1.292097,1.436361,0.012930,0.008673
1.298788,1.439773,0.013430,0.008943
1.304611,1.444774,0.013934,0.009169
1.310538,1.448100,0.014392,0.009394
1.317921,1.452769,0.014854,0.009577
1.323787,1.457319,0.015317,0.009805
1.328501,1.461701,0.015985,0.010033
1.336316,1.466669,0.016729,0.010262
1.343024,1.471616,0.017523,0.010491
1.349733,1.476051,0.018421,0.010781
1.356210,1.479505,0.019432,0.010966
1.361163,1.482362,0.020395,0.011197
1.366149,1.485284,0.021534,0.011429
1.370438,1.489540,0.022731,0.011662
1.376150,1.492185,0.024132,0.012157
1.382145,1.496087,0.026076,0.012715
1.387941,1.501792,0.026723,0.012828
1.394608,1.504905,0.027406,0.012957
1.398951,1.509375,0.028198,0.013106
1.406068,1.512149,0.029061,0.013197
1.412998,1.517667,0.030090,0.013305
1.419951,1.519822,0.031000,0.013536
1.427543,1.524016,0.031810,0.013707
