# Xlam,PX,Ylam,PY
1.000000000000000000e+00,-7.842399146746972544e-04,1.000000000000000000e+00,-4.858905168164764400e-04
1.001931123270035418e+00,1.960599786686743136e-04,1.001785714285714279e+00,-4.858905168164764400e-04
1.004023173479240416e+00,-1.764539808018068985e-03,1.003733766233766200e+00,-4.858905168164764400e-04
1.006115223688445415e+00,3.038929669364451996e-03,1.005844155844155763e+00,-4.858905168164764400e-04
1.008207273897650413e+00,2.058629776021080483e-03,1.007954545454545547e+00,1.554849653812724738e-03
1.010299324106855412e+00,3.038929669364451996e-03,1.009902597402597468e+00,-4.858905168164764400e-04
1.012391374316060411e+00,1.176359872012045990e-03,1.012012987012987031e+00,5.830686201797717497e-04
1.014483424525265409e+00,1.176359872012045990e-03,1.014123376623376593e+00,-4.858905168164764400e-04
1.016575474734470408e+00,4.999529456051195024e-03,1.016233766233766156e+00,-4.858905168164764400e-04
1.018667524943675406e+00,1.176359872012045990e-03,1.018181818181818299e+00,-4.858905168164764400e-04
1.020276794335371662e+00,4.019229562707823944e-03,1.020129870129869998e+00,5.830686201797717497e-04
1.022368844544576660e+00,3.038929669364451996e-03,1.021915584415584277e+00,1.554849653812724738e-03
1.024460894753781881e+00,1.176359872012045990e-03,1.024025974025974062e+00,5.830686201797717497e-04
1.026552944962986880e+00,4.999529456051195024e-03,1.026136363636363624e+00,5.830686201797717497e-04
1.028644995172191878e+00,4.999529456051195024e-03,1.028246753246753409e+00,1.554849653812724738e-03
1.030737045381396877e+00,4.019229562707823944e-03,1.030357142857142971e+00,5.830686201797717497e-04
1.032829095590601876e+00,4.019229562707823944e-03,1.032467532467532534e+00,2.526630687445677835e-03
1.034921145799806874e+00,2.058629776021080483e-03,1.034577922077922096e+00,1.554849653812724738e-03
1.037174122948181454e+00,4.999529456051195024e-03,1.036688311688311659e+00,1.554849653812724738e-03
1.039266173157386453e+00,4.019229562707823944e-03,1.038798701298701221e+00,3.498411721078630715e-03
1.040875442549082708e+00,4.999529456051195024e-03,1.040746753246753364e+00,3.498411721078630715e-03
1.042967492758287706e+00,4.999529456051195024e-03,1.042532467532467422e+00,4.470192754711583595e-03
1.045059542967492705e+00,2.058629776021080483e-03,1.044642857142857206e+00,2.526630687445677835e-03
1.047151593176697704e+00,4.999529456051195024e-03,1.046915584415584410e+00,5.441973788344536475e-03
1.049404570325072283e+00,4.019229562707823944e-03,1.049025974025973973e+00,5.441973788344536475e-03
