# Xlam,PX,Ylam,PY
1.000000000000000000e+00,1.176359872012045990e-03,1.000000000000000000e+00,-4.858905168164764400e-04
1.001609269391696033e+00,1.960599786686743136e-04,1.002759740259740351e+00,-4.858905168164764400e-04
1.003379465722561870e+00,1.960599786686743136e-04,1.006331168831168688e+00,1.554849653812724738e-03
1.005149662053427706e+00,1.176359872012045990e-03,1.009740259740259605e+00,5.830686201797717497e-04
1.006758931445123961e+00,4.019229562707823944e-03,1.013311688311688386e+00,-4.858905168164764400e-04
1.008529127775989798e+00,3.038929669364451996e-03,1.016720779220779081e+00,5.830686201797717497e-04
1.009977470228516250e+00,3.038929669364451996e-03,1.020129870129869998e+00,-4.858905168164764400e-04
1.011586739620212505e+00,4.999529456051195024e-03,1.023051948051948212e+00,-4.858905168164764400e-04
1.013517862890247700e+00,3.038929669364451996e-03,1.026623376623376549e+00,1.554849653812724738e-03
1.015288059221113537e+00,4.019229562707823944e-03,1.030194805194805108e+00,1.554849653812724738e-03
1.017058255551979373e+00,4.019229562707823944e-03,1.033766233766233889e+00,1.554849653812724738e-03
1.018828451882845210e+00,3.038929669364451996e-03,1.037337662337662447e+00,3.498411721078630715e-03
1.020276794335371662e+00,4.999529456051195024e-03,1.040746753246753364e+00,3.498411721078630715e-03
1.021886063727067917e+00,4.019229562707823944e-03,1.043668831168831135e+00,4.470192754711583595e-03
1.023656260057933531e+00,3.038929669364451996e-03,1.047240259740259694e+00,4.470192754711583595e-03
1.025426456388799368e+00,4.019229562707823944e-03,1.050974025974025894e+00,5.441973788344536475e-03
1.027196652719665204e+00,2.058629776021080483e-03,1.054707792207792094e+00,4.470192754711583595e-03
1.028966849050531041e+00,4.999529456051195024e-03,1.058279220779220875e+00,6.413754821977489355e-03
1.030415191503057715e+00,3.038929669364451996e-03,1.061850649350649434e+00,4.470192754711583595e-03
1.032024460894753748e+00,3.038929669364451996e-03,1.064772727272727204e+00,6.413754821977489355e-03
1.033955584164789165e+00,4.999529456051195024e-03,1.068506493506493404e+00,6.413754821977489355e-03
1.035725780495655002e+00,2.058629776021080483e-03,1.072240259740259827e+00,6.413754821977489355e-03
1.037495976826520616e+00,4.019229562707823944e-03,1.075974025974026027e+00,7.385535855610442235e-03
1.039427100096556256e+00,4.019229562707823944e-03,1.079707792207792227e+00,7.385535855610442235e-03
1.040875442549082708e+00,1.176359872012045990e-03,1.083279220779220786e+00,8.357316889243395983e-03
1.042484711940778741e+00,4.999529456051195024e-03,1.086201298701298557e+00,1.039805705987259521e-02
1.044415835210814159e+00,3.038929669364451996e-03,1.090097402597402620e+00,1.039805705987259521e-02
1.046186031541679995e+00,4.019229562707823944e-03,1.093831168831168821e+00,1.234161912713850270e-02
1.047956227872545831e+00,4.999529456051195024e-03,1.097727272727272885e+00,1.428518119440440673e-02
1.049887351142581249e+00,4.999529456051195024e-03,1.101461038961038863e+00,1.428518119440440673e-02
1.051335693595107701e+00,4.999529456051195024e-03,1.105194805194805063e+00,1.428518119440440673e-02
1.052944962986803956e+00,4.999529456051195024e-03,1.108116883116883278e+00,1.525696222803736048e-02
1.054876086256839374e+00,4.019229562707823944e-03,1.112012987012987120e+00,1.720052429530326624e-02
1.056646282587704988e+00,5.979829349394566104e-03,1.115909090909090962e+00,1.720052429530326624e-02
1.058416478918570824e+00,5.979829349394566104e-03,1.119805194805194803e+00,1.817230532893621825e-02
1.060347602188606464e+00,5.979829349394566104e-03,1.123701298701298645e+00,2.118482653319837469e-02
1.061795944641132916e+00,6.960129242737938919e-03,1.127435064935064846e+00,2.312838860046428219e-02
1.063405214032829171e+00,5.979829349394566104e-03,1.130357142857142838e+00,2.604373170136313823e-02
1.065336337302864367e+00,1.186162870945479605e-02,1.134415584415584544e+00,3.099981497289119869e-02
1.067267460572900006e+00,1.186162870945479605e-02,1.138474025974026027e+00,3.197159600652415418e-02
1.069037656903765621e+00,8.920729029424681947e-03,1.142370129870129869e+00,3.683050117468891771e-02
1.070968780173801038e+00,1.284192860279816800e-02,1.146428571428571352e+00,4.470192754711583422e-02
1.072578049565497293e+00,1.382222849614153995e-02,1.150162337662337553e+00,4.858905168164764227e-02
1.074187318957193327e+00,1.284192860279816800e-02,1.153246753246753187e+00,5.257335391954275766e-02
1.076118442227228744e+00,1.666509818683731964e-02,1.157305194805194892e+00,5.548869702044161717e-02
1.078049565497264162e+00,1.764539808018068812e-02,1.161363636363636376e+00,6.530368546013444464e-02
1.079819761828129998e+00,1.862569797352406006e-02,1.165422077922077859e+00,7.220333079892840566e-02
1.081750885098165416e+00,1.666509818683731964e-02,1.169480519480519343e+00,8.201831923862122620e-02
1.083360154489861671e+00,2.058629776021080396e-02,1.173376623376623407e+00,8.687722440678599667e-02
1.084969423881557704e+00,2.156659765355417591e-02,1.176623376623376682e+00,9.377686974557995769e-02
1.086900547151593122e+00,2.352719744024091633e-02,1.180681818181818166e+00,1.055354202525386892e-01
1.088670743482458958e+00,2.646809712027103564e-02,1.184902597402597513e+00,1.153504086922315097e-01
1.090601866752494375e+00,2.931096681096680839e-02,1.188961038961038996e+00,1.261371781655572788e-01
1.092532990022529571e+00,3.225186649099692771e-02,1.193019480519480480e+00,1.398392907397819351e-01
1.094142259414225826e+00,3.715336595771378397e-02,1.197077922077922185e+00,1.515978412467406666e-01
1.095751528805922081e+00,3.715336595771378397e-02,1.200324675324675239e+00,1.604410486528005386e-01
1.097682652075957499e+00,3.813366585105715245e-02,1.204545454545454586e+00,1.761839013976543578e-01
1.099613775345992916e+00,4.391743522178304798e-02,1.208766233766233711e+00,1.918295760391449112e-01
1.101544898616028112e+00,4.881893468849990425e-02,1.212987012987013058e+00,2.046570856830998708e-01
1.103476021886063752e+00,5.175983436853002356e-02,1.217207792207792183e+00,2.212745413582233867e-01
1.105246218216929588e+00,5.754360373925590522e-02,1.221266233766233889e+00,2.360456130694442989e-01
