# Xlam,PX,Ylam,PY
1.000000000000000000e+00,1.956223627660219795e-04,1.000000000000000000e+00,5.928034842617592014e-04
1.003419290497221894e+00,1.956223627660219795e-04,1.001410437235543016e+00,-3.952023228411727829e-04
1.006838580994443566e+00,3.129957804256351672e-03,1.003244005641749093e+00,1.580809291364691132e-03
1.010400341929049706e+00,1.956223627660219795e-04,1.004936530324400668e+00,-3.952023228411727829e-04
1.013962102863655845e+00,1.173734176596131877e-03,1.006770098730606522e+00,-3.952023228411727829e-04
1.017381393360877517e+00,4.108069618086461136e-03,1.008462623413258097e+00,5.928034842617592014e-04
1.020230802108562429e+00,1.956223627660219795e-04,1.010014104372355614e+00,-3.952023228411727829e-04
1.023650092605784323e+00,2.151845990426241341e-03,1.011565585331452688e+00,5.928034842617592014e-04
1.027211853540390241e+00,2.151845990426241341e-03,1.013258110014104485e+00,1.580809291364691132e-03
1.030773614474996380e+00,3.129957804256351672e-03,1.015091678420310339e+00,1.580809291364691132e-03
1.034335375409602520e+00,5.086181431916571467e-03,1.016784203102961914e+00,5.928034842617592014e-04
1.037897136344208660e+00,5.966482064363670158e-03,1.018617771509167991e+00,1.580809291364691132e-03
1.040746545091893349e+00,5.966482064363670158e-03,1.020169252468265286e+00,4.643627293383779941e-03
1.044308306026499489e+00,4.108069618086461136e-03,1.021720733427362360e+00,4.643627293383779941e-03
1.047870066961105628e+00,6.944593878193780490e-03,1.023554301833568436e+00,6.619638907589643802e-03
1.051574298333095792e+00,7.922705692023889953e-03,1.025246826516220011e+00,4.643627293383779941e-03
1.055278529705086177e+00,8.900817505853999417e-03,1.027080394922426088e+00,4.643627293383779941e-03
1.058840290639692316e+00,1.476948838883465794e-02,1.028913963328631942e+00,6.619638907589643802e-03
1.061832169824761474e+00,1.574760020266476740e-02,1.030465444287729238e+00,3.556820905570555209e-03
1.065393930759367391e+00,1.574760020266476740e-02,1.032016925246826533e+00,6.619638907589643802e-03
1.069098162131357777e+00,2.151845990426241514e-02,1.033709449929478108e+00,6.619638907589643802e-03
1.072802393503348162e+00,2.054034809043230742e-02,1.035543018335684184e+00,6.619638907589643802e-03
1.076649095312722570e+00,2.347468353192263407e-02,1.037376586741890039e+00,7.607644714692575298e-03
1.080353326684712956e+00,2.640901897341296767e-02,1.039210155148095893e+00,7.607644714692575298e-03
1.083345205869782113e+00,3.120176686118050421e-02,1.040761636107193411e+00,8.595650521795507662e-03
1.086906966804388031e+00,3.413610230267083434e-02,1.042313117066290706e+00,1.254767375020723538e-02
1.090753668613762661e+00,4.000477318565149459e-02,1.044146685472496561e+00,1.155966794310430389e-02
1.094457899985753047e+00,4.479752107341903461e-02,1.045980253878702415e+00,1.462248594512339205e-02
1.098304601795127455e+00,4.968808014256958366e-02,1.047813822284908492e+00,1.353567955731016861e-02
1.102008833167117841e+00,5.360052739789002152e-02,1.049647390691114346e+00,1.561049175222632354e-02
1.105143182789571243e+00,5.839327528565755460e-02,1.051339915373765921e+00,1.561049175222632354e-02
1.108847414161561407e+00,6.132761072714788819e-02,1.052891396332863216e+00,1.561049175222632354e-02
1.112694115970936037e+00,6.719628161012855538e-02,1.054583921015514791e+00,1.857450917353511977e-02
1.116540817780310446e+00,7.394525312555630392e-02,1.056558533145275147e+00,1.956251498063805300e-02
1.120529990027069323e+00,7.785770038087674871e-02,1.058251057827926722e+00,1.857450917353511977e-02
1.124376691836443953e+00,8.558478371013461539e-02,1.060084626234132577e+00,1.956251498063805300e-02
1.127511041458897356e+00,9.145345459311526870e-02,1.061777150916784374e+00,1.758650336643218653e-02
1.131215272830887519e+00,9.624620248088280872e-02,1.063328631875881669e+00,2.055052078774098623e-02
1.135204445077646396e+00,1.011367615500333578e-01,1.065162200282087523e+00,2.252653240194684922e-02
1.139193617324405272e+00,1.117981803207815511e-01,1.066995768688293378e+00,2.351453820904978245e-02
1.143040319133779681e+00,1.195252636500394178e-01,1.068970380818053512e+00,2.558935040396593738e-02
1.147029491380538557e+00,1.302844936021706479e-01,1.070803949224259588e+00,2.558935040396593738e-02
1.150306311440375984e+00,1.321429060484478335e-01,1.072496473906911163e+00,3.052937943948059660e-02
1.154010542812366369e+00,1.399678005590887231e-01,1.074047954866008459e+00,3.151738524658352636e-02
1.158142185496509491e+00,1.467167720745164716e-01,1.075881523272214535e+00,3.250539105368645959e-02
1.162131357743268145e+00,1.555197783989874794e-01,1.077856135401974669e+00,3.556820905570554775e-02
1.166120529990027022e+00,1.652030853559055545e-01,1.079689703808180523e+00,3.754422066991141421e-02
1.170252172674170144e+00,1.709739450575032127e-01,1.081664315937940879e+00,3.754422066991141421e-02
1.173528992734007792e+00,1.807550631958043108e-01,1.083356840620592454e+00,3.952023228411728067e-02
1.177375694543382201e+00,1.875040347112320593e-01,1.084908321579689749e+00,4.653507351454809482e-02
1.181507337227525323e+00,1.981654534819802804e-01,1.086741889985895604e+00,4.347225551252900666e-02
1.185496509474283977e+00,2.040341243649609060e-01,1.088716502115655960e+00,4.851108512875395434e-02
1.189628152158427099e+00,2.176298785771994537e-01,1.090550070521861814e+00,5.246310835716568727e-02
1.193759794842569999e+00,2.263350737202874108e-01,1.092383638928067668e+00,5.345111416426862050e-02
1.197179085339792115e+00,2.350402688633753956e-01,1.094217207334273745e+00,5.848994378049356818e-02
1.201025787149166524e+00,2.448213870016764937e-01,1.095768688293371040e+00,5.542712577847448696e-02
1.205299900270693891e+00,2.564609175862547774e-01,1.097602256699576895e+00,5.848994378049356818e-02
1.209431542954837013e+00,2.709369724309404481e-01,1.099576868829337251e+00,6.342997281600823434e-02
1.213705656076364159e+00,2.787618669415813377e-01,1.101551480959097384e+00,6.649279081802732250e-02
1.217837298760507281e+00,2.894232857123295033e-01,1.103385049365303239e+00,7.143281985354196784e-02
