# Xlam,PX,Ylam,PY
1.000000000000000000e+00,-8.786469118724175983e-04,1.000000000000000000e+00,4.431655278198932913e-04
1.003339163619017427e+00,-1.757293823744835197e-03,1.001418663303909051e+00,1.329496583459679766e-03
1.006837335029416414e+00,-8.786469118724175983e-04,1.003310214375788156e+00,4.431655278198932913e-04
1.010335506439815623e+00,-0.000000000000000000e+00,1.005044136191677095e+00,4.431655278198932913e-04
1.013833677850214832e+00,-2.635940735617252687e-03,1.006778058007566257e+00,1.329496583459679766e-03
1.017331849260613819e+00,-8.786469118724175983e-04,1.008511979823455196e+00,4.431655278198932913e-04
1.020193989505485899e+00,-1.757293823744835197e-03,1.010088272383354413e+00,1.329496583459679766e-03
1.023533153124503103e+00,-8.786469118724175983e-04,1.011506935687263464e+00,1.329496583459679766e-03
1.027190332326284095e+00,-0.000000000000000000e+00,1.013398486759142569e+00,4.431655278198932913e-04
1.030847511528065086e+00,-1.757293823744835197e-03,1.015132408575031508e+00,4.431655278198932913e-04
1.034345682938464073e+00,-8.786469118724175983e-04,1.016866330390920670e+00,4.431655278198932913e-04
1.038002862140245064e+00,-0.000000000000000000e+00,1.018600252206809387e+00,1.329496583459679766e-03
1.040865002385116922e+00,-0.000000000000000000e+00,1.020176544766708826e+00,2.215827639099466565e-03
1.044363173795516131e+00,-0.000000000000000000e+00,1.021595208070617877e+00,4.431655278198932913e-04
1.048020352997296900e+00,-0.000000000000000000e+00,1.023486759142496760e+00,4.431655278198932913e-04
1.051677532199077891e+00,8.786469118724175983e-04,1.025220680958385921e+00,1.329496583459679766e-03
1.055175703609476878e+00,-0.000000000000000000e+00,1.026954602774274861e+00,4.431655278198932913e-04
1.058991890602639652e+00,8.786469118724175983e-04,1.028846153846153744e+00,1.329496583459679766e-03
1.061854030847511510e+00,-0.000000000000000000e+00,1.030422446406052961e+00,4.431655278198932913e-04
1.065352202257910719e+00,-0.000000000000000000e+00,1.031998738965951956e+00,1.329496583459679766e-03
1.069168389251073492e+00,-0.000000000000000000e+00,1.033732660781841117e+00,1.329496583459679766e-03
1.072825568452854261e+00,-0.000000000000000000e+00,1.035466582597730056e+00,4.431655278198932913e-04
1.076482747654635252e+00,-0.000000000000000000e+00,1.037358133669609161e+00,4.431655278198932913e-04
1.080298934647797804e+00,8.786469118724175983e-04,1.039249684741488045e+00,2.215827639099466565e-03
1.083320082684051444e+00,1.757293823744835197e-03,1.040825977301387040e+00,4.431655278198932913e-04
1.086818254094450653e+00,1.757293823744835197e-03,1.042402269861286257e+00,4.431655278198932913e-04
1.090634441087613427e+00,5.271881471234505373e-03,1.044136191677175418e+00,4.431655278198932913e-04
1.094450628080775978e+00,5.271881471234505373e-03,1.045870113493064135e+00,1.329496583459679766e-03
1.098266815073938751e+00,2.635940735617252687e-03,1.047761664564943240e+00,2.215827639099466565e-03
1.101923994275719521e+00,6.062663691919681526e-03,1.049653215636822123e+00,1.329496583459679766e-03
1.105104150103355165e+00,6.941310603792098799e-03,1.051229508196721341e+00,3.102158694739253365e-03
1.108761329305135934e+00,6.941310603792098799e-03,1.052805800756620336e+00,2.215827639099466565e-03
1.112577516298298708e+00,9.577251339409351485e-03,1.054539722572509497e+00,3.102158694739253365e-03
1.116552711082843041e+00,1.045589825128176963e-02,1.056431273644388380e+00,3.988489750379039731e-03
1.120368898076005815e+00,1.221319207502660417e-02,1.058322824716267263e+00,6.647482917298399262e-03
1.124344092860550148e+00,1.397048589877143872e-02,1.060056746532156424e+00,5.761151861658613330e-03
1.127524248688185793e+00,1.397048589877143872e-02,1.061790668348045363e+00,3.988489750379039731e-03
1.131181427889966562e+00,1.572777972251627326e-02,1.063366960907944581e+00,6.647482917298399262e-03
1.135156622674511118e+00,1.572777972251627326e-02,1.065258511979823464e+00,4.874820806018826530e-03
1.139131817459055673e+00,2.091179650256353925e-02,1.066992433795712403e+00,5.761151861658613330e-03
1.143107012243600007e+00,2.091179650256353925e-02,1.068883984867591508e+00,7.533813972938186929e-03
1.147082207028144563e+00,2.794097179754287744e-02,1.070775535939470391e+00,7.533813972938186929e-03
1.150262362855779985e+00,2.873175401822805619e-02,1.072509457755359330e+00,7.533813972938186929e-03
1.154078549848942759e+00,3.312498857759014342e-02,1.074085750315258547e+00,9.306476084217758793e-03
1.158053744633487092e+00,3.663957622507980905e-02,1.075977301387137430e+00,1.116777130106131125e-02
1.162028939418031426e+00,4.182359300512707850e-02,1.077711223203026369e+00,1.382676446798067164e-02
1.166163141993957764e+00,4.797412138823400202e-02,1.079602774274905475e+00,1.471309552362045844e-02
1.170138336778502097e+00,5.061006212385125297e-02,1.081494325346784358e+00,1.382676446798067164e-02
1.173477500397519524e+00,5.579407890389851549e-02,1.083228247162673297e+00,1.737208869053981711e-02
1.177293687390682075e+00,6.018731346326060966e-02,1.084804539722572514e+00,1.737208869053981711e-02
1.181427889966608413e+00,6.537133024330786524e-02,1.086696090794451397e+00,1.825841974617960564e-02
1.185562092542534751e+00,7.327915245015961809e-02,1.088587641866330502e+00,1.559942657926024351e-02
1.189537287327079085e+00,7.670587540646205127e-02,1.090479192938209385e+00,2.011971496302315462e-02
1.193830497694386983e+00,8.197775687769656705e-02,1.092370744010088268e+00,2.277870812994251676e-02
1.197169661313404410e+00,9.067636130523348825e-02,1.094104665825977207e+00,2.366503918558230182e-02
1.200985848306566961e+00,9.331230204085075308e-02,1.095680958385876425e+00,2.455137024122209036e-02
1.205279058673875081e+00,1.037682002921325175e-01,1.097572509457755308e+00,2.907165862498500147e-02
1.209413261249801197e+00,1.080735701603073584e-01,1.099464060529634413e+00,3.084432073626457507e-02
1.213706471617109317e+00,1.142240985434142819e-01,1.101355611601513296e+00,3.438964495882371880e-02
1.217840674193035433e+00,1.255586437065684680e-01,1.103247162673392179e+00,3.527597601446350734e-02
1.221338845603434642e+00,1.299518782659305760e-01,1.105138713745271062e+00,3.979626439822642192e-02
