# Xlam,PX,Ylam,PY
1.000000000000000000e+00,-1.782029303689870367e-04,1.000000000000000000e+00,-3.376662668698067189e-04
1.001984126984126977e+00,4.158068375276363919e-04,1.001745200698080263e+00,1.012998800609420103e-03
1.004120879120879106e+00,-1.366222466162233867e-03,1.003758893811249830e+00,-3.376662668698067189e-04
1.006257631257631235e+00,4.158068375276363919e-04,1.005906833131964051e+00,-3.376662668698067189e-04
1.008241758241758212e+00,4.158068375276363919e-04,1.008054772452678272e+00,1.012998800609420103e-03
1.010378510378510342e+00,4.158068375276363919e-04,1.010068465565847839e+00,-1.012998800609420103e-03
1.012362637362637319e+00,-1.782029303689870367e-04,1.012216404886562060e+00,1.012998800609420103e-03
1.014499389499389448e+00,4.158068375276363919e-04,1.014230097999731406e+00,1.012998800609420103e-03
1.016025641025640969e+00,-1.782029303689870367e-04,1.015841052490267238e+00,-3.376662668698067189e-04
1.018162393162393098e+00,4.158068375276363919e-04,1.017988991810981458e+00,1.012998800609420103e-03
1.020299145299145227e+00,1.009816605424259956e-03,1.020002684924150804e+00,1.012998800609420103e-03
1.022435897435897356e+00,1.009816605424259956e-03,1.022150624244865025e+00,3.376662668698067189e-04
1.024572649572649485e+00,4.158068375276363919e-04,1.024298563565579245e+00,1.012998800609420103e-03
1.026709401709401615e+00,4.158068375276363919e-04,1.026446502886293466e+00,3.376662668698067189e-04
1.028846153846153744e+00,1.009816605424259956e-03,1.028460195999463034e+00,1.012998800609420103e-03
1.030525030525030417e+00,1.009816605424259956e-03,1.030473889112632602e+00,1.012998800609420103e-03
1.032509157509157616e+00,1.603826373320883141e-03,1.032219089810712864e+00,1.012998800609420103e-03
1.034645909645909523e+00,4.158068375276363919e-04,1.034367029131427085e+00,1.012998800609420103e-03
1.036782661782661652e+00,2.197836141217506326e-03,1.036514968452141305e+00,1.688331334349033432e-03
1.038919413919414003e+00,2.197836141217506326e-03,1.038662907772855526e+00,1.012998800609420103e-03
1.041056166056165910e+00,4.573875212803999932e-03,1.040810847093569746e+00,1.688331334349033432e-03
1.043192918192918039e+00,3.385855677010753562e-03,1.042958786414283745e+00,1.688331334349033432e-03
1.045482295482295543e+00,3.979865444907377398e-03,1.045106725734997966e+00,1.688331334349033432e-03
1.047008547008547064e+00,3.979865444907377398e-03,1.046717680225533798e+00,1.688331334349033432e-03
1.049145299145299193e+00,3.385855677010753562e-03,1.048865619546247796e+00,1.688331334349033432e-03
1.051282051282051100e+00,4.573875212803999932e-03,1.051013558866962017e+00,3.038996401828259874e-03
1.053571428571428603e+00,5.167884980700624201e-03,1.053295744395220890e+00,4.457194722681448798e-03
1.055708180708180510e+00,5.761894748597247602e-03,1.055443683715935110e+00,3.714328935567873420e-03
1.057844932844932861e+00,8.078532843394079649e-03,1.057591623036649331e+00,6.483192323900288136e-03
1.059981684981684991e+00,6.296503539704207709e-03,1.059739562357363551e+00,4.457194722681448798e-03
1.061813186813186816e+00,8.078532843394079649e-03,1.061887501678077550e+00,5.807859790160675890e-03
1.063797313797313571e+00,9.266552379187324717e-03,1.063632702376157813e+00,5.807859790160675890e-03
1.066086691086691074e+00,1.045457191498057152e-02,1.065780641696872033e+00,6.483192323900288136e-03
1.068223443223443203e+00,1.104858168287719579e-02,1.068062827225130906e+00,1.053518752633796941e-02
1.070512820512820484e+00,1.164259145077382006e-02,1.070210766545845127e+00,9.184522458858743188e-03
1.072649572649572614e+00,1.455323931346727377e-02,1.072492952074104000e+00,9.184522458858743188e-03
1.074938949938949895e+00,1.455323931346727377e-02,1.074640891394818221e+00,7.833857391379515228e-03
1.077075702075702024e+00,1.871130768874363845e-02,1.076788830715532441e+00,1.121052006007758339e-02
1.078754578754578697e+00,1.871130768874363845e-02,1.078534031413612704e+00,1.262871838093077015e-02
1.081043956043955978e+00,2.162195555143709216e-02,1.080816216941871355e+00,1.397938344840999811e-02
1.083333333333333259e+00,2.459200439092021004e-02,1.083098402470130228e+00,1.533004851588922433e-02
1.085622710622710541e+00,2.815606299829995218e-02,1.085380587998389101e+00,1.803137865084767852e-02
1.087759462759462670e+00,3.106671086099340590e-02,1.087528527319103322e+00,1.944957697170086874e-02
1.090048840048839951e+00,3.284874016468327523e-02,1.089810712847362195e+00,2.215090710665932119e-02
1.092338217338217232e+00,3.344274993257990297e-02,1.092092898375620846e+00,2.350157217413854915e-02
1.094169719169719057e+00,3.872943686685984682e-02,1.094240837696335067e+00,2.627043556247096040e-02
1.096306471306471186e+00,4.229349547423958550e-02,1.095986038394415329e+00,2.897176569742941285e-02
1.098595848595848468e+00,4.639216287272628775e-02,1.098268223922674425e+00,3.309129415324105206e-02
1.100885225885225749e+00,4.995622148010602642e-02,1.100550409450933076e+00,3.444195922072028349e-02
1.103021978021977878e+00,5.405488887859273561e-02,1.102832594979191949e+00,3.444195922072028349e-02
1.105311355311355159e+00,5.761894748597246735e-02,1.105114780507450600e+00,4.058748527775075943e-02
1.107600732600732663e+00,6.290563442025241814e-02,1.107396966035709696e+00,4.531481301392806249e-02
1.109890109890109944e+00,6.938034089032561746e-02,1.109679151563968347e+00,4.943434146973969823e-02
1.111568986568986617e+00,7.294439949770535614e-02,1.111424352262048609e+00,5.078500653721892272e-02
1.113858363858363676e+00,7.704306689619205839e-02,1.113706537790307260e+00,5.557986752677018805e-02
1.116300366300366331e+00,8.179514503936503866e-02,1.116122969526111008e+00,5.963186272920786152e-02
1.118589743589743390e+00,8.826985150943823799e-02,1.118405155054369660e+00,6.307605865127989542e-02
1.120879120879120894e+00,9.593257751530467892e-02,1.120687340582628755e+00,6.712805385371757583e-02
1.123168498168498175e+00,1.000312449137913812e-01,1.122969526110887406e+00,7.259824737700842912e-02
1.125457875457875456e+00,1.070999611517611944e-01,1.125251711639146279e+00,7.739310836655970138e-02
1.127442002442002433e+00,1.136340685986240578e-01,1.127533897167405152e+00,8.286330188985056855e-02
1.129578754578754562e+00,1.183267457650073878e-01,1.129413344073030068e+00,8.556463202480901753e-02
1.132020757020756996e+00,1.253954620029772149e-01,1.131695529601288719e+00,9.035949301436027592e-02
1.134310134310134277e+00,1.324641782409470281e-01,1.134111961337092245e+00,9.920634920634921472e-02
1.136599511599511558e+00,1.407209140147100968e-01,1.136394146865351118e+00,1.040012101959004592e-01
1.139041514041513992e+00,1.471956204847832961e-01,1.138810578601154644e+00,1.094038704658173711e-01
1.141330891330891273e+00,1.548583464906497231e-01,1.141092764129413295e+00,1.148740639891082382e-01
1.143772893772893706e+00,1.631150822644127918e-01,1.143509195865216821e+00,1.216949225798783368e-01
1.145451770451770379e+00,1.678077594307961218e-01,1.145254396563297083e+00,1.258144510356899726e-01
1.147893772893772812e+00,1.754704854366625766e-01,1.147670828299100609e+00,1.326353096264600573e-01
1.150335775335775246e+00,1.837272212104256175e-01,1.150087260034904135e+00,1.373626373626373742e-01
1.152625152625152527e+00,1.919839569841887139e-01,1.152369445563162786e+00,1.448588284871470677e-01
1.155067155067154960e+00,1.996466829900551410e-01,1.154785877298966312e+00,1.503290220104379349e-01
1.157356532356532242e+00,2.049927709011247490e-01,1.157202309034769838e+00,1.544485504662495845e-01
1.159798534798534675e+00,2.043987611332281351e-01,1.159618740770573142e+00,1.346613072276789114e-01
1.161782661782661652e+00,2.120614871390945899e-01,1.161900926298832015e+00,1.401315007509697785e-01
