I1_0 I1_1 I1_2 I1_3 I1_4 I1_5 I1_6 I1_7 I1_8 I1_9 I1_10 I2_0 I2_1 I2_2 I2_3 I2_4 I2_5 I2_6 I2_7 I2_8 I2_9 I2_10 I4v_0 I4v_1 I4v_2 I4v_3 I4v_4 I4v_5 I4v_6 I4v_7 I4v_8 I4v_9 I4v_10 I4w_0 I4w_1 I4w_2 I4w_3 I4w_4 I4w_5 I4w_6 I4w_7 I4w_8 I4w_9 I4w_10
3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
3.0 3.0002278455776135 3.000904619208959 3.0020204570962146 3.0035658567429566 3.005531661188777 3.007909044040682 3.01068949525557 3.013864807631042 3.017427063964473 3.021368624842863 3.0 3.000227845577613 3.0009046192089586 3.002020457096214 3.0035658567429566 3.005531661188777 3.007909044040682 3.010689495255569 3.013864807631043 3.0174270639644734 3.021368624842862 1.0 1.0152089072543617 1.030532598714417 1.0459710743801653 1.061524334251607 1.0771923783287418 1.09297520661157 1.1088728191000918 1.1248852157943066 1.1410123966942147 1.1572543617998161 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
3.0 3.000904619208959 3.0035658567429566 3.007909044040682 3.013864807631042 3.021368624842863 3.0303604224058764 3.0407842132752143 3.0525877675754822 3.0657223140495864 3.0801422688227023 3.0 3.0009046192089586 3.0035658567429566 3.007909044040682 3.013864807631043 3.021368624842862 3.0303604224058756 3.040784213275214 3.0525877675754822 3.065722314049586 3.080142268822703 1.0 1.030532598714417 1.061524334251607 1.09297520661157 1.1248852157943066 1.1572543617998161 1.190082644628099 1.223370064279155 1.2571166207529842 1.2913223140495864 1.3259871441689621 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
3.0 3.0020204570962146 3.007909044040682 3.017427063964473 3.0303604224058764 3.0465166459567468 3.0657223140495864 3.0878208397278857 3.1126705462369797 3.140142995213143 3.1701215295491387 3.0 3.002020457096214 3.007909044040682 3.0174270639644734 3.0303604224058756 3.046516645956747 3.065722314049586 3.0878208397278852 3.1126705462369797 3.140142995213144 3.1701215295491387 1.0 1.0459710743801653 1.09297520661157 1.1410123966942147 1.190082644628099 1.2401859504132229 1.2913223140495864 1.3434917355371898 1.3966942148760326 1.4509297520661153 1.5061983471074376 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
3.0 3.0020204570962146 3.007909044040682 3.017427063964473 3.0303604224058764 3.0465166459567468 3.0657223140495864 3.0878208397278857 3.1126705462369797 3.140142995213143 3.1701215295491387 3.0 3.002020457096214 3.007909044040682 3.0174270639644734 3.0303604224058756 3.046516645956747 3.065722314049586 3.0878208397278852 3.1126705462369797 3.140142995213144 3.1701215295491387 1.0 1.0459710743801653 1.09297520661157 1.1410123966942147 1.190082644628099 1.2401859504132229 1.2913223140495864 1.3434917355371898 1.3966942148760326 1.4509297520661153 1.5061983471074376 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
3.0024393961927425 3.006577640320486 3.0144474046404683 3.0258214940365185 3.040496130317834 3.058288114523656 3.0790323824612464 3.1025798924111423 3.1287957943986475 3.157557838940145 3.1887549901215495 3.0024393961927425 3.006787138929453 3.015055310068134 3.027005212739859 3.042422752482916 3.0611154558891585 3.0829099023910898 3.1076495050321995 3.1351925870578228 3.165410710104233 3.198187217064196 1.0 1.0459710743801653 1.09297520661157 1.1410123966942147 1.190082644628099 1.2401859504132229 1.2913223140495864 1.3434917355371898 1.3966942148760326 1.4509297520661153 1.5061983471074376 1.050625 1.050625 1.050625 1.050625 1.050625 1.050625 1.050625 1.050625 1.050625 1.050625 1.050625
3.0095294784580497 3.015636047365244 3.0253471679985195 3.0384463352613422 3.0547393591657657 3.074051660656782 3.0962259421675005 3.121120174712424 3.14860585329866 3.178566480544145 3.210896245013742 3.0095294784580493 3.0162619706782303 3.0269684811764175 3.0414103130836794 3.059373371938306 3.0806651843321524 3.1051123296977194 3.1325582210784972 3.162861181719822 3.19589277325797 3.2315363385857 1.0 1.0459710743801653 1.09297520661157 1.1410123966942147 1.190082644628099 1.2401859504132229 1.2913223140495864 1.3434917355371898 1.3966942148760326 1.4509297520661153 1.5061983471074376 1.1025 1.1025 1.1025 1.1025 1.1025 1.1025 1.1025 1.1025 1.1025 1.1025 1.1025
3.0209576122228228 3.028896784139862 3.040322294165155 3.0550275901135837 3.0728274090653325 3.0935551975033464 3.1170608889549403 3.143208983619999 3.171876883982314 3.2029534481370963 3.2363377288850046 3.020957612222822 3.030132317769451 3.0433359227924304 3.060329730422833 3.080899646198948 3.1048531967126287 3.132016961396375 3.1622343532936847 3.1953636956498843 3.2312765501012546 3.269856259540556 1.0 1.0459710743801653 1.09297520661157 1.1410123966942147 1.190082644628099 1.2401859504132229 1.2913223140495864 1.3434917355371898 1.3966942148760326 1.4509297520661153 1.5061983471074376 1.155625 1.155625 1.155625 1.155625 1.155625 1.155625 1.155625 1.155625 1.155625 1.155625 1.155625
3.0364462809917354 3.046094531170289 3.0591188739083566 3.075322039066329 3.094527089072544 3.1165749549946473 3.1413223140495865 3.168639755529501 3.198410191207394 3.230527473675229 3.264895192100579 3.0364462809917354 3.0481206637077856 3.0638801184208475 3.0834859482619943 3.106724058769514 3.133401976535259 3.1633462809917345 3.196400385182432 3.232422612352682 3.2712845241387636 3.312869463433436 1.0 1.0459710743801653 1.09297520661157 1.1410123966942147 1.190082644628099 1.2401859504132229 1.2913223140495864 1.3434917355371898 1.3966942148760326 1.4509297520661153 1.5061983471074376 1.2100000000000002 1.2100000000000002 1.2100000000000002 1.2100000000000002 1.2100000000000002 1.2100000000000002 1.2100000000000002 1.2100000000000002 1.2100000000000002 1.2100000000000002 1.2100000000000002
3.0557484567901234 3.066993117513834 3.081510892975313 3.099113183179357 3.1196308270698 3.1429117468920564 3.168818918987858 3.197228620329838 3.228028908790855 3.261118302206977 3.2964046270613743 3.0557484567901234 3.069979980518569 3.0883540400870046 3.110631938626498 3.1365995816753394 3.1660644958253825 3.1988532605091313 3.234809288770074 3.2737909038535498 3.3156696673958295 3.360328922289675 1.0 1.0459710743801653 1.09297520661157 1.1410123966942147 1.190082644628099 1.2401859504132229 1.2913223140495864 1.3434917355371898 1.3966942148760326 1.4509297520661153 1.5061983471074376 1.265625 1.265625 1.265625 1.265625 1.265625 1.265625 1.265625 1.265625 1.265625 1.265625 1.265625
