lambda pr_0 pr_1 pr_2 pr_3 pr_4 pr_5 pr_6 pr_7 pr_8 pr_9 pr_10 gt_0 gt_1 gt_2 gt_3 gt_4 gt_5 gt_6 gt_7 gt_8 gt_9 gt_10
1.0 0.00010156026110053062 0.00010156026110053062 0.00010156026110053062 0.00010156026110053062 0.00010156026110053062 0.00010156026110053062 0.00010156026110053062 0.00010156026110053062 0.00010156026110053062 0.00010156026110053062 0.00010156026110053062 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1.0 0.00010156026110053062 7.126480340957642e-05 4.520732909440994e-05 2.3030675947666168e-05 4.4121406972408295e-06 -1.0915566235780716e-05 -2.3161526769399643e-05 -3.25092114508152e-05 -3.91094945371151e-05 -4.3082982301712036e-05 -4.4506508857011795e-05 0.0 1.1411176093190775e-07 4.792889249491879e-07 1.1708163929367336e-06 2.313943416121694e-06 4.078526681274766e-06 6.674349116335748e-06 1.0347126656388867e-05 1.5375233559432063e-05 2.2067192415110223e-05 3.0759954094705505e-05
1.0 0.00010156026110053062 4.520732909440994e-05 4.4121406972408295e-06 -2.3161526769399643e-05 -3.91094945371151e-05 -4.4506508857011795e-05 -3.997981548309326e-05 -2.5792047381401062e-05 -1.8659047782421112e-06 3.218743950128555e-05 7.708044722676277e-05 0.0 4.69630124207493e-07 2.1313910274384295e-06 5.742197542094454e-06 1.2497629737691085e-05 2.3969305017605632e-05 4.206683854206214e-05 6.902813073262307e-05 0.0001074425488057127 0.00016031277724244477 0.00023116301737534446
1.0 0.00010156026110053062 2.3030675947666168e-05 -2.3161526769399643e-05 -4.3082982301712036e-05 -3.997981548309326e-05 -1.5067867934703827e-05 3.218743950128555e-05 0.0001038997434079647 0.0002039177343249321 0.00033815018832683563 0.0005151145160198212 0.0 1.1051728615054817e-06 5.572007874673498e-06 1.670800647053552e-05 3.960645508862204e-05 8.093048891065193e-05 0.00014896851894580674 0.0002540362723817249 0.0004093411767305026 0.0006325065554768107 0.000948109699346134
1.0 0.00010156026110053062 2.3030675947666168e-05 -2.3161526769399643e-05 -4.3082982301712036e-05 -3.997981548309326e-05 -1.5067867934703827e-05 3.218743950128555e-05 0.0001038997434079647 0.0002039177343249321 0.00033815018832683563 0.0005151145160198212 0.0 1.1051728615054817e-06 5.572007874673498e-06 1.670800647053552e-05 3.960645508862204e-05 8.093048891065193e-05 0.00014896851894580674 0.0002540362723817249 0.0004093411767305026 0.0006325065554768107 0.000948109699346134
1.025 0.0001806323416531086 0.00011477991938591003 8.195778355002403e-05 7.720664143562317e-05 9.839935228228569e-05 0.00014554057270288467 0.00022064661607146263 0.00032779574394226074 0.0004734490066766739 0.000667128711938858 0.0009224438108503819 1.4706244669352669e-05 2.1797559704411356e-05 3.768273043105855e-05 6.646990813094988e-05 0.00011405782330251051 0.00018809425459026687 0.0002982549888092156 0.0004569385698934299 0.0006805334850650087 0.0009915314975767705 0.001421974795003626
1.05 0.0003140559419989586 0.00026122666895389557 0.0002441578544676304 0.0002590850926935673 0.00030518975108861923 0.00038420967757701874 0.0005004135891795158 0.0006609694100916386 0.0008766348473727703 0.001163033302873373 0.0015425416640937328 6.875746004213978e-05 8.80743037174435e-05 0.00012286031604241942 0.00017814912041595862 0.00026097537936857235 0.0003805614225317086 0.0005489009771745323 0.000781878358536022 0.001101157603855121 0.0015372533605164224 0.0021345122682627843
1.075 0.0005165715701878071 0.0004795696586370468 0.0004836670123040676 0.0005265604704618454 0.0006093750707805157 0.000736468005925417 0.0009158137254416943 0.0011597448028624058 0.0014864569529891014 0.0019223075360059738 0.0025055031292140484 0.0001840817758612226 0.00022359887873385235 0.0002869341526737045 0.0003804509678950809 0.0005130125626517808 0.0006964907780811047 0.0009468057782231563 0.0012857187838054836 0.0017437579164807904 0.0023649451127717644 0.00321450574305237
1.1 0.000812990590929985 0.0007981141097843647 0.000833387952297926 0.0009186579845845699 0.001058152411133051 0.0012606540694832802 0.001540438737720251 0.0019189976155757904 0.0024278631899505854 0.0031132642179727554 0.00404334906488657 0.0003895629454313083 0.0004600697503059055 0.000565375760158857 0.0007139985923968275 0.0009178972781670057 0.001193481806225171 0.0015634006349205826 0.002059488716685885 0.002727535739183529 0.0036350386209293255 0.004884013403756004
1.125 0.0012433421798050404 0.001262499950826168 0.0013465788215398788 0.0014990358613431454 0.0017294124700129032 0.002054310869425535 0.0024993845727294683 0.003102988237515092 0.003921845927834511 0.005040440708398819 0.006586009170860052 0.0007261833871805839 0.0008434592221848254 0.001010960802541253 0.0012408876827472634 0.001550570392166272 0.001964332916225205 0.00251660567284645 0.003256989606507897 0.004258491076126503 0.0056311029783509495 0.007544670101461931
