lambda pr_0 pr_1 pr_2 pr_3 pr_4 pr_5 pr_6 pr_7 pr_8 pr_9 pr_10 gt_0 gt_1 gt_2 gt_3 gt_4 gt_5 gt_6 gt_7 gt_8 gt_9 gt_10
1.0 -0.0021736864000558853 -0.0021736864000558853 -0.0021736864000558853 -0.0021736864000558853 -0.0021736864000558853 -0.0021736864000558853 -0.0021736864000558853 -0.0021736864000558853 -0.0021736864000558853 -0.0021736864000558853 -0.0021736864000558853 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1.0 -0.0021736864000558853 -0.001526002738050966 -0.0009256446250022498 -0.00036509076425851866 0.00016229211791487762 0.0006622834828330752 0.001139943903573781 0.001600054473380145 0.0020466791508638935 0.0024836971241719097 0.0029147619764680593 0.0 3.0468270779238082e-05 6.470760854426771e-05 0.00010655744699761271 0.00015969663218129426 0.00022765759786125273 0.00031384272733703256 0.0004215431399643421 0.0005539606208913028 0.0007142333779484034 0.0009054652764461935
1.0 -0.0021736864000558853 -0.0009256446250022498 0.00016229211791487762 0.001139943903573781 0.0020466791508638935 0.0029147619764680593 0.003772256541843256 0.004644913156324428 0.005557768070801777 0.006536588030443949 0.007609350786393009 0.0 6.470760854426771e-05 0.00015969663218129426 0.00031384272733703256 0.0005539606208913028 0.0009054652764461935 0.0013932583387941122 0.0020428886637091637 0.0028820361476391554 0.003942385315895081 0.005261986516416073
1.0 -0.0021736864000558853 -0.00036509076425851866 0.001139943903573781 0.0024836971241719097 0.003772256541843256 0.005094721522721006 0.006536588030443949 0.008190698677304485 0.010168271462533096 0.012611954443133625 0.015713033297153046 0.0 0.00010655744699761271 0.00031384272733703256 0.0007142333779484034 0.0013932583387941122 0.0024369112215936184 0.003942385315895081 0.006033360026776791 0.008881861343979836 0.012740463018417358 0.017991723492741585
1.0 -0.0021736864000558853 -0.00036509076425851866 0.001139943903573781 0.0024836971241719097 0.003772256541843256 0.005094721522721006 0.006536588030443949 0.008190698677304485 0.010168271462533096 0.012611954443133625 0.015713033297153046 0.0 0.00010655744699761271 0.00031384272733703256 0.0007142333779484034 0.0013932583387941122 0.0024369112215936184 0.003942385315895081 0.006033360026776791 0.008881861343979836 0.012740463018417358 0.017991723492741585
1.025 -0.0015437472611665726 0.0002798304435112013 0.0018603144606098162 0.0033368376595514612 0.004821197553114457 0.006415938780535288 0.008228865128841772 0.010386617136503422 0.013049850147987197 0.016433887232733837 0.020836775437428432 0.00015338616503868252 0.0004887537215836346 0.0009730724268592894 0.0016978711355477571 0.002754868706688285 0.004246151074767113 0.00629862817004323 0.009084802120923996 0.012853437103331089 0.017976554110646248 0.025024274364113808
1.05 -0.0009487196803092957 0.0009905526218243128 0.0027470159890853668 0.004467682802303086 0.0062811704706554556 0.008317035021575951 0.010723154799443135 0.01368499172501235 0.017449118566414536 0.022357825491931434 0.028898944608744006 0.0005534523515962064 0.0011778022162616253 0.0020032303873449564 0.0031291020568460226 0.004664846230298281 0.0067441267892718315 0.009545136243104935 0.0133206183090806 0.01844385638833046 0.02548174187541008 0.03531477972865105
1.075 -0.0002813003957271576 0.0018949954758960105 0.003961096494651038 0.00608588501518546 0.008430878978130244 0.011174174935810943 0.014534472172294763 0.01880037905609866 0.0243718108731853 0.03182084855338758 0.04198753267280325 0.0012683800887316465 0.002257093321532011 0.003514707088470459 0.005160998087376356 0.007340135984122753 0.010241246782243252 0.014128715731203556 0.019388597458600998 0.026602212339639664 0.03666669875383377 0.05099836736917496
1.1 0.0005995780229568481 0.0031789813829539723 0.00575138061222705 0.008527371532106693 0.011728590677592377 0.01561940483140859 0.020544470888216138 0.02697957147582441 0.035607434101094876 0.04743606600263886 0.06399102559821171 0.0024028250481933355 0.0038682278245687485 0.005703871138393879 0.008069239556789398 0.011170477606356144 0.015292106196284294 0.02084541507065296 0.028445066884160042 0.03903428465127945 0.05409543216228485 0.07601418346166611
1.125 0.0019083917140960693 0.005139099830407496 0.008526413624505859 0.012356781750948221 0.016959035692136148 0.022753805695640394 0.030318090368893515 0.04048032544491703 0.054470935020564985 0.07416654263107365 0.10250266227286214 0.004139273893088102 0.006265207193791866 0.008925591595470905 0.012351675890386105 0.016858689486980438 0.02289816550910473 0.03114047646522522 0.04260939359664917 0.05890795961022377 0.08260803669691086 0.11794061213731766
