Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.345083,1.279138,0.003412,0.003165
1.345246,1.280168,0.003370,0.003200
1.348896,1.282351,0.003482,0.003265
1.350185,1.284243,0.003475,0.003287
1.352127,1.286654,0.003499,0.003377
1.353435,1.290192,0.003549,0.003388
1.355676,1.291829,0.003592,0.003425
1.357300,1.292655,0.003630,0.003491
1.358843,1.294728,0.003684,0.003557
1.359677,1.298712,0.003787,0.003648
1.361410,1.301415,0.003891,0.003717
1.362047,1.304569,0.003970,0.003760
1.363001,1.308793,0.004050,0.003855
1.364958,1.310903,0.004187,0.003950
1.366075,1.313818,0.004219,0.004020
1.367654,1.320232,0.004309,0.004150
1.368407,1.323614,0.004413,0.004220
1.369912,1.329876,0.004479,0.004326
1.370771,1.336300,0.004617,0.004516
1.371819,1.340610,0.004732,0.004615
1.372901,1.346795,0.004872,0.004772
1.373931,1.353507,0.004963,0.004940
1.375578,1.360792,0.005079,0.005101
1.378218,1.367205,0.005269,0.005294
1.379501,1.373669,0.005411,0.005488
1.379781,1.378431,0.005553,0.005651
1.381324,1.384320,0.005670,0.005872
1.384216,1.392328,0.005838,0.006011
1.384528,1.393666,0.005949,0.006185
1.388384,1.404936,0.006092,0.006349
1.389830,1.411736,0.006228,0.006491
1.391564,1.414590,0.006473,0.006692
1.394678,1.421896,0.006610,0.006861
1.395449,1.423243,0.006773,0.007035
1.398920,1.434611,0.006961,0.007242
1.402130,1.440800,0.007151,0.007423
1.404881,1.446706,0.007392,0.007598
1.407209,1.452028,0.007667,0.007810
1.409587,1.460760,0.007893,0.008050
1.412798,1.467949,0.008145,0.008300
1.415418,1.473770,0.008501,0.008615
1.418559,1.481168,0.008883,0.008931
1.421467,1.488763,0.009240,0.009285
1.421458,1.490507,0.009659,0.009669
1.426855,1.501233,0.010208,0.010090
1.430709,1.507573,0.010760,0.010606
1.433003,1.516299,0.011400,0.011153
1.436514,1.523254,0.012198,0.011776
1.439366,1.529810,0.013162,0.012302
1.443604,1.535523,0.014208,0.013092
1.445527,1.544917,0.015476,0.014120
1.448061,1.549692,0.017053,0.015351
1.452607,1.557325,0.019030,0.016894
1.456314,1.566759,0.021504,0.018744
1.459581,1.572363,0.022294,0.019324
1.461242,1.577974,0.023084,0.019917
1.466039,1.584836,0.024004,0.020606
1.469215,1.594126,0.025055,0.021367
1.472864,1.600487,0.026223,0.022179
1.476151,1.607615,0.027474,0.023166
1.480738,1.616982,0.028938,0.024151
