Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.338367,1.247761,0.002770,0.003006
1.340945,1.248001,0.002814,0.003033
1.341366,1.248020,0.002885,0.003055
1.348040,1.247743,0.002913,0.003073
1.351872,1.247695,0.002995,0.003089
1.354522,1.246813,0.003039,0.003103
1.359505,1.247012,0.003103,0.003115
1.359843,1.247787,0.003135,0.003126
1.361801,1.248349,0.003239,0.003185
1.363904,1.248850,0.003322,0.003244
1.364795,1.249089,0.003404,0.003249
1.369012,1.250553,0.003565,0.003285
1.372681,1.249848,0.003625,0.003314
1.375024,1.249509,0.003708,0.003320
1.379180,1.249925,0.003815,0.003325
1.382489,1.249941,0.003955,0.003355
1.386089,1.250563,0.004073,0.003384
1.390238,1.251469,0.004060,0.003389
1.393373,1.251743,0.004145,0.003419
1.395993,1.252471,0.004242,0.003480
1.400456,1.254023,0.004362,0.003485
1.404538,1.255731,0.004509,0.003515
1.407558,1.256905,0.004706,0.003520
1.412763,1.259164,0.004904,0.003559
1.417530,1.261363,0.005079,0.003644
1.419345,1.263119,0.005254,0.003706
1.423849,1.264756,0.005474,0.003825
1.428629,1.267826,0.005752,0.003976
1.432770,1.269784,0.006066,0.004119
1.438719,1.273330,0.006432,0.004262
1.442883,1.275789,0.006766,0.004415
1.445760,1.278003,0.007180,0.004591
1.452077,1.281362,0.007790,0.004792
1.456262,1.284475,0.008457,0.005002
1.462010,1.287796,0.009121,0.005205
1.467689,1.290455,0.009900,0.005465
1.473731,1.293720,0.010684,0.005790
1.478736,1.296310,0.011666,0.006140
1.483590,1.298289,0.012786,0.006493
1.490699,1.301287,0.014132,0.006822
1.497192,1.303925,0.015703,0.007291
1.503855,1.306687,0.017479,0.007737
1.510226,1.310601,0.019485,0.008210
1.515664,1.312958,0.021664,0.008775
1.523584,1.314517,0.024104,0.009432
1.531765,1.318758,0.026671,0.010082
1.537600,1.320680,0.029361,0.010801
1.546439,1.322040,0.032480,0.011612
1.553895,1.325036,0.036082,0.012593
1.562272,1.328083,0.040470,0.013794
1.570227,1.330217,0.045699,0.015257
1.578339,1.332833,0.052075,0.016902
1.585935,1.335636,0.059316,0.018902
1.596510,1.338708,0.061859,0.019574
1.603533,1.341839,0.064529,0.020348
1.609882,1.342458,0.067393,0.021106
1.619196,1.345752,0.070356,0.021954
1.627949,1.348224,0.073564,0.022847
1.638818,1.350554,0.077096,0.023838
1.645058,1.353650,0.080968,0.024903
