Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.162280,1.153468,0.001394,0.001117
1.162862,1.153052,0.001371,0.001220
1.163411,1.155636,0.001487,0.001156
1.165714,1.156501,0.001541,0.001198
1.167808,1.160022,0.001587,0.001233
1.168697,1.160542,0.001696,0.001183
1.171394,1.161993,0.001757,0.001215
1.172401,1.162603,0.001840,0.001203
1.173517,1.163439,0.002065,0.001136
1.175612,1.165483,0.002158,0.001210
1.177289,1.168863,0.002323,0.001214
1.178544,1.170411,0.002519,0.001178
1.180434,1.171567,0.002643,0.001279
1.182050,1.173092,0.002810,0.001243
1.184153,1.177176,0.002936,0.001357
1.185221,1.178578,0.003014,0.001538
1.189108,1.181084,0.003243,0.001543
1.190499,1.183192,0.003280,0.001757
1.192286,1.187590,0.003389,0.001903
1.194496,1.189351,0.003528,0.002050
1.196733,1.191062,0.003536,0.002296
1.199238,1.195228,0.003677,0.002474
1.201826,1.198066,0.003685,0.002621
1.204624,1.201200,0.003697,0.002908
1.208878,1.203322,0.003839,0.003018
1.210340,1.206007,0.003848,0.003167
1.213778,1.209999,0.003890,0.003387
1.216730,1.212416,0.003972,0.003538
1.220235,1.215930,0.003983,0.003759
1.224817,1.220308,0.004128,0.003870
1.227634,1.222927,0.004201,0.003982
1.230579,1.226386,0.004181,0.004134
1.234950,1.229229,0.004360,0.004175
1.239322,1.234195,0.004498,0.004290
1.242803,1.237328,0.004637,0.004374
1.247489,1.239998,0.004817,0.004427
1.251828,1.246075,0.004926,0.004555
1.254575,1.248538,0.005107,0.004935
1.259229,1.252611,0.005357,0.005213
1.263593,1.255959,0.005674,0.005524
1.268587,1.258415,0.006054,0.005866
1.272912,1.265498,0.006503,0.006253
1.278634,1.268351,0.007127,0.006803
1.281017,1.272255,0.007818,0.007430
1.285340,1.275715,0.008579,0.008210
1.290789,1.280879,0.009684,0.009177
1.294814,1.284556,0.010934,0.010223
1.299491,1.290686,0.012223,0.011434
1.305927,1.294401,0.013582,0.012608
1.308757,1.298047,0.015325,0.014167
1.314544,1.302449,0.017462,0.015961
1.319365,1.307375,0.019919,0.018038
1.324273,1.311491,0.022797,0.020249
1.328547,1.315745,0.025925,0.022807
1.333802,1.321005,0.027102,0.023794
1.337810,1.324050,0.028457,0.024931
1.342990,1.327660,0.029873,0.026163
1.348018,1.332545,0.031349,0.027395
1.352175,1.336343,0.033019,0.028757
1.358269,1.341371,0.034836,0.030165
1.362372,1.345161,0.036522,0.031573
